category,datetime,headline,id,image,related,source,summary,url
company,1776894687,AbbVie Inc. (ABBV) Inks Licensing Agreement for Pain Medicines Development,139854637,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"AbbVie Inc. (NYSE:ABBV) is one of the top S&P 500 stocks by index weight. On April 13, AbbVie Inc. (NYSE:ABBV) entered into an exclusive licensing agreement with Haisco Pharmaceutical Group for the development of pain medicines. Under the terms of the agreement, AbbVie will own the rights to develop, manufacture, and commercialize novel pain treatment […]",https://finnhub.io/api/news?id=e7a35094c20157977bf8a8a38c1495bba00950cb622120bace1d858601d5ea0b
company,1776873900,Should You Forget Pfizer and Buy This Pharma Stock Instead?,139851564,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"Pfizer's shares have rebounded, but is AbbVie still a better buy among pharmaceutical stocks?",https://finnhub.io/api/news?id=a057e017eff49efc74f72fa5bc4f5f32ac76231bcce859857e66397610728058
company,1776873600,AbbVie Selects North Carolina for New $1.4 Billion Manufacturing Campus,139851565,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"AbbVie (NYSE: ABBV) today announced a $1.4 billion investment to build a 185-acre pharmaceutical manufacturing campus in Durham, North Carolina. The state-of-the-art campus will integrate advanced manufacturing and laboratory technologies with artificial intelligence (AI) to support the production of AbbVie's immunology, neuroscience and oncology medicines.",https://finnhub.io/api/news?id=c164d1aef9978e65a470f76e3b0de41aef340470001fb07248736f8b424df116
company,1776866587,4 To Watch Of 21 'Safer' April Dividends From 100 Fortune Best Companies To Work For (FBCTWF),139852004,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/200402217/image_200402217.jpg?io=getty-c-w1536,ABBV,SeekingAlpha,"Analyzing the 54 dividend-paying Fortune Best Companies To Work For, 0 currently offer dividends from $1,000 invested exceeding their share price, limiting 'dogcatcher' value. Read more.",https://finnhub.io/api/news?id=0cd31691cda24455c65fbdbf3164da6f929fc118283c3c9f53beac5243c7295c
company,1776866423,AbbVie (ABBV) Earnings Expected to Grow: Should You Buy?,139849755,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,AbbVie (ABBV) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=e8a4b562598c0549aad194cdc69c510232923c42e29ff2d58dec50c67124bc3f
company,1776864942,AbbVie Announces Investment In New Manufacturing Campus In North Carolina,139851251,,ABBV,Finnhub,"AbbVie announced a $1.4 billion investment to build a 185-acre pharmaceutical manufacturing campus in Durham, North Carolina. The campus will integrate advanced manufacturing and laboratory...",https://finnhub.io/api/news?id=97e6def859aeb51df7f7f2763651c78d1a575b46e4ed29eb268190dff63104c9
company,1776864459,AbbVie announces $1.4 billion investment for 185-acre manufacturing campus in North Carolina,139851101,,ABBV,Finnhub,"AbbVie Inc: AbbVie announces $1.4 billion investment for 185-acre manufacturing campus in North Carolina AbbVie new campus to create 734 jobs for immunology, neuroscience and oncology medicines...",https://finnhub.io/api/news?id=b4588a73ece35dc5771441ec681fea7aeba1046cc9d304f553158352979c6fc2
company,1776862802,AbbVie Inc. (ABBV) is Attracting Investor Attention: Here is What You Should Know,139849756,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"Zacks.com users have recently been watching AbbVie (ABBV) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",https://finnhub.io/api/news?id=605e4450368b113330d33ac6e275fb8408e428e84d9ae36050c0fa34d89e2699
company,1776861822,AbbVie to Invest $1.4 Billion in North Carolina Manufacturing Campus,139850496,,ABBV,Finnhub,"By Elias Schisgall AbbVie will invest $1.4 billion in a pharmaceutical-manufacturing campus in Durham, N.C. The biopharmaceutical company said the 185-acre campus, near Research Triangle...",https://finnhub.io/api/news?id=ea88cae02da1dbdd9b321386eb12b4f4b46743df7fa41bede97c3362ff605e2c
company,1776861180,J&J Innovative Medicine Drives Q1 Strength: Key to Long-Term Growth?,139849743,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"JNJ's Innovative Medicine unit posts strong Q1 growth despite Stelara hit, with key drugs and new launches positioning the segment for long-term growth.",https://finnhub.io/api/news?id=a964f9f96fc572452290dade9950182c8930ae73725259d229fefb5113f712af
