category,datetime,headline,id,image,related,source,summary,url
company,1776891989,Does Airbnb’s (ABNB) Boutique Hotel Push Quietly Redefine Its Competitive Moat in Online Travel?,139854791,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,"In recent days, Airbnb has expanded its platform to include independent hotels in cities such as New York, Los Angeles, Paris, and Madrid, while investors look ahead to the company’s early-May earnings release with expectations of higher earnings per share than the same period last year. At the same time, a Wells Fargo upgrade highlighting Airbnb’s faster pace of innovation underscores how the company’s push into boutique hotels could reshape its competitive position in online travel...",https://finnhub.io/api/news?id=9bd2075b47cbeac0e1573b56e5937f012c06dd7d0133b4335d4f8e6b36dde822
company,1776881180,Is It Too Late To Consider Airbnb (ABNB) After Recent 24% Share Price Gain?,139853134,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,"Wondering if Airbnb at around US$142.65 is still reasonably priced or already baking in too much optimism? This article walks through what the current numbers actually say about value. The stock has logged returns of 6.6% over the last week, 11.0% over the last month, and 24.1% over the last year, which naturally raises questions about both growth potential and how risk is being priced in. Recent coverage has focused on Airbnb's role in travel and accommodation trends, as well as how...",https://finnhub.io/api/news?id=e9ebce5707a37b2ecb2bd2176eb9fd4c860c1378e184da86cba2c0d178e2755d
company,1776877740,OpenAI Appoints EMEA Chief As Subscriptions Rise Sevenfold,139851782,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,Leadership expansion comes as enterprise demand grows and Europe raises concerns over reliance on US AI,https://finnhub.io/api/news?id=40b14b1092fe9cc2fa5d07dd3c780ed834b07606f2280bf00b43d66122c424d0
company,1776866082,Wells Fargo Upgrades Airbnb to Overweight With a $178 Target: Is the Business Inflection Point Finally Here?,139848439,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,"Airbnb (NASDAQ:ABNB) stock just earned a strong endorsement from Wells Fargo, which upgraded shares from Equal Weight to Overweight and raised its price target from $136 to $178. The firm’s core thesis: Airbnb is at a “significant business inflection,” emerging from two years of decelerating growth and compressing margins into a new phase of accelerating ... Wells Fargo Upgrades Airbnb to Overweight With a $178 Target: Is the Business Inflection Point Finally Here?",https://finnhub.io/api/news?id=8b5871fe22241cc58e9cf1476174917b397188dc507531b67f87ce8a0a49515e
company,1776864907,"Airbnb upgraded, Zscaler downgraded: Wall Street's top analyst calls",139848287,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,"Airbnb upgraded, Zscaler downgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=272e7a6098ebd7fbb6bf854362273b58af3a077e1518ddcdf442288e59af7132
company,1776859121,"Here Are Wednesday’s Top Wall Street Analyst Research Calls: Abbott Laboratories, Airbnb, Biogen, Cava Group, GitLab, Halliburton, Qualcomm, Seagate, Toast, and More",139847458,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,"Pre-Market Stock Futures: Futures are trading higher as we hit the midweek point. All major indices finished lower on Tuesday as the deadline for the ceasefire approached, amid threats to cancel talks between Iran and the United States. While the President did extend the ceasefire again, this time indefinitely, citing the “fractured government in Iran”, ... Here Are Wednesday’s Top Wall Street Analyst Research Calls: Abbott Laboratories, Airbnb, Biogen, Cava Group, GitLab, Halliburton, Qualcomm,",https://finnhub.io/api/news?id=706aa45e7b0464a6513ece8629400b9b9b2dbc74d407f4005651a1f7ceb3e29c
company,1776852000,OpenAI Poaches Airbnb Executive to be First Director for EMEA,139848301,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,"(Bloomberg) -- OpenAI has hired its first managing director to oversee operations in Europe, helping guide its expansion in a key market where there are mounting political concerns about being overly reliant on US artificial intelligence services. Most Read from BloombergInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersTrump Extends Iran Ceasefire, Keeps Blockade as Talks FalterKuwait Declares Further",https://finnhub.io/api/news?id=042bcbf0950f44caa6f847ca806ca88fee1ec091fb77a78077481937e205baa2
company,1776847684,Qorvo To Rally More Than 20%? Here Are 10 Top Analyst Forecasts For Wednesday,139848859,https://cdn.benzinga.com/files/images/story/2026/04/22/San-Jose--Ca--Usa---Apr-30--2022-Qorvo-L.jpeg?width=2048&height=1536,ABNB,Benzinga,"Wall Street analysts changed their outlook on top names. For all rating changes, see analyst ratings page. Vivos, Airbnb, Gitlab, Frontline, Qorvo, Valmont, Chubb, and UnitedHealth saw price target changes and upgrades/downgrades.",https://finnhub.io/api/news?id=05dc72244b004d2bbe14aa57a098ec09f2170cedb2cb78b954f65db54eca96ec
company,1776846763,This Airbnb Analyst Turns Bullish; Here Are Top 4 Upgrades For Wednesday,139848860,https://cdn.benzinga.com/files/images/story/2026/04/22/Post-Earnings-Drop.jpeg?width=2048&height=1536,ABNB,Benzinga,"Wall Street analysts upgrade top names, including ABNB, BRSP, SBAC, QRVO. See analyst ratings for these stocks. Should you buy ABNB?.",https://finnhub.io/api/news?id=f035c85bc34106ecf314e17ff2807c6f8ef0a0a6f4671e1d8b894431308fd07d
company,1776844731,Airbnb shares are trading higher after Wells Fargo upgraded the stock from Equal-Weight to Overweight and raised its price target from $136 to $178.,139852872,,ABNB,Benzinga,,https://finnhub.io/api/news?id=03037b7cba50971a139f3825eec3d62c524ee96bfebab55b6c99a530b3f5a3b9
company,1776837867,"Wells Fargo Upgrades Airbnb to Overweight, Raises Price Target to $178",139852873,,ABNB,Benzinga,Wells Fargo  analyst Ken Gawrelski   upgrades Airbnb (NASDAQ:ABNB) from Equal-Weight to Overweight and raises the price target from $136 to $178.,https://finnhub.io/api/news?id=d63292c654e186c9fab90863cc06f116e548b9f8f6896d7baafca675651e2fcf
company,1776837587,"Performance Comparison: Airbnb And Competitors In Hotels, Restaurants &amp; Leisure Industry",139852874,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_preview_11.jpg?width=2048&height=1536,ABNB,Benzinga, ,https://finnhub.io/api/news?id=435b2a538794d34e8ac06d3756f25a57b7a95ea6ad0914771712c9dbc2f7a81f
