category,datetime,headline,id,image,related,source,summary,url
company,1776891907,Top gainers and losers in the S&P500 index during Wednesday's after-hours session.,139854257,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,ACN,ChartMill,"As the regular session of the US market concludes on Wednesday, let's get an insight into the after-hours session and identify the top gainers and losers in the S&P500 index.",https://finnhub.io/api/news?id=dc9e7770d52b79bbae293249b4d222c5e70769e8361fa4b5dd5c189f29f71e55
company,1776880083,Sector Update: Tech Stocks Gain in Afternoon Trading,139851807,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ACN,Yahoo,"Tech stocks were higher Wednesday afternoon, with the State Street Technology Select Sector SPDR ETF",https://finnhub.io/api/news?id=26a0b3011cf0391c829a70d85d0f95c9fddc3372ee4ef4730b4a8b7406a03a7f
company,1776872926,"Top Midday Stories: GE Vernova Shares Gain on Strong Q1 Earnings, Guidance; Vertiv Lifts Guidance After Q1 EPS, Revenue Beats, Shares Fall",139849791,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ACN,Yahoo,All three major US stock indexes were up in late-morning trading Wednesday following reports of Iran,https://finnhub.io/api/news?id=f4a7fa1f476ce87ad52cb38159ce3068907981c2793b2135f0634a521f0a3036
company,1776869136,"Google Cloud: New AI 'TPUs' Target Nvidia, Agentic Platform Debuts",139849636,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ACN,Yahoo,Google will disclose a change in its AI processor strategy at its cloud computing event. Google stock has advanced nearly 8% in 2026.,https://finnhub.io/api/news?id=2fc74b7be428d6ea00768fe5ceb434102ab5114f14fca9bd22842988b8755820
company,1776869040,MCO Q1 Earnings Beat on Rising Analytics Demand & Higher Issuances,139851696,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ACN,Yahoo,Moody's tops Q1 estimates as analytics demand and bond issuances lift revenues. Shares rise pre-market even as expenses climb.,https://finnhub.io/api/news?id=41cdb2be39a1feaec7f2eeda9d2a6aa71efa9635c7065a414bd8353cb32a2780
company,1776867120,"Consumer Identity and Access Management Global Market Forecast Report 2026-2036, Profiles of Okta, Auth0, Ping Identity, ForgeRock, Microsoft, Salesforce, IBM, Amazon Web Services, Accenture",139849662,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ACN,Yahoo,"The global Consumer Identity and Access Management (CIAM) market, as reported in 'CIAM Market by Solution, Deployment, and End-use - Global Forecast to 2036', is projected to surge from USD 12.6 billion in 2026 to USD 40.2 billion by 2036, with a CAGR of 12.2%. Key growth drivers include digital transformation, stringent data privacy regulations, and zero-trust initiatives. The identity verification & authentication segment leads the market, while cloud-based deployment dominates due to scalabil",https://finnhub.io/api/news?id=0b957a6efb0dcddd7f9ead0d9a0851ec67dc766f7cd5319bdba3505dc6f0d4a1
company,1776866669,Update: Market Chatter: Alphabet's Google Launches $750 Million Fund to Hasten AI Adoption by Consulting Firms,139849691,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ACN,Yahoo,(Updates to include details on Google Cloud's new tools to build AI agents in the third paragraph.),https://finnhub.io/api/news?id=0fa2dce9d3c1df87768a19d70e8ecc53dfb8258b6835343cb804093a171b71f9
company,1776866587,4 To Watch Of 21 'Safer' April Dividends From 100 Fortune Best Companies To Work For (FBCTWF),139852004,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/200402217/image_200402217.jpg?io=getty-c-w1536,ACN,SeekingAlpha,"Analyzing the 54 dividend-paying Fortune Best Companies To Work For, 0 currently offer dividends from $1,000 invested exceeding their share price, limiting 'dogcatcher' value. Read more.",https://finnhub.io/api/news?id=0cd31691cda24455c65fbdbf3164da6f929fc118283c3c9f53beac5243c7295c
company,1776863814,"Google Cloud Expands Partnerships With SAP, Accenture, Salesforce, Oracle for Gemini Enterprise",139848312,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ACN,Yahoo,"Alphabet's (GOOG, GOOGL) Google Cloud on Wednesday expanded its respective partnerships with SAP (SA",https://finnhub.io/api/news?id=cfb0aef47cea3b322a092b3a5b78bf5b70d3459436f6722f767c74844ba95a65
company,1776862860,"Snowflake Makes AI Real for Businesses at Snowflake Summit 26, Featuring Anthropic’s Daniela Amodei and Other Industry Leaders",139848537,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ACN,Yahoo,"MENLO PARK, Calif., April 22, 2026--Snowflake (NYSE: SNOW), the AI Data Cloud company, will host its largest-ever user conference, Snowflake Summit 26, live in San Francisco from June 1-4, 2026. As enterprises rapidly shift from AI experimentation to real-world deployment, Snowflake Summit will showcase what it means to make AI real for business, bringing together the leaders shaping this next era and unveiling innovations that turn enterprise data into intelligence and action. This year’s openi",https://finnhub.io/api/news?id=e9f09a1ff1b93e0018b8ddb4d412a79f4524748e198e30b9a4b4e943891dd80b
