category,datetime,headline,id,image,related,source,summary,url
company,1776902100,Review & Preview: Well Done Wednesday,139856773,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,The S&P 500 and Nasdaq closed at records as earnings foreshadowed the possibility of a profitable peace.,https://finnhub.io/api/news?id=959035a554144972e345aad4caeec983fe6977b5d4446f0045f6f87046e7ebc7
company,1776898800,"Intel earnings, American Airlines, mortgage rates: What to Watch",139855807,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"Asking for a Trend Host Josh Lipton previews several of the biggest stories to come tomorrow, Thursday, April 23, including earnings results from American Express (AXP), Intel (INTC), and American Airlines (AAL), alongside the latest reading on US mortgage rates.",https://finnhub.io/api/news?id=71f729edcfe2f83583a6c217bd23352d88624d9b0cd1fa52bf9a6099fa30a4dc
company,1776891907,Top gainers and losers in the S&P500 index during Wednesday's after-hours session.,139854257,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,AXP,ChartMill,"As the regular session of the US market concludes on Wednesday, let's get an insight into the after-hours session and identify the top gainers and losers in the S&P500 index.",https://finnhub.io/api/news?id=dc9e7770d52b79bbae293249b4d222c5e70769e8361fa4b5dd5c189f29f71e55
company,1776886295,Thursday's big stock stories: What’s likely to move the market in the next trading session,139865468,https://image.cnbcfm.com/api/v1/image/108257481-1769516811771-gettyimages-2250111740-US_STOCKS.jpeg?v=1771953167&w=1920&h=1080,AXP,CNBC,"Both the S&P 500 and the Nasdaq ended Wednesday at record levels, buoyed by the extension of a U.S.-Iran ceasefire and upbeat earnings reports.",https://finnhub.io/api/news?id=9645a9115956edcf7aa5d3672167bb6c825f378861cc1a443446c2f9d3aa115f
company,1776885514,American Express AXP Q1 2025 Earnings Transcript,139853066,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"During the first quarter, our premium customer base continued to spend at healthy levels.  Total card member spending grew 6% in the quarter, or 7% excluding the impact of leap year, with spending on goods and services continuing to grow at a faster rate than in 2024.  Retention continued to be high, and our credit performance remained excellent.",https://finnhub.io/api/news?id=929a88c8cba19f262b5088226a6c5f7984df22f134851e680c961716f8909679
company,1776880982,"Stocks retreat from records as software shares slump, oil jumps: Live updates",139865574,https://image.cnbcfm.com/api/v1/image/108294016-1776698311805-gettyimages-2271683421-AFP_A8ED8QH.jpeg?v=1776949286&w=1920&h=1080,AXP,CNBC,"Stocks pulled back on Thursday, led by a drop in software and higher oil prices.",https://finnhub.io/api/news?id=2b8533b125089f8f7e705cce529f6d58058711faf7def9af1d3dca2c4c4467fb
company,1776879060,Visa's Q2 Earnings Countdown: Buy the Dip or Wait for the Print?,139858178,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"V is set to report fiscal Q2 results on April 28, with earnings expected to grow 12% and revenue rising 11.5%, but higher costs and incentives could cap upside.",https://finnhub.io/api/news?id=52434b3b07a4b13535106d394f8902e8f61b4510e8778456f3dfdd015e68a3a6
company,1776878197,The Oracle Of OMAH Wins Round One Vs. Berkshire Hathaway,139854279,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/501615404/image_501615404.jpg?io=getty-c-w1536,AXP,SeekingAlpha,The Solactive VistaShares Berkshire Select Index tracks the 20 largest Berkshire Hathaway (BRK.B) holdings plus BRK.B itself. Read the full analysis here.,https://finnhub.io/api/news?id=4c23939516df7c2c472d38bca0192c752e536c35da2a4d8c6537c0954e947ad0
company,1776873900,American Express Debuts New Membership Experiences at the 2026 NFL Draft,139851672,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"NEW YORK, April 22, 2026--American Express, now the Official Payments Partner of the National Football League, is reshaping fan experiences at the 2026 NFL Draft in Pittsburgh. As presenting partner of the NFL Draft Experience from April 23-25, American Express is gearing up to bring exclusive access, elevated hospitality and premium experiences to eligible Card Members and fans.",https://finnhub.io/api/news?id=d6968b94a4468035b20aa4d0bae5708488cec2f116bd1bf993407291a821c110
company,1776872940,American Express Canada and DMZ's Grant Program Returns to Support Canadian Small Business,139849858,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"American Express Canada is excited to announce applications are now open for Backing Canadian Small Businesses, a grant program aimed at empowering locally significant small businesses to grow and drive community impact. Funded by Amex Canada and administered by DMZ at Toronto Metropolitan University, 100 Canadian small businesses will be selected to each receive a $10,000 CAD grant and mentoring support from DMZ.",https://finnhub.io/api/news?id=806a644393627e3fb86a5bf9ef0f8a36c638e1ee07a03d217b32e7e0572bc106
company,1776867548,Gig tripping this summer? Here's how to pay for concert travel with your credit cards,139865522,https://image.cnbcfm.com/api/v1/image/108294010-1776697778276-gettyimages-2237274471-202509120322.jpeg?v=1776697834&w=1920&h=1080,AXP,CNBC,Flexible travel rewards can help you save on last-minute flights to concerts. But there is value in having an airline or hotel credit card if you plan ahead.,https://finnhub.io/api/news?id=3e17bbfaef87b018cf7d8a080e1b2de7ee12f2055f89248c5a2a223e32c3cd1a
company,1776866481,Is a Deeper Dive Into AI What American Express Needs to Accelerate Growth?,139849859,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"American Express (NYSE:AXP) reports first-quarter 2026 results after the market closes tomorrow, April 23. With a fresh acquisition, a deepening AI strategy, and a macro backdrop that management itself flagged as a genuine risk, this print carries more weight than usual. Premium Momentum Meets a Tougher Macro Last quarter, American Express delivered a narrow EPS ... Is a Deeper Dive Into AI What American Express Needs to Accelerate Growth?",https://finnhub.io/api/news?id=5a7e1844093fc6072c8344f2f43467b619dd7ffa0d233241fb6af31631a67dcb
company,1776866382,Key Metrics To Track For Capital One After Its Q1 Earnings Miss,139849860,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"Capital One (COF) posted first-quarter 2026 earnings that missed on both revenue, which stood at $15.23 billion, and adjusted EPS, which came in at $4.42, drawing a sharp negative market reaction.",https://finnhub.io/api/news?id=3c4b8a0fcfebaee5ca9d91f41fb95f623966ad36c320e2b2059f469861d5f5b5
company,1776846600,3 Warren Buffett Stocks to Hold Forever,139846034,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,These are stocks Buffett said that he'd never sell.,https://finnhub.io/api/news?id=189eb7525c008e134a20db0b29bcc3538d4eba8b125c82c06b9d0cefb4336618
