category,datetime,headline,id,image,related,source,summary,url
company,1776887202,Sector Update: Consumer Stocks Mixed Late Afternoon,139852994,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BBY,Yahoo,"Consumer stocks were mixed late Wednesday afternoon, with the State Street Consumer Staples Select S",https://finnhub.io/api/news?id=36877e570b9728880c3ae62209961105cf6d3e1c5a2393622814ee8f450bf98b
company,1776885957,Best Buy CEO Corie Barry is stepping down: Why the comeback she executed fizzled out,139866618,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BBY,Yahoo,"Shares are up only 6% since she was appointed in 2019, vastly underperforming the S&P 500.",https://finnhub.io/api/news?id=ac47a12107c4ae1c21d1c79184b9040b9b70745c45980e9a3de9f1a882f24c97
company,1776884704,Discover which S&P500 stocks are making waves on Wednesday.,139852553,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,BBY,ChartMill,Let's have a look at what is happening on the US markets one hour before the close of the markets on Wednesday. Below you can find the top S&P500 gainers and losers in today's session.,https://finnhub.io/api/news?id=ae80157d188281be0d515ccfa1f94e57052986ccba514a7b6434cba8d0c774b1
company,1776883943,Best Buy's Sales and Stock Are Sluggish. Can a New CEO Bring Back Growth?,139853245,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BBY,Yahoo,"Best Buy on Wednesday announced CEO Corie Barry will step down after seven years leading the company to be replaced by chief customer, product and fulfillment officer Jason Bonfig.",https://finnhub.io/api/news?id=790c1e4268f25be25e764bae2d0ec8709df0e34435a49d14f74959dcbd0ccdde
company,1776877990,Apple and Best Buy just changed leadership. Here are other top CEO departures in 2026.,139851480,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BBY,Yahoo,C-suites across business sectors have seen long-tenured leaders exit.,https://finnhub.io/api/news?id=a5e89e444688f2a83b7a7e34d74d4825fbb8c960e90b18b99b9bb209fa203dbf
company,1776876735,Best Buy CEO Corie Barry to Step Down; Retailer Names Insider as Successor,139851989,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BBY,Yahoo,Best Buy (BBY) said Wednesday that Corie Barry will step down as chief executive of the electronics,https://finnhub.io/api/news?id=9deb0ddfc89e6ed40696482e07410a6b9cc8ebb084c8fa44ca11339c04dde7a7
company,1776875704,Uncover the latest developments among S&P500 stocks in today's session.,139850503,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,BBY,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=526c71e3929bbd0fab61d1248ed1e659a0daabac3594bfbbf574960aa83cc081
company,1776870900,Best Buy stock falls on appointment of company veteran as next CEO,139850112,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BBY,Yahoo,"Best Buy Co Inc (NYSE:BBY) announced that its board of directors has appointed chief customer, product and fulfillment officer Jason Bonfig as the company’s next CEO, succeeding Corie Barry later this year. The leadership transition will take effect at the end of the third quarter on October...",https://finnhub.io/api/news?id=4dfaf5d4ec825bca3c9a53d96d93489219d28e72157bc184f4547cc77531a21c
company,1776869100,Best Buy Stock Drops. Can Its New CEO Fix the Slump?,139850113,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BBY,Yahoo,"Best Buy  is shaking things up at the top.  The retailer on Wednesday said that Jason Bonfig will be the retailer’s next CEO, succeeding Corie Barry when she steps down on Oct. 31.  Bonfig comes from within the company.",https://finnhub.io/api/news?id=669a036a9408b5ba2fac922712c27cb591ba44e8d9e20d5f05d72f97178fc04a
company,1776868504,Wednesday's session: gap up and gap down stock in the S&P500 index,139849128,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,BBY,ChartMill,Let's take a look at the S&P500 stocks that are experiencing notable price gaps in today's session on Wednesday. Discover the gap up and gap down stocks in the S&P500 index.,https://finnhub.io/api/news?id=acd9e9d4b45abeab373d483c83479a05ae07393509fcbb21bc96746baa5f85b4
