category,datetime,headline,id,image,related,source,summary,url
company,1776895885,"Stock Market Today, April 22: Boston Scientific Jumps After Q1 Earnings Beat Resets Growth Expectations",139855861,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"On April 22, 2026, investors weigh a rare combo of earnings strength and softer long-term targets reshaping this medtech leader’s outlook.",https://finnhub.io/api/news?id=3fe77dc9d1bd4cce7214ed712bc3c1db36da7950d2c578482ea90b703bf2e434
company,1776891152,"Nasdaq, S&P 500 Notch Peaks as Earnings Fuel Optimism",139854528,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,The Nasdaq Composite and the S&P 500 hit record highs on Wednesday as upbeat corporate results overs,https://finnhub.io/api/news?id=19a645f10f6048ed309a9ccce0519348e986ef9037d20c057c511daa6fa60240
company,1776884704,Discover which S&P500 stocks are making waves on Wednesday.,139852553,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,BSX,ChartMill,Let's have a look at what is happening on the US markets one hour before the close of the markets on Wednesday. Below you can find the top S&P500 gainers and losers in today's session.,https://finnhub.io/api/news?id=ae80157d188281be0d515ccfa1f94e57052986ccba514a7b6434cba8d0c774b1
company,1776881103,Stay informed about the most active stocks in the S&P500 index on Wednesday's session.,139852160,https://www.chartmill.com/images/uploads/CM_Most_Active_Stocks_Small_free_fec0650b7f.webp,BSX,ChartMill,Stay informed about the most active S&P500 stocks in today's session as we take a closer look at what's happening on the US markets on Wednesday. Discover the stocks that are generating the highest trading volume and driving market activity.,https://finnhub.io/api/news?id=62c58c910c9de46cfc076727d1feb6d603da4cb28ba436be6c7cc3c4c78fc215
company,1776880202,Equities Higher Intraday Amid Strong Earnings Reports; Oil Rises,139851631,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"US benchmark equity indexes were higher intraday following a batch of upbeat corporate results, whil",https://finnhub.io/api/news?id=3efc8efdd688012275e3c77abab37113d7b3a39cc3e525b7829252e294f13c95
company,1776877503,"In today's session, there are S&P500 stocks with remarkable trading volume.",139850747,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,BSX,ChartMill,Let's have a look at the S&P500 stocks with an unusual volume in today's session.,https://finnhub.io/api/news?id=662f352c79252c2a8220e2ed25faf16cc72f7be0fdd40c6ed4f535693914a4d7
company,1776876367,Boston Scientific Corporation Q1 2026 Earnings Call Summary,139851737,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,Moby summary of Boston Scientific Corporation's Q1 2026 earnings call,https://finnhub.io/api/news?id=7f47016a133460684c260f28de56f72c6cb0fa4645733a44a64b6cbcb0ac0b99
company,1776875704,Uncover the latest developments among S&P500 stocks in today's session.,139850503,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,BSX,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=526c71e3929bbd0fab61d1248ed1e659a0daabac3594bfbbf574960aa83cc081
company,1776874434,"Jefferies Maintains Buy on Boston Scientific, Lowers Price Target to $100",139855222,,BSX,Benzinga,Jefferies  analyst Matthew Taylor   maintains Boston Scientific (NYSE:BSX) with a Buy and lowers the price target from $110 to $100.,https://finnhub.io/api/news?id=93e29ac9a938122f6d45b682af7c87a4e80454b404010ece1912910896eece3c
company,1776872926,"Top Midday Stories: GE Vernova Shares Gain on Strong Q1 Earnings, Guidance; Vertiv Lifts Guidance After Q1 EPS, Revenue Beats, Shares Fall",139849791,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,All three major US stock indexes were up in late-morning trading Wednesday following reports of Iran,https://finnhub.io/api/news?id=f4a7fa1f476ce87ad52cb38159ce3068907981c2793b2135f0634a521f0a3036
company,1776872840,"Boston Scientific Tops First-Quarter Results, Cuts Full-Year Outlook",139849940,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"Boston Scientific's (BSX) first-quarter results exceeded Wall Street's estimates, while the medical",https://finnhub.io/api/news?id=d3d2cb2b9a4a40dad760b4b036ea18595d7bc23da76d39b60492d17f6690a088
company,1776872160,"BSX Q1 Earnings Match, '26 View Down, Stock Gains in Premarket",139858249,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"Boston Scientific meets Q1 EPS estimates, posts 11.6% revenue growth and beats sales estimates, but cuts 2026 outlook; shares still climb in premarket trading.",https://finnhub.io/api/news?id=f6ca4c8e59cba9e3b9938ac668b057289753aa80181007b2eb14a615beb29261
company,1776871704,How ISRG Just Secured The U.S. Market,139849740,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"The primary insight within Intuitive Surgical’s (ISRG) Q1 2026 performance is the establishment of a structural ""Platform Refresh Wall."" Beyond the $2.50 EPS beat and 23% revenue growth, this cycle resets the competitive landscape for the next decade.",https://finnhub.io/api/news?id=36cb20970f3d7c6c7dd986023d9a08c91a8c992c21778f80be26c0d011cb9716
company,1776869954,Why Is Boston Scientific Stock Soaring Wednesday?,139855223,https://cdn.benzinga.com/files/images/story/2026/04/22/Sep-16--2019-Fremont-----Ca-----Usa---Bo_1.jpeg?width=2048&height=1536,BSX,Benzinga,Q1 2026 Earnings: Boston Scientific beats estimates with $5.20B revenue. Explore the cardiovascular segment performance and new 2026 outlook.,https://finnhub.io/api/news?id=3aa4c15dcee9ad8170b001ea20a634261b704a135d285d7a2185dade6c33daf5
company,1776866232,"Nasdaq 100 Tops Records As Iran Ceasefire Extends, GE Vernova Soars 13%: Stock Market Today",139851940,https://cdn.benzinga.com/files/images/story/2026/04/22/3d-Render-Closeup-Of-Computer-Keyboard-W.jpeg?width=2048&height=1536,BSX,Benzinga,"Tech stocks brushed new record highs during midday Wednesday, as a fresh wave of blockbuster corporate earnings propelled mega-cap technology and speculative names higher. ",https://finnhub.io/api/news?id=57808e97307dbffd0e07df952b05a5abba22debcbc30e267ce503ca1b7def584
company,1776864604,Boston Scientific (BSX) Q1 Earnings: Taking a Look at Key Metrics Versus Estimates,139849942,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"The headline numbers for Boston Scientific (BSX) give insight into how the company performed in the quarter ended March 2026, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=a01ee0307ad3e6f117b6e69574aaff0b7680219ee1f9b454802b5f06caa7a29d
company,1776863209,Boston Scientific Corporation Provides Earnings Guidance for the Second Quarter and Full Year 2026,139850697,,BSX,Finnhub,"Boston Scientific Corporation provided earnings guidance for the second quarter and full year 2026. For the quarter, The company estimated net sales growth versus the prior year period, to be...",https://finnhub.io/api/news?id=50dbeb987e9a49b777667af0a19cb585bfdd5bb55ee57361466c8b185c73350f
company,1776862862,"Stocks making the biggest moves midday: Axe Compute, AST SpaceMobile, United Airlines, GE Vernova & more",139850763,https://image.cnbcfm.com/api/v1/image/108282297-1774370354680-gettyimages-2267710515-AFP_A4JX7G8.jpeg?v=1774370429&w=1920&h=1080,BSX,CNBC,These are the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=5f5c16587046fd118740332e88b771cf1368a842a47f6ae8a2ca7e3ffce85a34
company,1776862290,Boston Scientific Slashes Guidance; Why Shares Rallied,139848579,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,Boston Scientific stock rallied Wednesday despite cutting its 2026 outlook. An analyst says this could offer a reset for shares.,https://finnhub.io/api/news?id=cec3c52daf14fce384a26f89b50082fe835361a9a53f3634088cee10501112cc
company,1776862259,Boston Scientific Corporation (BSX) Q1 2026 Earnings Call Transcript,139850662,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,BSX,SeekingAlpha,"Boston Scientific Corporation (BSX) Q1 2026 Earnings Call April 22, 2026 8:00 AM EDTCompany ParticipantsLauren Tengler - Director of Investor...",https://finnhub.io/api/news?id=c5a6462201bfec5cb351d0c2e8e9a251883229bbe58e968be410da8f0fe9abd8
company,1776859260,Boston Scientific slashes 2026 guidance,139851739,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"CEO Mike Mahoney told investors that the lowered forecast reflects challenges for several businesses, including electrophysiology and Watchman.",https://finnhub.io/api/news?id=9ad2c7d8adddbb67dbcfcaab50c6cca01d9956bb33bb3b067b67e2281ede6c01
company,1776858302,Boston Scientific (BSX) Q1 Earnings Match Estimates,139848580,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"Boston Scientific (BSX) delivered earnings and revenue surprises of +0.59% and +0.37%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=2c6f0aac25ac4063edc18f321c9c3488afd2821e53ab39277f0b56331b1318c9
company,1776856984,"Boston Scientific Corp (NYSE:BSX) Reports Mixed Q1 2026 Results, Slight Revenue Miss Amid Profit Beat",139846816,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_17_c249efcc18.webp,BSX,ChartMill,"Boston Scientific Q1 2026 results show solid growth with an EPS beat, though revenue slightly missed high expectations.",https://finnhub.io/api/news?id=fbd04b76c09c3193c80ecc09a3ade5a974d4ea06c49dbcc9ce3c548078c41342
company,1776856430,Stocks Rise Pre-Bell as Trump Extends Iran Ceasefire; Tesla Earnings On Deck,139847093,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,The main US stock measures were trending higher in Wednesday's premarket activity after President Do,https://finnhub.io/api/news?id=24cded5b33667b56e1a1db1f03cfb39d50c7a3f15602b29ed53fc7b31e7ebca5
