category,datetime,headline,id,image,related,source,summary,url
company,1776888888,"Step aside Tesla, BYD: Japanese carmakers deepen their hold on India's auto market with hybrids",139865493,https://image.cnbcfm.com/api/v1/image/108295089-1776821363403-gettyimages-1241654916-DA1_4044.jpeg?v=1776821373&w=1920&h=1080,BX,CNBC,"In the world's third-largest auto market, demand for hybrid cars is racing ahead of EVs, deepening the hold of Japanese carmakers in India.",https://finnhub.io/api/news?id=51dded3c0e3d9357f6a59bdd21e1c653dd93c9fe0fe248d91794a2c49ae5c0b3
company,1776886295,Thursday's big stock stories: What’s likely to move the market in the next trading session,139865468,https://image.cnbcfm.com/api/v1/image/108257481-1769516811771-gettyimages-2250111740-US_STOCKS.jpeg?v=1771953167&w=1920&h=1080,BX,CNBC,"Both the S&P 500 and the Nasdaq ended Wednesday at record levels, buoyed by the extension of a U.S.-Iran ceasefire and upbeat earnings reports.",https://finnhub.io/api/news?id=9645a9115956edcf7aa5d3672167bb6c825f378861cc1a443446c2f9d3aa115f
company,1776880982,"Stocks retreat from records as software shares slump, oil jumps: Live updates",139865574,https://image.cnbcfm.com/api/v1/image/108294016-1776698311805-gettyimages-2271683421-AFP_A8ED8QH.jpeg?v=1776949286&w=1920&h=1080,BX,CNBC,"Stocks pulled back on Thursday, led by a drop in software and higher oil prices.",https://finnhub.io/api/news?id=2b8533b125089f8f7e705cce529f6d58058711faf7def9af1d3dca2c4c4467fb
company,1776879000,Kindle Energy Breaks Ground on Blackstone-Backed $1.2 Billion Natural Gas Power Generation Facility in West Virginia,139851729,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,"WEST VIRGINIA & NEW YORK, April 22, 2026--Kindle Energy today announced it has broken ground at Wolf Summit Energy (""Wolf Summit""), a previously announced fully contracted, 600-megawatt greenfield combined-cycle gas turbine (""CCGT"") power generation facility in Harrison County, West Virginia backed by Blackstone (NYSE: BX), through funds affiliated with Blackstone Energy Transition Partners (collectively, ""Blackstone Energy Transition Partners"").",https://finnhub.io/api/news?id=9af0aa438910d30f8101e5b7a15f97961ace8c50251d51348cefa5797b6d0c8d
company,1776872731,How Retail Investors Can Benefit From Private Equity's $226B Secondary Market,139852897,https://cdn.benzinga.com/files/images/story/2026/04/22/Private-Equitys-226B-Secondary-Market-Is.png?width=2048&height=1536,BX,Benzinga, ,https://finnhub.io/api/news?id=8e97611f2d724fb7ae7ae1bc7b9b33fc8ba9f28f5fca44ed6339342ebfb8cdd7
company,1776871202,Blackstone-Backed AirTrunk Explores A$500 Million Bond As AI Infrastructure Demand Surges,139849931,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,Asset-backed deal could refinance loans while tapping global investors amid projected $800 billion Asia-Pacific AI investment by 2030.,https://finnhub.io/api/news?id=c6b25f20cbd11754bebb22d7fd000ee52c82a44fffa31f7147af4a11236ddaf1
company,1776868500,"Should You Buy, Hold or Sell Blackstone Stock Ahead of Q1 Earnings?",139851730,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,"BX heads into Q1 earnings results with strong AUM growth expectations, but premium valuation and private credit headwinds may keep cautious investors on the sidelines.",https://finnhub.io/api/news?id=afbc05faf2b4b2d58f63b8f5f5d2f21878ca0fd9847e0e93fa39ec9c8a25a189
company,1776867949,"'Blackstone, KKR Move to Restructure $1.4 Billion Private Loan' - Bloomberg",139852906,,BX,Benzinga,https://www.bloomberg.com/news/articles/2026-04-22/blackstone-kkr-move-to-restructure-1-4-billion-private-loan,https://finnhub.io/api/news?id=748feee5ffe68d2e1d7eb6acbd6441543178678063d3b99c6640b0a495d937fa
company,1776866812,Jersey Mike's Confidential IPO Filing Tests Blackstone's Consumer Exit Story,139849932,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,"Jersey Mike's has reportedly submitted a confidential filing for an IPO after Blackstone acquired a majority stake in the chain. This move surfaces as a fresh portfolio event for NYSE:BX, tied directly to its fast casual restaurant exposure. The IPO process introduces a new potential route for value realization within Blackstone's consumer focused holdings. For you as a Blackstone watcher, Jersey Mike's sits at the intersection of private equity ownership and the US fast casual segment...",https://finnhub.io/api/news?id=df0f08463c084370aaa19aa2e4c85288fb0d135a32269211aac654d3fee8bdb2
company,1776859146,Q1 alternative-asset manager earnings on deck,139851233,https://image.cnbcfm.com/api/v1/image/108295475-17768731411776873138-45437736566-1080pnbcnews.jpg?v=1776873141&w=1920&h=1080,BX,CNBC,CNBC's Leslie Picker joins 'Money Movers' to discuss the latest surrounding alt manager earnings.,https://finnhub.io/api/news?id=c785c21cc13c6aa4d739adefe62c7d51dc15b9625a59199a43ff53def4d05b55
company,1776846617,"Citizens Maintains Market Outperform on Blackstone, Lowers Price Target to $190",139852907,,BX,Benzinga,Citizens  analyst Devin Ryan   maintains Blackstone (NYSE:BX) with a Market Outperform and lowers the price target from $195 to $190.,https://finnhub.io/api/news?id=e64b86c43052b7e6ec3dde8e000b14bc43b97d5991fd6bdf40ac4e1b66a41892
company,1776835043,Blackstone Earnings: What To Look For From BX,139844513,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,Alternative investment manager Blackstone (NYSE:BX) will be reporting earnings this Thursday before market hours. Here’s what investors should know.,https://finnhub.io/api/news?id=b1ed758215b77283beff9ee0f802748287c4e0ed613d761e2e078131105bd6b2
