category,datetime,headline,id,image,related,source,summary,url
company,1776895639,CB Stock Gets Lower Price Target — But Investors Are Watching What Comes Next,139855860,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CB,Yahoo,"Chubb Limited (NYSE:CB) is listed among the 10 Best European Stocks to Buy According to Analysts. On April 14, Bank of America lowered the firm’s price target on Chubb Limited (NYSE:CB) to $271 from $286 while maintaining an Underperform rating. The revision reflected adjustments across its U.S. insurance coverage universe tied to fourth-quarter events and changes […]",https://finnhub.io/api/news?id=2f9513f4d75cbbb71047924fb255781fbd6a4d48b9d7b374fe6da257b2bd85df
company,1776884280,"AMSF Q1 Earnings Miss Estimates on Higher Costs, Soft Underwriting",139858219,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CB,Yahoo,"AMERISAFE Q1 earnings miss estimates as higher expenses and weaker underwriting margins weigh, despite solid premium growth and rising revenues.",https://finnhub.io/api/news?id=d713c0e9f865b3998a4f8c2403d1005a5479d0df8217571bcae95d22b7f8f0fe
company,1776878197,The Oracle Of OMAH Wins Round One Vs. Berkshire Hathaway,139854279,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/501615404/image_501615404.jpg?io=getty-c-w1536,CB,SeekingAlpha,The Solactive VistaShares Berkshire Select Index tracks the 20 largest Berkshire Hathaway (BRK.B) holdings plus BRK.B itself. Read the full analysis here.,https://finnhub.io/api/news?id=4c23939516df7c2c472d38bca0192c752e536c35da2a4d8c6537c0954e947ad0
company,1776869700,CB Q1 Earnings & Revenues Beat on Higher Underwriting Profit,139851711,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CB,Yahoo,"Chubb Limited's Q1 results reflect strong growth in P&C underwriting income, investment income, life income and improved combined ratio.",https://finnhub.io/api/news?id=97e89cbf12e844331453fda33168e1bb66fc0fd27d1f833e0101fb59de5d8b91
company,1776868435,Chubb's earnings blew past the Street. Here's why the stock is falling,139865774,https://image.cnbcfm.com/api/v1/image/107386983-1710347787486-gettyimages-1155028859-340195129_1-6.jpeg?v=1776882068&w=1920&h=1080,CB,CNBC,"Instead of focusing on those numbers, investors are spooked by signs of a softening property insurance market, with competition increasing and rates declining.  ",https://finnhub.io/api/news?id=c669001bc6b92e709f4646cf9bbfe3712c0052aab11b6f9bd918ec50060c3240
company,1776863444,Chubb Limited (CB) Q1 2026 Earnings Call Transcript,139850753,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CB,SeekingAlpha,"Chubb Limited (CB) Q1 2026 Earnings Call April 22, 2026 8:30 AM EDTCompany ParticipantsSusan Spivak Bernstein - Senior Vice President of Investor...",https://finnhub.io/api/news?id=9a24e07d76461ab738e4e705a781b07e00f134555aa3b8844335e7f1bddac5c0
company,1776861000,Chubb Limited Q1 2026 Earnings Call Summary,139851712,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CB,Yahoo,Moby summary of Chubb Limited's Q1 2026 earnings call,https://finnhub.io/api/news?id=78330c545876cc65d20261a4fe9ea031a7d683af7bf3955b75b095dedbbab4f1
company,1776854163,"Transcript : Chubb Limited, Q1 2026 Earnings Call, Apr 22, 2026",139849079,,CB,Finnhub,"Presentation Operator MessageOperator Thank you for standing by. My name is [ Gail ], and I will be your conference operator today. At this time, I would like to welcome everyone to the Chubb",https://finnhub.io/api/news?id=7ebe4a0552bb8f802bca1dc8cff7e2b447e58f75a8fa596126b47fe215d785b9
company,1776850590,"Cantor Fitzgerald Reiterates Neutral on Chubb, Maintains $315 Price Target",139852214,,CB,Benzinga,Cantor Fitzgerald  analyst Ryan Tunis   reiterates Chubb (NYSE:CB) with a Neutral and maintains $315 price target.,https://finnhub.io/api/news?id=81ee0734b214ce5a1140db994b4e7c2d81b0f9f86c1ac8c405c5968c125916e4
company,1776850396,Chubb Q1 2026 Earnings Call: Complete Transcript,139852215,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_4.jpg?width=2048&height=1536,CB,Benzinga, ,https://finnhub.io/api/news?id=053c8c035ae43b733c2c3f058f2e024922b5a855fedf4c43c45861fce96a0ce6
