category,datetime,headline,id,image,related,source,summary,url
company,1776900744,Crown Castle Inc. 2026 Q1 - Results - Earnings Call Presentation,139857346,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CCI,SeekingAlpha,2026-04-22. The following slide deck was published by Crown Castle Inc.,https://finnhub.io/api/news?id=15c3366140cdddd05d5c6ea51761292d1319d6784dab8da2c42e654f3b90bf93
company,1776897471,Crown Castle (CCI) Q1 2026 Earnings Transcript,139855940,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CCI,Yahoo,"With me on the call this afternoon are Chris Hillebrandt, Crown Castle Inc.'s President and Chief Executive Officer, and Sunit Patel, Crown Castle Inc.'s Chief Financial Officer.  This conference call will contain forward-looking statements, which are subject to certain risks, uncertainties, and assumptions, and actual results may vary materially from those expected.  In addition, today's call includes discussions of certain non-GAAP financial measures.",https://finnhub.io/api/news?id=a4badc55960c0412ae00b22fc2af52fafbcc0ff9309869cdfd66c3f1050353ce
company,1776895202,Crown Castle (CCI) Q1 Earnings: Taking a Look at Key Metrics Versus Estimates,139858293,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CCI,Yahoo,"While the top- and bottom-line numbers for Crown Castle (CCI) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=9ba2ca5b7b2756643840f00b949a8bf2e09791b892e16a52eb89f83aa7dd9e9f
company,1776894304,Crown Castle (CCI) Q1 FFO and Revenues Surpass Estimates,139855941,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CCI,Yahoo,"Crown Castle (CCI) delivered FFO and revenue surprises of +1.49% and +0.25%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=8917f5bdd6eaf2f940ff5686dba13314c28e89bd1ba9e266a6a2df481777a3a6
company,1776891982,"Crown Castle Inc (NYSE:CCI) Q1 2026 Earnings Surpass Estimates, Company Reaffirms Full-Year Outlook",139854260,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_16_065e226ebd.webp,CCI,ChartMill,"Crown Castle (CCI) Q1 2026 earnings beat estimates, with EPS soaring over 160%. The company also reaffirmed its full-year 2026 guidance.",https://finnhub.io/api/news?id=7ec919c936257cc641901f023717f2326dfae17d453b544c842cc2e3540147e0
company,1776888900,Crown Castle Reports First Quarter 2026 Results and Maintains Outlook for Full Year 2026,139854816,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CCI,Yahoo,"HOUSTON, April 22, 2026 (GLOBE NEWSWIRE) -- Crown Castle Inc. (NYSE: CCI) (""Crown Castle"") today reported results for the first quarter ended March 31, 2026, and maintained its full year 2026 Outlook, as reflected in the table below. (dollars in millions, except per share amounts)Current Outlook Midpoint(a)Full Year 2025 Actual Change% ChangeSite rental revenues(b)$3,850$4,049 $(199)(5)%Net income (loss)$780$444 $33676%Net income (loss) per share—diluted$1.80$1.01 $0.7978%Adjusted EBITDA(b)(c)$2",https://finnhub.io/api/news?id=8cc9cdc7b5a6719edeaa5eea077b3bbdc843fec2c01bfbdc5a56909886d51b49
company,1776887435,Crown Castle Inc. (CCI) Q1 2026 Earnings Call Transcript,139855738,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CCI,SeekingAlpha,"Crown Castle Inc. (CCI) Q1 2026 Earnings Call April 22, 2026 4:30 PM EDTCompany ParticipantsKris Hinson - VP of Corporate Finance & TreasurerChristian...",https://finnhub.io/api/news?id=8e0fb8944d54f968203f9671f65b3469ec7f7441e7fa680615dc10b0b9ff2eb8
company,1776884457,"Transcript : Crown Castle Inc., Q1 2026 Earnings Call, Apr 22, 2026",139855884,,CCI,Finnhub,"Presentation Operator MessageOperator Good day, and welcome to the Crown Castle First Quarter 2026 Earnings Conference Call. [Operator Instructions] Please note this event is being recorded. I",https://finnhub.io/api/news?id=ae4d86847bdcfff1deda2999827b2d513ccf8201a937496d6134f3411c35fc4b
company,1776879973,Crown Castle Q1 2026 Earnings Call: Complete Transcript,139855633,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_3.jpg?width=2048&height=1536,CCI,Benzinga, ,https://finnhub.io/api/news?id=3006e836616c93125603ba9deace2d8a578f18e82117e663d87abd8fed1133c1
company,1776876561,Crown Castle beats quarterly site rental revenue estimates on steady leasing activity,139853915,,CCI,Finnhub,"Wireless tower operator CrownCastle beat Wall Street estimates for first-quarter siterental revenue on Wednesday, signaling solid leasing momentum aswireless carriers and service providers expand...",https://finnhub.io/api/news?id=a7f9cc5b3117b2229ce1c44901cc399a9bdae55b633daeb743dd3c0672bbec7a
