category,datetime,headline,id,image,related,source,summary,url
company,1776896543,Capital One’s $425M Settlement Is Finally Approved—With More Money for Customers Past and Present,139855849,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"Millions of Capital One customers are in line for payouts tied to past interest, and some will also see higher savings rates going forward.",https://finnhub.io/api/news?id=73e2dd079a07471a864ea1bac825725e896f1fae9a957bb2a4270c5bd84e36d3
company,1776889353,Capital One's 2026 First-Quarter Earnings Results Fell Short of Wall Street Estimates in 3 Different Ways. Is the Consumer Finally Showing Signs of Fatigue?,139854745,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,Capital One's earnings and revenue missed Wall Street estimates in the first quarter of 2026.,https://finnhub.io/api/news?id=f48da314e8bc1f5c67ff972c72cdbbd7b1a5e1fcbb4c5bdd58ea50de9b19bd32
company,1776874873,"Capital One Closed Hopper Tech and Employee Deal in April, Focuses on Travel Expansion",139851704,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"The Hopper tech acquisition, along with that of Discover and Brex, position Capital One Travel to get much more competitive with American Express and Chase Travel in going after luxury and business travelers.",https://finnhub.io/api/news?id=ed1ea8ff0223578e2ee23d4631883040e5808c66e6bc4311fcd0882a2cd989be
company,1776868200,COF Shares Slide on Q1 Earnings Miss as Provisions & Expenses Jump Y/Y,139851705,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"Capital One shares decline 3.2% as Q1 adjusted earnings lag estimates, with provisions and expenses surging despite 52% revenue growth and wider NIM.",https://finnhub.io/api/news?id=e9a3348bf137eb2ce76d03d8abd1e61ea6a072c056f905c4aea69afec017506f
company,1776867548,Gig tripping this summer? Here's how to pay for concert travel with your credit cards,139865522,https://image.cnbcfm.com/api/v1/image/108294010-1776697778276-gettyimages-2237274471-202509120322.jpeg?v=1776697834&w=1920&h=1080,COF,CNBC,Flexible travel rewards can help you save on last-minute flights to concerts. But there is value in having an airline or hotel credit card if you plan ahead.,https://finnhub.io/api/news?id=3e17bbfaef87b018cf7d8a080e1b2de7ee12f2055f89248c5a2a223e32c3cd1a
company,1776866587,4 To Watch Of 21 'Safer' April Dividends From 100 Fortune Best Companies To Work For (FBCTWF),139852004,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/200402217/image_200402217.jpg?io=getty-c-w1536,COF,SeekingAlpha,"Analyzing the 54 dividend-paying Fortune Best Companies To Work For, 0 currently offer dividends from $1,000 invested exceeding their share price, limiting 'dogcatcher' value. Read more.",https://finnhub.io/api/news?id=0cd31691cda24455c65fbdbf3164da6f929fc118283c3c9f53beac5243c7295c
company,1776866382,Key Metrics To Track For Capital One After Its Q1 Earnings Miss,139849860,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"Capital One (COF) posted first-quarter 2026 earnings that missed on both revenue, which stood at $15.23 billion, and adjusted EPS, which came in at $4.42, drawing a sharp negative market reaction.",https://finnhub.io/api/news?id=3c4b8a0fcfebaee5ca9d91f41fb95f623966ad36c320e2b2059f469861d5f5b5
company,1776863664,"Exchange-Traded Funds, Equity Futures Higher Pre-Bell Wednesday Amid Extended US-Iran Ceasefire",139848528,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"The broad market exchange-traded fund SPDR S&P 500 ETF Trust (SPY) was up 0.6%, and the actively tra",https://finnhub.io/api/news?id=cee285e58f9500227bd41eadba7bbb14c0cfddfb106081cd8f8b2d7ec8b215f6
company,1776862862,"Stocks making the biggest moves midday: Axe Compute, AST SpaceMobile, United Airlines, GE Vernova & more",139850763,https://image.cnbcfm.com/api/v1/image/108282297-1774370354680-gettyimages-2267710515-AFP_A4JX7G8.jpeg?v=1774370429&w=1920&h=1080,COF,CNBC,These are the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=5f5c16587046fd118740332e88b771cf1368a842a47f6ae8a2ca7e3ffce85a34
company,1776861000,Capital One Financial Corporation Q1 2026 Earnings Call Summary,139861259,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,Moby summary of Capital One Financial Corporation's Q1 2026 earnings call,https://finnhub.io/api/news?id=74b1841a78b2881b31af989394b2b395abf7899c777baa477b7f6dffa4834bf0
company,1776859328,3 Market Risks Investors Won't See Coming,139850152,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2244320045/image_2244320045.jpg?io=getty-c-w1536,COF,SeekingAlpha,"Stocks hit new highs despite weak consumer dataâlearn 3 off-the-radar risks (private credit, CRE, loan losses) that could shake markets. Read the full analysis here.",https://finnhub.io/api/news?id=549e46837feb6731b96b62117316ac5b09e367b984e4445259c23461e1bfdf86
company,1776857297,Capital One: Series N Preferreds Look Attractive With A H2 2027/H1 2028 Horizon (Upgrade),139849392,,COF,SeekingAlpha,,https://finnhub.io/api/news?id=38edfe506e32b78f565338ebb466e01e15d57df5a2f05906ca404f28b2fa5d40
company,1776854723,"COF Q1 Deep Dive: Discover Integration, Investment Priorities, and Credit Resilience",139847228,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"Financial services company Capital One (NYSE:COF) fell short of the market’s revenue expectations in Q1 CY2026, but sales rose 52.3% year on year to $15.23 billion. Its non-GAAP profit of $4.42 per share was 3.3% below analysts’ consensus estimates.",https://finnhub.io/api/news?id=efdc9a9c8432085d667d78d5929b508b6d7d8a0ae98cc7478c17e4e7a04e26f6
company,1776852960,"These Stocks Are Today’s Movers: Tesla, United Airlines, Capital One, DJT, Adobe, and More",139847097,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"Tesla climbs 0.8% ahead of first-quarter earnings, while United Airlines shares shrug off a full-year guidance cut.",https://finnhub.io/api/news?id=6cd31f6ff7473678084510cd37636039b0a60e814e36a3b295c31155dc95976b
company,1776849485,"Barclays Maintains Overweight on Capital One Financial, Raises Price Target to $250",139855597,,COF,Benzinga,Barclays  analyst Terry Ma   maintains Capital One Financial (NYSE:COF) with a Overweight and raises the price target from $226 to $250.,https://finnhub.io/api/news?id=1538e55e79929a86fa04f7b6135603d036b6f44fc9cb7e81254c4ea4162ee3f0
company,1776842379,Market-Moving News for April 22nd,139852201,,COF,Benzinga,"COF: -5% | Capital One Financial shares are trading lower after the company reported worse-than-expected Q1 financial results. BBY: 2% | Best Buy Appoints Jason Bonfig As CEO, Effective At End Of",https://finnhub.io/api/news?id=1b01fe2521453310e038d5919894643f3e514fcc92caa32a06386129e4073b06
