category,datetime,headline,id,image,related,source,summary,url
company,1776901975,Dow Jones Futures Fall After Nasdaq Hits High; Tesla Stock Sinks On Elon Musk Comments,139855748,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"The Nasdaq hit a new high as techs led Wednesday. Tesla fell late on Elon Musk comments. Lam Research, CSX, Texas Instruments and IBM were big earnings movers overnight.",https://finnhub.io/api/news?id=b720e8c17af39edf7c9b9b460c31e6d0977c6c430a3ea8be7d5ac30600417ed0
company,1776896181,CSX (CSX) Q1 2026 Earnings Transcript,139855901,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"Steve Angel: Good afternoon, and thank you for joining our call.  Volume and revenue grew year over year, while operating expense moved substantially lower, which led to significant margin expansion and EPS growth.",https://finnhub.io/api/news?id=1f65e286de8578338badc14ea2633169594158452a085754e23c7fce4162c122
company,1776895202,CSX (CSX) Q1 Earnings: How Key Metrics Compare to Wall Street Estimates,139858265,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"While the top- and bottom-line numbers for CSX (CSX) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=03e233fa08f9f20c98e1c9a3aa47b84f15653cac025cf3797dd4f2b1d2b4580a
company,1776894188,"Dow Jones Futures: Nasdaq Hits High On Trump Truce; Tesla Earnings Strong, Elon Musk On Call",139854555,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"The Nasdaq hit a new high as techs led Wednesday. Tesla stock jumped late on earnings, along with several others.",https://finnhub.io/api/news?id=0134436acb42012ef71f10b873e434ca673c4dcaa22f3afc928a855b33b79ebf
company,1776892503,CSX (CSX) Surpasses Q1 Earnings Estimates,139855902,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"CSX (CSX) delivered earnings and revenue surprises of +10.88% and -0.80%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=a89da8b7a86aa766fd6dcf255cfbb866d34964adef791ffdf27db74c649897c5
company,1776891907,Top gainers and losers in the S&P500 index during Wednesday's after-hours session.,139854257,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,CSX,ChartMill,"As the regular session of the US market concludes on Wednesday, let's get an insight into the after-hours session and identify the top gainers and losers in the S&P500 index.",https://finnhub.io/api/news?id=dc9e7770d52b79bbae293249b4d222c5e70769e8361fa4b5dd5c189f29f71e55
company,1776890635,CSX Corp. (NASDAQ:CSX) Surges on Strong Q1 2026 Earnings Beat,139853974,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_16_065e226ebd.webp,CSX,ChartMill,"CSX Q1 2026 earnings beat profit forecasts with EPS of $0.43, driving a 7% stock surge on strong cost management and volume growth.",https://finnhub.io/api/news?id=8fe1ba3f4998984beb6a79cfefa9663619a3388887075aeab107090eccec46a5
company,1776888629,"CSX (NASDAQ:CSX) Reports Q1 CY2026 In Line With Expectations, Stock Soars",139854776,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"Freight rail services provider CSX (NASDAQ:CSX) met Wall Street’s revenue expectations in Q1 CY2026, with sales up 1.7% year on year to $3.48 billion. Its GAAP profit of $0.43 per share was 10.5% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=6c2eb25811aef3cb809c7f58de1d3a54c6d66d95e0dc474ba4290b020fed200f
company,1776888120,CSX Corp. Announces First Quarter 2026 Results,139854777,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"JACKSONVILLE, Fla., April 22, 2026 (GLOBE NEWSWIRE) -- CSX Corp. (NASDAQ: CSX) today announced first quarter 2026 operating income of $1.25 billion and net earnings of $807 million, or $0.43 per diluted share. In the first quarter of 2025, the company reported operating income of $1.04 billion and net earnings of $646 million, or $0.34 per diluted share. Total volume of 1.56 million units for the quarter was 3% higher compared to first quarter 2025. Revenue totaled $3.48 billion for the quarter,",https://finnhub.io/api/news?id=a3cbc72f91cbe25c46344d2076507656b8e92b46239f035943d96553d4bce3d0
company,1776886837,CSX Corporation (CSX) Q1 2026 Earnings Call Transcript,139855704,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CSX,SeekingAlpha,"CSX Corporation (CSX) Q1 2026 Earnings Call April 22, 2026 4:30 PM EDTCompany ParticipantsMatthew Korn - Head of Investor RelationsStephen Angel - CEO,...",https://finnhub.io/api/news?id=434204677d74853bad37b6e2cce8c450768ff910f978d5cce165c0fab07ebf2c
