category,datetime,headline,id,image,related,source,summary,url
company,1776900602,This Dividend Stock Keeps Hitting It Out of the Park: Should You Buy?,139858198,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,Citigroup's financial performance has been impressive over the last couple of years as its transformation under CEO Jane Fraser is bearing fruit. Is the stock a buy?,https://finnhub.io/api/news?id=265c8024121af7384122ce65fcc8df716286ac923e33381d329187961d4d040e
company,1776895320,Citi Announces Offers to Purchase Three Series of Outstanding Citigroup Inc. Notes,139855829,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"NEW YORK, April 22, 2026--Citigroup Global Markets Inc. (""CGMI""), an indirect wholly-owned subsidiary of Citigroup Inc. (""Citigroup""), today announced the commencement of offers to purchase for cash the three series of Citigroup notes set forth in the table below (collectively, the ""Notes"" and each a ""series"" of Notes), using a ""waterfall"" methodology under which CGMI will accept Notes in the order of their respective Acceptance Priority Levels specified in the table below, subject to a $1,250,0",https://finnhub.io/api/news?id=836ccde355e4edc4233f0627f9002242fd40b245afe836fdb47df65e4e225bce
company,1776888888,"Step aside Tesla, BYD: Japanese carmakers deepen their hold on India's auto market with hybrids",139865493,https://image.cnbcfm.com/api/v1/image/108295089-1776821363403-gettyimages-1241654916-DA1_4044.jpeg?v=1776821373&w=1920&h=1080,C,CNBC,"In the world's third-largest auto market, demand for hybrid cars is racing ahead of EVs, deepening the hold of Japanese carmakers in India.",https://finnhub.io/api/news?id=51dded3c0e3d9357f6a59bdd21e1c653dd93c9fe0fe248d91794a2c49ae5c0b3
company,1776888840,"Top Analyst Reports for Exxon Mobil, IBM & Citigroup",139858175,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"Exxon Mobil's production growth, Guyana success, and low-carbon push highlight why XOM stands out in today's top analyst research reports.",https://finnhub.io/api/news?id=5da16ec1c3ef815e47820d9bc47ca9fd2bb3d87be799859c53ce652548868c63
company,1776867960,Vertiv Earnings Beat Expectations. The AI Infrastructure Stock Is Sliding Anyway.,139849897,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"Vertiv, a critical Nvidia partner, posts first-quarter earnings and revenue that top analysts’ forecasts.",https://finnhub.io/api/news?id=f50655a1cf6b90cc7fb87a1cc628b93e3405b10e8715fa179b62257aba45e197
company,1776882310,Citigroup : Inside Information / Ad Hoc Information - Tender offer - EN,139855915,,C,Finnhub,"‌For Immediate Release Citigroup Inc. April 22, 2026 Citi Announces Offers to Purchase Three Series of Outstanding Citigroup Inc. Notes NEW YORK -...",https://finnhub.io/api/news?id=70b40f8b4eb5759d6e18d756c6835fc2344aeeafe49079111d3e8ab487f27af9
company,1776880662,Mexico's Banamex taps Edgardo del Rincón as CEO,139854509,,C,Finnhub,April 22 - Mexico's Banamex taps Edgardo del Rincón as CEO - statement...,https://finnhub.io/api/news?id=da314b48de72a9ca48cb5415727ce117d72537b5b950cde9e87c8404aca7e058
company,1776878546,Banamex names Edgardo del Rincón as CEO,139854239,,C,Finnhub,Mexican retail bank GrupoFinanciero Banamex said on Wednesday it had appointed Edgardodel Rincón as chief executive officer. ...,https://finnhub.io/api/news?id=b776bf4819be7465f672fec42e8039b98999cddd88e79f3f4db4272ac8d88484
company,1776877392,"Adobe Rises, But The Story Feels Mixed",139851638,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"Progress shows, but concerns still exist",https://finnhub.io/api/news?id=e4d2294e33cba17d9bdffd93693f151e1d6f3daf3d54539e73a50a76dd8ef169
company,1776874342,IBM shares drop as company beats but opts to maintain guidance,139865635,https://image.cnbcfm.com/api/v1/image/108295719-1776887809638-gettyimages-2242088737-TRUMP_DIWALI.jpeg?v=1776888154&w=1920&h=1080,C,CNBC,"Investors have been attuned to mainframe disruption threats from artificial intelligence, but IBM posted 51% growth in Z mainframe hardware revenue.",https://finnhub.io/api/news?id=6262f715740e54d782170360c04771f8ba507b5801777687b143e76bd70cd7af
company,1776873603,What Makes Citigroup (C) a Strong Momentum Stock: Buy Now?,139858200,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,Does Citigroup (C) have what it takes to be a top stock pick for momentum investors? Let's find out.,https://finnhub.io/api/news?id=6b2ff6044fa1b29a3d4b1e7426399dae2abda681830dca79f7cedce8451726bf
company,1776868800,"Big Bank Earnings Gave Financials a Lift, But Wall Street Is Still Cautious",139864165,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"Goldman Sachs, Wells Fargo, Citigroup, and JPMorgan all posted Q1 2026 earnings beats, signaling potential undervaluation as the financials sector attempts a recovery.",https://finnhub.io/api/news?id=9e753d91c40f6463969691df4af20d8f790384f4ef16d47d58ebdc5f1fa3ee72
