category,datetime,headline,id,image,related,source,summary,url
company,1776897660,Earnings Picture Remains Positive: A Closer Look,139858190,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DHI,Yahoo,"The picture emerging from the Q1 earnings season is of continued strength and momentum, with companies not only comfortably beating consensus estimates but also providing a reassuring read on the economy despite elevated energy costs and other risks.",https://finnhub.io/api/news?id=ce09c42f072fb530531eddad11fcce71680d047a8fb613dbd242d2b21e5a5ea5
company,1776889800,The Nation’s Largest Home Builder Topped Earnings Estimates. Is PulteGroup Next?,139854813,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DHI,Yahoo,A multiyear slowdown has been playing out in the housing market amid headwinds such as rising mortgage rates and macroeconomic and geopolitical uncertainty.,https://finnhub.io/api/news?id=6ba8b4f7e39388da20b8ff17f36f28d288bb36e04934326fc8f0eceeff4c5bc8
company,1776876171,"UBS Maintains Buy on D.R. Horton, Raises Price Target to $206",139868635,,DHI,Benzinga,UBS  analyst John Lovallo   maintains D.R. Horton (NYSE:DHI) with a Buy and raises the price target from $193 to $206.,https://finnhub.io/api/news?id=0b5ed2643ac9b389b5597c4fc8c28f50d92d1b625e55dcdf1804753aeb6b9c43
company,1776871777,D.R. Horton: No Demand Destruction Despite Macro Headwinds,139852751,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2185474370/image_2185474370.jpg?io=getty-c-w1536,DHI,SeekingAlpha,D.R. Horton Q2â26 shows resilient sales/margins despite high mortgage rates; premium valuation and debt risks suggest waiting for a dip. Read more on DHI stock.,https://finnhub.io/api/news?id=29a37b89a1b024764da356292e1e91100d6f411d1699883d88fc87b65749bcc4
company,1776869640,Can TOL Expand in the Arkansas Market With the Buffington Buyout?,139851815,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DHI,Yahoo,"Can Toll Brothers scale in Arkansas after Buffington buyout, adding more than 1,500 lots and entering Fayetteville/Bentonville's steady housing market?",https://finnhub.io/api/news?id=f6edb76837b58dc93075645d2db7417e7695b3b0d945df5ad89573875721f3cd
company,1776868860,"Masco's Q1 Earnings Beat Estimates on Pricing & Cost Savings, Stock Up",139851816,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DHI,Yahoo,How did MAS deliver a first-quarter earnings beat as pricing and cost savings offset rising costs?,https://finnhub.io/api/news?id=caf7c43debc38450997e589fc949b1e802e00c5d8c495099a29b872459c2ac25
company,1776865283,"DHI Q2 Deep Dive: Market Share, Cost Savings, and Inventory Management Offset Revenue Miss",139848641,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DHI,Yahoo,"Homebuilder D.R. Horton (NYSE:DHI) fell short of the market’s revenue expectations in Q1 CY2026, with sales falling 2.3% year on year to $7.56 billion. On the other hand, the company’s full-year revenue guidance of $34 billion at the midpoint came in 1.1% above analysts’ estimates. Its non-GAAP profit of $2.24 per share was 5.6% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=7a0da9ec2e347871b6819668c4d9f7a027ac2e70bf2ef595c333397741ef00bb
company,1776862200,"Goldman Sachs Maintains Buy on D.R. Horton, Raises Price Target to $190",139853518,,DHI,Benzinga,Goldman Sachs  analyst Susan Maklari   maintains D.R. Horton (NYSE:DHI) with a Buy and raises the price target from $172 to $190.,https://finnhub.io/api/news?id=28072230b3f885555e51a25e3fca4a6173b24c21b98c80bd46436fbe9b09a0e1
company,1776860396,D.R. Horton Analysts Increase Their Forecasts After Q2 Earnings,139853519,https://cdn.benzinga.com/files/images/story/2026/04/22/Two-Diverse-Crypto-Traders-Brokers-Stock.jpeg?width=2048&height=1536,DHI,Benzinga,"D.R. Horton reported mixed Q2 earnings, with net income and revenue declining. Fiscal 2026 guidance reiterated, analysts change price targets.",https://finnhub.io/api/news?id=a40f6af51b644630ab741a8cd93772fff7d909a0c70739d55ab62bfad947ad63
company,1776858960,"Stock Market News for Apr 22, 2026",139849790,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DHI,Yahoo,"U.S. stocks closed lower on Tuesday as uncertainty over U.S.-Iran talks weighed on sentiment, while market participants evaluated earnings results.",https://finnhub.io/api/news?id=c4768b6b86c55067d3016bc0a50ea3ffd6420b7a80df32fd7c17806b7c2aaddc
company,1776855725,"Wells Fargo Maintains Equal-Weight on D.R. Horton, Raises Price Target to $170",139853520,,DHI,Benzinga,Wells Fargo  analyst Sam Reid   maintains D.R. Horton (NYSE:DHI) with a Equal-Weight and raises the price target from $147 to $170.,https://finnhub.io/api/news?id=8e02f101b0b31d1e3727fa017030ca2b712ffc288a353cc5be68d413f6490bad
company,1776853299,"RBC Capital Maintains Underperform on D.R. Horton, Raises Price Target to $123",139853521,,DHI,Benzinga,RBC Capital  analyst Mike Dahl   maintains D.R. Horton (NYSE:DHI) with a Underperform and raises the price target from $117 to $123.,https://finnhub.io/api/news?id=27f7ae5b1de91f9f7c2c829c730c83ee3ea4ee887c3056cc81ae24f0ba3491f8
company,1776849622,"Barclays Maintains Equal-Weight on D.R. Horton, Raises Price Target to $140",139853522,,DHI,Benzinga,Barclays  analyst Matthew Bouley   maintains D.R. Horton (NYSE:DHI) with a Equal-Weight and raises the price target from $128 to $140.,https://finnhub.io/api/news?id=ab6ec724b5a81449aa3d1bf5396a469b49be37c25bfd55784627407998a4f0cd
company,1776845704,"Truist Securities Maintains Hold on D.R. Horton, Raises Price Target to $150",139853523,,DHI,Benzinga,Truist Securities  analyst Rohit Seth   maintains D.R. Horton (NYSE:DHI) with a Hold and raises the price target from $140 to $150.,https://finnhub.io/api/news?id=c1d27ef35c715c8ebff97e72d4c86ce7468b0c1d3feca3d16402b2c649ed3bdb
company,1776843010,D.R. Horton: A Quality Way To Play The Housing Market,139846918,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2246831967/image_2246831967.jpg?io=getty-c-w1536,DHI,SeekingAlpha,"D.R. Horton demonstrates resilience with rising net new orders and backlog despite industry headwinds, justifying a continued soft 'buy' rating. Learn more about DHI stock here.",https://finnhub.io/api/news?id=42c42675d3e391bf949ecbcbf08af9cce1b8d60111e37d216cb77bf400909ea6
company,1776841317,D.R. Horton Inc (DHI) Q2 2026 Earnings Call Highlights: Strong Demand and Strategic Growth Amid ...,139845266,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DHI,Yahoo,"D.R. Horton Inc (DHI) reports robust net sales orders and strategic inventory management, despite challenges in pricing and profitability.",https://finnhub.io/api/news?id=13614ff986054d0d91884751f61c721776676106a8c34eea3c169dd925b9c2ea
company,1776839774,DR Horton : Q2 FY 2026 Earnings Call Transcript,139846464,,DHI,Finnhub,"Transcript of D.R. Horton, Inc. D.R. Horton Q2 2026 Earnings Call/Webcast April 21, 2026 Participants Jessica Hansen - Senior Vice...",https://finnhub.io/api/news?id=18808016a4c8068d7abdf130609bee1f24c82aa8f0f3a405ac11dd5996d4950d
