category,datetime,headline,id,image,related,source,summary,url
company,1776899700,Danaher Announces Pricing of Euro-Denominated Senior Notes Offering,139855852,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DHR,Yahoo,"Danaher Corporation (NYSE: DHR) (""Danaher"") announced today that it has priced an offering of the following euro-denominated senior notes (the ""Offering""):",https://finnhub.io/api/news?id=2879655dd36b9efbc3052b111d11240d18eb4485157f89fe4d8d6207ba076f94
company,1776884704,Discover which S&P500 stocks are making waves on Wednesday.,139852553,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,DHR,ChartMill,Let's have a look at what is happening on the US markets one hour before the close of the markets on Wednesday. Below you can find the top S&P500 gainers and losers in today's session.,https://finnhub.io/api/news?id=ae80157d188281be0d515ccfa1f94e57052986ccba514a7b6434cba8d0c774b1
company,1776875564,"UBS Maintains Buy on Danaher, Lowers Price Target to $250",139866991,,DHR,Benzinga,UBS  analyst Dan Leonard   maintains Danaher (NYSE:DHR) with a Buy and lowers the price target from $270 to $250.,https://finnhub.io/api/news?id=724d7a8dba4992e4cb87a1ee2e0d2a10a1fdf21899b52ead35efdc5211f56a8f
company,1776868905,Danaher shares are trading lower after Guggenheim and Wells Fargo lowered their respective price targets on the stock.,139866992,,DHR,Benzinga,,https://finnhub.io/api/news?id=dad6f8c99cf245095756d59a0cb153049b68fc916440e6d465e5f15b6b0e1df2
company,1776868200,Danaher Q1 2026 Earnings Update,139852304,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2153981948/image_2153981948.jpg?io=getty-c-w1536,DHR,SeekingAlpha,Danaher had another somewhat uneventful quarter. Management kept their core revenue guidance of ~3-6% but raised the high end of 2026 EPS guidance. Read more here.,https://finnhub.io/api/news?id=bfbd22adfbb81b104a8ae36b022bdd06e899b6be2ab459e6252223ec27c560ab
company,1776866243,DHR Q1 Deep Dive: Bioprocessing Momentum and Acquisition Strategy Drive Mixed Start to 2026,139849893,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DHR,Yahoo,Diversified science and technology company Danaher (NYSE:DHR) fell short of the market’s revenue expectations in Q1 CY2026 as sales rose 3.7% year on year to $5.95 billion. Its non-GAAP profit of $2.06 per share was 6.4% above analysts’ consensus estimates.,https://finnhub.io/api/news?id=458836c2f8e18508a6b28608cc2dad6ed22a42781d9aa3e54fb1a359c0756642
company,1776855330,"Wells Fargo Maintains Equal-Weight on Danaher, Lowers Price Target to $212",139851930,,DHR,Benzinga,Wells Fargo  analyst Brandon Couillard   maintains Danaher (NYSE:DHR) with a Equal-Weight and lowers the price target from $240 to $212.,https://finnhub.io/api/news?id=b82a00c91c835e74094b9c18a483aaea2974aaaa07cfee5064d41c13797655b5
company,1776852086,"Guggenheim Maintains Buy on Danaher, Lowers Price Target to $235",139851931,,DHR,Benzinga,Guggenheim  analyst Subbu Nambi   maintains Danaher (NYSE:DHR) with a Buy and lowers the price target from $275 to $235.,https://finnhub.io/api/news?id=82d3b1ce57c2e8932af54c88bd56fd473ef7e68cac9cbfc28f745ada54cb8329
company,1776841318,Danaher Corp (DHR) Q1 2026 Earnings Call Highlights: Strong EPS Growth and Strategic ...,139845229,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DHR,Yahoo,"Danaher Corp (DHR) reports robust earnings growth and strategic moves, despite challenges in diagnostics and North American markets.",https://finnhub.io/api/news?id=fd1feea8ed0383937e6c402d8730b6426613772af622ca6124b4609b5944dc51
company,1776829479,Dethroned S&P 500 champion Danaher spends without convincing,139845065,,DHR,Finnhub,"A status quo persists at Danaher, which yesterday reported its Q1 results.",https://finnhub.io/api/news?id=85f8b7c806ae61d9e1051113897492b54824535b9c515673ef351a1e57272c55
