category,datetime,headline,id,image,related,source,summary,url
company,1776885425,Equifax : Statement on FHFA and HUD Announcement on the New Era of Credit Score Co ...,139855868,,EFX,Finnhub,"Equifax is proud to support the American dream of homeownership and understands this is an important goal for U.S. consumers, which can help build wealth that can last for generations. This is an...",https://finnhub.io/api/news?id=82543adae85cef4b1230ed1b1e4373eafb369a3374fc61be37a4c060ab42a148
company,1776884704,Discover which S&P500 stocks are making waves on Wednesday.,139852553,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,EFX,ChartMill,Let's have a look at what is happening on the US markets one hour before the close of the markets on Wednesday. Below you can find the top S&P500 gainers and losers in today's session.,https://finnhub.io/api/news?id=ae80157d188281be0d515ccfa1f94e57052986ccba514a7b6434cba8d0c774b1
company,1776884700,Fair Isaac Stock Drops After U.S. Agencies Announce Alternative Credit Scores Can Be Used in Mortgage Decisions,139853204,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EFX,Yahoo,"The move could open the housing market to more Americans, but challenges the effective control that Fair Isaac Corp. has held on the mortgage market until now.",https://finnhub.io/api/news?id=91e5bac2e77f9ce47a06c69d6c59d4ea23679bf65e6b8d296f7445a10299e321
company,1776871043,EFX Q1 Deep Dive: Mortgage Gains and AI Productivity Offset Macro Headwinds,139850078,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EFX,Yahoo,"Credit reporting giant Equifax (NYSE:EFX) reported Q1 CY2026 results beating Wall Street’s revenue expectations, with sales up 14.3% year on year to $1.65 billion. The company expects next quarter’s revenue to be around $1.70 billion, close to analysts’ estimates. Its non-GAAP profit of $1.86 per share was 9.7% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=0509a398e6908a52495308f2ba0fa3cb2dde846432a1513c069fe8b45fbb7cb7
company,1776867036,"FICO shares slide as Freddie Mac, Fannie Mae begin accepting rival VantageScore",139852052,,EFX,Finnhub,"Shares of Fair Isaac,better known as FICO, plunged 13% on Wednesday after Freddie Macand Fannie Mae said they will now accept mortgages assessedusing rival credit scoring system, VantageScore 4.0....",https://finnhub.io/api/news?id=34ba2bd80d71e6a7fa11e63240ab403768309d2060f209f2b2775d3536c8c3ff
company,1776866320,Shares of credit bureau companies are trading lower after the FHFA announced that it will permit the use of VantageScore 4.0 and FICO 10T as eligible credit scoring models.,139852651,,EFX,Benzinga,,https://finnhub.io/api/news?id=47086e32e4e9e3bf605fe8c5b6d8e165c185e9076ae6ab3e5ca43ff84a3edccf
company,1776865805,Federal Housing Administration To Permit Use Of Alternative Credit Scores For Mortgage Underwriting,139852220,,EFX,Benzinga,https://www.fhfa.gov/news/news-release/homebuying-advances-into-new-era-of-credit-score-competitionhttps://www.fanniemae.com/newsroom/fannie-mae-news/credit-score-updates-advance-modernizationhttps://freddiemac.gcs-web.c,https://finnhub.io/api/news?id=9ee59d892764aa5dfc2ae327439d3bc5f03217de88ad8a75cb6c534467c011cb
company,1776863531,Freddie Mac begins accepting VantageScore,139850742,,EFX,Finnhub,"Mortgage housing giant Freddie Macsaid on Wednesday it was now accepting mortgage loans assessedusing VantageScore 4.0. VantageScore, a credit score modeling and analytics company,was...",https://finnhub.io/api/news?id=1ae189ceefc41c9b6bdd9588a9ddc2935f67d574bb506e15fe867c8b115085e9
company,1776859228,M/I Homes Q1 Review: The Inflection Point May Have Moved,139850156,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2206216829/image_2206216829.jpg?io=getty-c-w1536,EFX,SeekingAlpha,"M/I Homes, Inc. Q1 update: revenue, margins, EPS and backlog trends amid high mortgage rates and macro uncertainty. Click for this MHO stock update.",https://finnhub.io/api/news?id=f9ceb9754fea6a5e1ea89b951baf6faaba627cf49fe99556f7c92dde2387e488
company,1776855430,"Wells Fargo Maintains Overweight on Equifax, Lowers Price Target to $230",139849436,,EFX,Benzinga,Wells Fargo  analyst Jason Haas   maintains Equifax (NYSE:EFX) with a Overweight and lowers the price target from $240 to $230.,https://finnhub.io/api/news?id=ffec8b4b6a4a2734cdcdbacbbc91582d8d9174fe385ed8a4846b3f4bbca9524f
