category,datetime,headline,id,image,related,source,summary,url
company,1776900986,Elevance Health (ELV) Q1 2025 Earnings Transcript,139855920,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ELV,Yahoo,"Gail Boudreaux: Good morning, and thank you for joining today's call.  At Elevance Health, we began 2025 with focus, momentum, and a deep commitment to advancing our purpose, to improve the health of humanity.  It's what drives how we serve our members, support care providers, and partner with communities.",https://finnhub.io/api/news?id=4b37560844ac01686967d5e8ffe3e5ba8b7f30d94a4fa66a9fad59f6c2e9cadf
company,1776898908,"Elevance Health, Inc. 2026 Q1 - Results - Earnings Call Presentation",139857225,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ELV,SeekingAlpha,"2026-04-22. The following slide deck was published by Elevance Health, Inc.",https://finnhub.io/api/news?id=69f5ba40212d9c0d8e1b47a886533e22b670a4c59434d52aab19a9d936c2fc4c
company,1776877560,ELV Beats Q1 Earnings Estimates on Rising Net Investment Income,139858268,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ELV,Yahoo,"Elevance Health beats Q1 EPS estimates as net investment income jumps 29.7%, offsetting membership decline and higher expenses.",https://finnhub.io/api/news?id=d845c293b580fd8aee6cdf309180eb37227c42812f37811b064cfabce1db2c6f
company,1776876348,Elevance Health Inc. Q1 2026 Earnings Call Summary,139851767,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ELV,Yahoo,Moby summary of Elevance Health Inc.'s Q1 2026 earnings call,https://finnhub.io/api/news?id=4b72fb93b754ee761adb959b46c7d34388a9c761a5d24803351eec022c9c24f5
company,1776875587,Elevance Health (ELV) Q1 2026 Earnings Transcript,139851768,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ELV,Yahoo,"Gail Boudreaux: Good morning, and thank you for joining us.  Health care is undergoing significant transformation, and it requires us to operate with greater speed, precision and connectivity.  Costs are rising, expectations are rising, and both member and care providers want a simpler, more integrated experience.",https://finnhub.io/api/news?id=e8e5f5e6dd33a221bbb252b83db816233a73a93cae89f7fae89c7b41966dfded
company,1776872497,Elevance Health Earnings And Guidance Hike Offset Cost Concerns,139855627,https://cdn.benzinga.com/files/images/story/2026/04/22/Elevance-Health-Photo-by-Jonathan-Weiss-.jpeg?width=2048&height=1536,ELV,Benzinga,"Elevance Health tops Q1 estimates, lifts 2026 outlook, flags Medicaid cost pressure and CMS-related accrual amid steady revenue growth.",https://finnhub.io/api/news?id=1ae02d3a5b3edd0e2d6a50917001886a04e3e6c313553d1ece65bc28d2657aa7
company,1776872364,Elevance Health Expects FY2026 Adj EPS Of Atleast $26.75 vs $25.83 Est,139855628,,ELV,Benzinga,"FY 2026 diluted EPS1 guidance to be at least $19.85, including the Company&#39;s estimate of the financial impact for the CMS matterFY 2026 adjusted diluted EPS2 guidance raised to at least $26.75, supported by underlying",https://finnhub.io/api/news?id=0fbec4c9111d4bd7d4e6cc057a557978b2eb4cb841ffa2d944476074b11c6f5f
company,1776867036,"Elevance Health, Inc. (ELV) Q1 2026 Earnings Call Transcript",139852127,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ELV,SeekingAlpha,"Elevance Health, Inc. (ELV) Q1 2026 Earnings Call April 22, 2026 8:30 AM EDTCompany ParticipantsNathan Rich - Vice President of Investor RelationsGail...",https://finnhub.io/api/news?id=c04b41fde93ba1feb94c165a14a8da1d3172a9ca03dc7a28949099055c866a07
company,1776864605,Here's What Key Metrics Tell Us About Elevance Health (ELV) Q1 Earnings,139849967,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ELV,Yahoo,"While the top- and bottom-line numbers for Elevance Health (ELV) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=1c952be241a566c05b08cb8c38998a147e1358036edf5f9a10a154ca043a3180
company,1776863199,A Look At Elevance Health (ELV) Valuation As Mixed Q1 2026 Results Draw Investor Attention,139848606,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ELV,Yahoo,"Elevance Health (ELV) has drawn fresh attention after reporting mixed first quarter 2026 results, with revenue of US$50.2b alongside lower net income of US$1.8b and diluted EPS of US$8. See our latest analysis for Elevance Health. Despite mixed first quarter earnings, Elevance Health’s share price has recently shown short term momentum, with a 1 month share price return of 12.57%. This comes alongside a year to date share price decline of 7.38% and a 1 year total shareholder return decline of...",https://finnhub.io/api/news?id=4bd5b2e1eb9fdb96e5feb0365d69face784058bbf4c3a08f26833d83e76ff446
company,1776862862,"Stocks making the biggest moves midday: Axe Compute, AST SpaceMobile, United Airlines, GE Vernova & more",139850763,https://image.cnbcfm.com/api/v1/image/108282297-1774370354680-gettyimages-2267710515-AFP_A4JX7G8.jpeg?v=1774370429&w=1920&h=1080,ELV,CNBC,These are the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=5f5c16587046fd118740332e88b771cf1368a842a47f6ae8a2ca7e3ffce85a34
company,1776858947,Elevance perks up in 2026 though Medicare Advantage payout could ding profits,139849968,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ELV,Yahoo,"The Indianapolis-based insurer raised its 2026 earnings guidance after posting a better first quarter than Wall Street expected. Still, Elevance expects it’ll have to pay the CMS around $935 million this year due to faulty MA data reporting.",https://finnhub.io/api/news?id=4e4a72bb848e5aed14596ea98fcc612e9d7eefd89902d5c2dddd62eabe790c85
company,1776857770,"Transcript : Elevance Health, Inc., Q1 2026 Earnings Call, Apr 22, 2026",139849526,,ELV,Finnhub,"Presentation Operator MessageOperator Ladies and gentlemen, thank you for standing by, and welcome to the Elevance Health First Quarter Earnings Conference Call. [Operator Instructions] As a",https://finnhub.io/api/news?id=74782ea6ccadb53747f98caefb52d29b6cb3d16e102a590bbb65154229261b91
company,1776856501,Elevance Health (ELV) Surpasses Q1 Earnings and Revenue Estimates,139848607,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ELV,Yahoo,"Elevance Health (ELV) delivered earnings and revenue surprises of +17.74% and +3.68%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=1606fb9aec0b04b77695b1d5d9ee5e34748771a313d752613a6065e6a6ea257e
company,1776856430,Stocks Rise Pre-Bell as Trump Extends Iran Ceasefire; Tesla Earnings On Deck,139847093,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ELV,Yahoo,The main US stock measures were trending higher in Wednesday's premarket activity after President Do,https://finnhub.io/api/news?id=24cded5b33667b56e1a1db1f03cfb39d50c7a3f15602b29ed53fc7b31e7ebca5
company,1776852814,Elevance Health (NYSE:ELV) Reports Strong Q1 CY2026,139848608,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ELV,Yahoo,"Health insurance provider Elevance Health (NYSE:EVH) beat Wall Street’s revenue expectations in Q1 CY2026, with sales up 2.9% year on year to $50.18 billion. Its non-GAAP profit of $12.58 per share was 16.4% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=faa97cff6b2c8090eab3c2280993069441e5400707bd55098493c1baaa201210
company,1776852000,Elevance Health Reports First Quarter 2026 Results; Raises Full-Year Guidance,139847283,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ELV,Yahoo,"INDIANAPOLIS, April 22, 2026--Elevance Health, Inc. (NYSE: ELV) reported first quarter 2026 results ahead of expectations.",https://finnhub.io/api/news?id=54937d9dd2add0a3e3f5224bac748418437be9644532548d7018e2149c77b1ff
company,1776850891,"Tranche Update on Elevance Health, Inc.'s Equity Buyback Plan announced on October 26, 2004.",139848211,,ELV,Finnhub,"From January 1, 2026 to March 31, 2026, the company has repurchased 3,700,000 shares, representing 1.68% for $1,100 million. With this, the company has completed the repurchase of 525,920,743 shares,...",https://finnhub.io/api/news?id=efee1b650af64f9c3ce4e8e27f3cf169f47da8b7a5f353ff882704bffae60e2e
company,1776850666,Elevance Health Reports Q1 2026 Results: Full Earnings Call Transcript,139855629,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_2.jpg?width=2048&height=1536,ELV,Benzinga, ,https://finnhub.io/api/news?id=d196731f0c6ece65be66dc63b19466f1ce32784ceb85cb331b7ee3446cf3e614
