category,datetime,headline,id,image,related,source,summary,url
company,1776879261,EQT (EQT) Q1 2026 Earnings Call Transcript,139851827,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EQT,Yahoo,"To put this into perspective, in just 90 days, we generated roughly as much free cash flow as we did during the entirety of 2022, a year when gas prices were over $6.  With leverage now below 1x net debt to EBITDA and our long-term $5 billion net debt target within reach by year-end, EQT has entered a new chapter, one defined by financial strength, durable free cash flow generation and sustainable growth.",https://finnhub.io/api/news?id=7000ae9923ca51306e0e1cc4205947fafec07bb4596017a2fc25fd92d1217bcf
company,1776871560,Is Eni Positioned to Capitalize on Rising LNG & Power Demand?,139851695,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EQT,Yahoo,"E expands LNG and gas portfolio to tap rising demand for cleaner fuels, targeting more than 20 MTPA contracts by 2030.",https://finnhub.io/api/news?id=60d750dc16add40b6b92dab91dcf684b266fa59cbd5fe25bb21cedbb0b3e4f16
company,1776870000,EQT Q1 Earnings & Revenues Top Estimates on Higher Sales Volumes,139851829,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EQT,Yahoo,"EQT beats Q1 estimates as higher sales volumes and stronger gas prices lift earnings, revenues and cash flow sharply year over year.",https://finnhub.io/api/news?id=507d72010cda1d6f5038f08b98d78f9809440cebb06111b20b9debfda2605ee4
company,1776865236,EQT Corporation (EQT) Q1 2026 Earnings Call Transcript,139851386,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,EQT,SeekingAlpha,"EQT Corporation (EQT) Q1 2026 Earnings Call April 22, 2026 10:00 AM EDTCompany ParticipantsCameron Horwitz - Managing Director of Investor Relations &...",https://finnhub.io/api/news?id=c434d7421aba3d13ad043f2dd38ac9f27b4bff845f15a0d2d441c365c53f97e3
company,1776862986,EQT Posted A Giant Quarterly Comparison As Expected,139850705,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/955912320/image_955912320.jpg?io=getty-c-w1536,EQT,SeekingAlpha,EQTâs Q1 earnings nearly doubled as gas prices rose. Read the full analysis here.,https://finnhub.io/api/news?id=0df3a430ae6b2d084c54e701a99f7df9ab3dea82862769f3e9d78b52c90802e0
company,1776861000,EQT Corporation Q1 2026 Earnings Call Summary,139854818,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EQT,Yahoo,Moby summary of EQT Corporation's Q1 2026 earnings call,https://finnhub.io/api/news?id=95b2acea566a8f8efff252d9788d0d5415cb1225573affd1a6ad14164e3464f0
company,1776858620,"Transcript : EQT Corporation, Q1 2026 Earnings Call, Apr 22, 2026",139849616,,EQT,Finnhub,"Presentation Operator MessageOperator Hello, and thank you for standing by. My name is Bella, and I will be your conference operator today. At this time, I would like to welcome everyone to EQT Q1...",https://finnhub.io/api/news?id=b65a572ae2eff8b4bca519d03b23583d936daa7fcb0fe09a51c8ee7204918092
company,1776856963,"EQT shares are trading higher after the company reported better-than-expected Q1 adjusted EPS results. Also, reports suggested that the company submitted an improved bid to Intertek.",139866041,,EQT,Benzinga,,https://finnhub.io/api/news?id=c37ad88a6105f2936f2c3c73f3ed08632c6bf46a962e7232a0e7737e06fffd56
company,1776855603,EQT says damage to LNG infrastructure has reduced near-term supply and delayed the timing of Qatar's large-scale expansions - conf call,139849295,,EQT,Finnhub,EQT Corp: EQT says damage to LNG infrastructure has reduced near-term supply and delayed the timing of Qatar's large-scale expansions - conference call...,https://finnhub.io/api/news?id=101a57396619e6195dafc531f6d4004b3b9e2151dcfa9e35a434b7c9cb120b52
company,1776855373,EQT Reports Q1 2026 Results: Full Earnings Call Transcript,139849487,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_4.jpg?width=2048&height=1536,EQT,Benzinga, ,https://finnhub.io/api/news?id=77405559642582fcc71fcc19cc7e83d102589bd93488326034f253a45e38acb0
