category,datetime,headline,id,image,related,source,summary,url
company,1776887579,"FICO shares plunge as Fannie, Freddie, FHA move to accept alternative credit scores",139853203,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FICO,Yahoo,FICO stock sank after two federal agencies announced Wednesday that mortgage giants Fannie Mae and Freddie Mac and the Federal Housing Administration will accept alternative credit scores for mortgage loans.,https://finnhub.io/api/news?id=5205b7bdc184a83e36b373352a88832f0451a9eed67ff4d57c9e663a3a06e611
company,1776884704,Discover which S&P500 stocks are making waves on Wednesday.,139852553,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,FICO,ChartMill,Let's have a look at what is happening on the US markets one hour before the close of the markets on Wednesday. Below you can find the top S&P500 gainers and losers in today's session.,https://finnhub.io/api/news?id=ae80157d188281be0d515ccfa1f94e57052986ccba514a7b6434cba8d0c774b1
company,1776884700,Fair Isaac Stock Drops After U.S. Agencies Announce Alternative Credit Scores Can Be Used in Mortgage Decisions,139853204,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FICO,Yahoo,"The move could open the housing market to more Americans, but challenges the effective control that Fair Isaac Corp. has held on the mortgage market until now.",https://finnhub.io/api/news?id=91e5bac2e77f9ce47a06c69d6c59d4ea23679bf65e6b8d296f7445a10299e321
company,1776852960,"These Stocks Are Today’s Movers: Tesla, United Airlines, Capital One, DJT, Adobe, and More",139847097,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FICO,Yahoo,"Tesla climbs 0.8% ahead of first-quarter earnings, while United Airlines shares shrug off a full-year guidance cut.",https://finnhub.io/api/news?id=6cd31f6ff7473678084510cd37636039b0a60e814e36a3b295c31155dc95976b
company,1776877796,"CNBC Markets Now: April 22, 2026",139865614,https://image.cnbcfm.com/api/v1/image/108295800-4ED4-REQ-042226-MarketNow.jpg?v=1776891646&w=1920&h=1080,FICO,CNBC,"CNBC Markets Now provides a look at the day's market moves with commentary and analysis from Michael Santoli, CNBC Senior Markets Commentator.",https://finnhub.io/api/news?id=d0f0c00dd9d11c9f37d5004426e5fa8b897aa06ed783909876e6303692e2bfd9
company,1776877765,"Post Market Wrap: April 22, 2026",139865615,https://image.cnbcfm.com/api/v1/image/108295798-4ED4-REQ-042226-MarketClose.jpg?v=1776891567&w=1920&h=1080,FICO,CNBC,"CNBC brings you fast, accurate, and actionable business news and market updates.",https://finnhub.io/api/news?id=181f95d954d1c1c41d9a88edafaf94f0dacd88c05736b3d417d2b088d318e146
company,1776866422,Cognizant (CTSH) Earnings Expected to Grow: Should You Buy?,139850058,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FICO,Yahoo,Cognizant (CTSH) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=d4f9384582268f0de10b1792dd799a9ec90a05d5448f91b7092c9cb31f1eb6f2
company,1776866320,Shares of credit bureau companies are trading lower after the FHFA announced that it will permit the use of VantageScore 4.0 and FICO 10T as eligible credit scoring models.,139852651,,FICO,Benzinga,,https://finnhub.io/api/news?id=47086e32e4e9e3bf605fe8c5b6d8e165c185e9076ae6ab3e5ca43ff84a3edccf
company,1776865805,Federal Housing Administration To Permit Use Of Alternative Credit Scores For Mortgage Underwriting,139852220,,FICO,Benzinga,https://www.fhfa.gov/news/news-release/homebuying-advances-into-new-era-of-credit-score-competitionhttps://www.fanniemae.com/newsroom/fannie-mae-news/credit-score-updates-advance-modernizationhttps://freddiemac.gcs-web.c,https://finnhub.io/api/news?id=9ee59d892764aa5dfc2ae327439d3bc5f03217de88ad8a75cb6c534467c011cb
company,1776851232,Mizuho Initiates Coverage of Fair Isaac (FICO) with Outperform Rating,139846193,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FICO,Yahoo,"Fair Isaac Corporation (NYSE:FICO) is one of the 8 Best Beginner Stocks to Buy Right Now. On April 15, 2026, Mizuho analyst Sean Kennedy has initiated coverage of Fair Isaac Corporation (NYSE:FICO) with an Outperform rating and a $1,416 price target on the shares. The firm believes the market is overestimating the competitive threat from […]",https://finnhub.io/api/news?id=45f3f45e1ed4e2c4d0bd8820f9ae73377412c8aae28328b3e38cfdb113be23d2
