category,datetime,headline,id,image,related,source,summary,url
company,1776897660,Earnings Picture Remains Positive: A Closer Look,139858190,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,"The picture emerging from the Q1 earnings season is of continued strength and momentum, with companies not only comfortably beating consensus estimates but also providing a reassuring read on the economy despite elevated energy costs and other risks.",https://finnhub.io/api/news?id=ce09c42f072fb530531eddad11fcce71680d047a8fb613dbd242d2b21e5a5ea5
company,1776893642,"Stock Market Today, April 22: NuScale Power Surges After Coverage Highlights Discount to Recent Highs",139854682,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,"On April 22, 2026, investors weighed NuScale's nuclear revival narrative against funding risks and the upcoming clarity from earnings.",https://finnhub.io/api/news?id=f0aedeefe435ef1443ca4b8cb9abb3c9095f1bbb022364fc82fe63419e662ba2
company,1776893275,CNBC Daily Open: Markets cheer ceasefire — but hostilities continue ,139865613,https://image.cnbcfm.com/api/v1/image/108293879-1776686798675-gettyimages-2271678042-AFP_A8DX2CJ.jpeg?v=1776839260&w=1920&h=1080,GEV,CNBC,"Despite an extension of the ceasefire in Iran byTrump, Iran has seized ships in the Strait of Hormuz, raising questions if the truce is on shaky ground. ",https://finnhub.io/api/news?id=335375eeaf4bd0bd307892d736d59e1b593960e388349fda0dddde8a06df0972
company,1776891512,"US Equity Indexes Jump as Iran Ceasefire Extension, Strong Earnings Help Lift Sentiment",139854584,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,"US equity indexes jumped on Wednesday, with the Nasdaq Composite hitting an all-time high, following",https://finnhub.io/api/news?id=04472defbe30ddbe16ba0ef282bafec772fc6c165a68d0e0395815268ecf2215
company,1776891360,GE Vernova Defies Odds and Surpasses GE Aerospace in Market Value,139854636,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,"GE Vernova  was supposed to be the run of the General Electric breakup litter.  Instead, it now has a larger market cap than GE Aerospace.  On Wednesday, the company’s market value exceeded GE Aerospace’s for the first time.",https://finnhub.io/api/news?id=e49744096583290c76f76e7f04cf2d6a29f0f6f0965773aadaa8ee998ff1d9f2
company,1776890134,Stocks Settle Higher as Nasdaq Posts a Record High on Tech Strength,139857437,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Wednesday closed up +1.05%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed up +0.69%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.73%. June E-mini S&P futures (ESM26 ) rose +0.99%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=c6220b6c189aecd2c468945ef6c2b5528a17c881a59630510f55d8a7d5746ede
company,1776889717,How major US stock indexes fared Wednesday 4/22/2026,139854685,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,"The U.S. stock market set more records after GE Vernova and other big companies joined the parade reporting fatter profits for the start of the year than analysts expected.  The Dow Jones Industrial Average added 0.7%, and the Nasdaq composite set its own record after climbing 1.6%.  The Nasdaq composite rose 397.60 points, or 1.6%, to 24,657.57.",https://finnhub.io/api/news?id=117fb5cf6074ed07fbf0934f1f2ae229f40d81d641d9aa4e61641afe57dd4df2
company,1776889440,Masco Stock Among the S&P 500’s Winners. What Solid Earnings Say About Housing.,139854686,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,Masco stock is near the top of the S&P 500 on Wednesday after the home improvement company beat expectations for first-quarter earnings.,https://finnhub.io/api/news?id=34b58cd2890ef578b612f916dc730001814d1e0c5a0efc70e0fd24774d94c449
company,1776888237,Sector Update: Energy Stocks Advance Wednesday,139854609,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,Energy stocks gained Wednesday with the NYSE Energy Sector Index rising 1.1% and the State Street En,https://finnhub.io/api/news?id=c18e25a760843c8e871aa6b1df6ffdba061ab115607429e8a601219063e676c0
company,1776887825,GE Vernova : 1st Quarter 2026 Earnings Transcript,139855855,,GEV,Finnhub,"GE Vernova 1Q 2026 Financial Results & Outlook Wednesday, 22nd April 2026 Opening Remarks Michael Lapides Vice President of...",https://finnhub.io/api/news?id=d38ecb39bf09f47352ac10e7bdfac1922614fced22812f27782f0d2e2cb71eaf
