category,datetime,headline,id,image,related,source,summary,url
company,1776895229,Wells Fargo Asserts GE Aerospace (GE) Growth Prospects on Leap SV Ramp,139856782,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"GE Aerospace (NYSE:GE) is one of the top S&P 500 stocks by index weight. On April 1, analysts at Wells Fargo initiated coverage of GE Aerospace (NYSE:GE) with an Overweight rating and a $325 price target. The price target is based on a 28x free cash flow multiple applied to the 2028 forecast. The research […]",https://finnhub.io/api/news?id=3ae1cfd6cb13794e35db964f483971cd4cc5115df2363f4c35ae65025cf9f66d
company,1776891360,GE Vernova Defies Odds and Surpasses GE Aerospace in Market Value,139854636,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"GE Vernova  was supposed to be the run of the General Electric breakup litter.  Instead, it now has a larger market cap than GE Aerospace.  On Wednesday, the company’s market value exceeded GE Aerospace’s for the first time.",https://finnhub.io/api/news?id=e49744096583290c76f76e7f04cf2d6a29f0f6f0965773aadaa8ee998ff1d9f2
company,1776890723,2 Mega-Cap Stocks to Research Further and 1 Facing Challenges,139854651,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"Megacap stocks are behemoths that set the tone for their industries, and their massive scale typically leads to wide moats. However, the downside is that most have already exploited their existing market opportunities and must invest heavily to expand further, a risky proposition.",https://finnhub.io/api/news?id=c724139e1a77c2195d237c419a81f5b06171b43640cc96801a8a2d6769c6c3cc
company,1776887400,These 3 Defense Giants Beat Q1 Estimates—So Why Did Their Stocks Still Fall?,139869476,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"GE Aerospace, Northrop Grumman, and RTX each beat Q1 2026 earnings estimates but sold off after failing to raise full-year guidance, despite analyst Moderate Buy ratings on all three.",https://finnhub.io/api/news?id=b0b5001bf082db623f5b582c06b3b5aee48cb338f86b961c9058ec500a816370
company,1776884704,Discover which S&P500 stocks are making waves on Wednesday.,139852553,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,GE,ChartMill,Let's have a look at what is happening on the US markets one hour before the close of the markets on Wednesday. Below you can find the top S&P500 gainers and losers in today's session.,https://finnhub.io/api/news?id=ae80157d188281be0d515ccfa1f94e57052986ccba514a7b6434cba8d0c774b1
company,1776877740,"GE Vernova Defies Odds, Surpassing GE Aerospace in Market Value",139853000,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"GE VErnova was supposed to be the run of the General Electric breakup litter.  Instead, it now has a larger market cap than GE Aerospace.  On Wednesday, the company’s market value exceeded GE Aerospace’s for the first time.",https://finnhub.io/api/news?id=f27d36a9a77014a17f0b14ec09e1e891e2e9d0c530104e0d6f1fadc5ce519d31
company,1776877560,Defense Is Less ‘Defensive’ Now. Why Sector Stocks Are Getting Crushed.,139853008,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"The aerospace and defense sector has been a standout lately, free from AI disruption fears and boosted by higher demand for commercial air travel and global defense spending.  Investors probably have some time to wait before the skies clear.  Lockheed Martin  stock was down 3% in midday trading, on pace for its lowest close since January, according to Dow Jones Market Data.",https://finnhub.io/api/news?id=126dc14db1b469147898238c56e074f56a4edec44943b410a34b6bdbd8f967fb
company,1776877503,"In today's session, there are S&P500 stocks with remarkable trading volume.",139850747,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,GE,ChartMill,Let's have a look at the S&P500 stocks with an unusual volume in today's session.,https://finnhub.io/api/news?id=662f352c79252c2a8220e2ed25faf16cc72f7be0fdd40c6ed4f535693914a4d7
company,1776875704,Uncover the latest developments among S&P500 stocks in today's session.,139850503,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,GE,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=526c71e3929bbd0fab61d1248ed1e659a0daabac3594bfbbf574960aa83cc081
company,1776873360,GE Vernova Is Setting Records. This Might Be the Most Surprising One.,139851563,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"Power-generation technology provider  GE Vernova  remains the best pick-and-shovel stock to play the artificial-intelligence boom.  On Wednesday, the company’s market value exceeded  GE Aerospace’s  for the first time.  GE Aerospace stock was down about 4% to just over $275 a share.",https://finnhub.io/api/news?id=8eaa69e7d113f3fe76d38b6ebd26ad9de315b6224063367b44bcfce991924917
company,1776872492,"GE Vernova Zooms 13%, GE Aerospace Loses 5% as Earnings Day Fractures the Family",139849768,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"GE Vernova (NYSE:GEV) shares are up 13% in Wednesday’s session, climbing from $991.30 to around $1,119, after the company delivered a blowout Q1 2026 earnings report and raised full-year guidance. Meanwhile, GE Aerospace (NYSE:GE) shares are down 5%, sliding from $286.73 to $272, despite posting its own strong quarter. Both companies are spinoffs from the ... GE Vernova Zooms 13%, GE Aerospace Loses 5% as Earnings Day Fractures the Family",https://finnhub.io/api/news?id=9525f4f4f43cdf0c7362b3cc7044c56efa142d112c24fca233d468039ab3d037
company,1776871945,"GE Aerospace Backlog, Demand Strength Likely to Offset Oil Price Concerns, Morgan Stanley Says",139849769,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,GE Aerospace's (GE) could see upside to estimates despite recent stock weakness tied to oil price co,https://finnhub.io/api/news?id=b86e3c7b359d889e76b827c87df089aa2dae9237a2a546f1d82d978bfb50c78f
company,1776871339,AI Data Center Boom Supercharges GE Vernova Earnings. This Is How Much.,139849770,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"GE Vernova crushed earnings views for the first quarter early Wednesday while revenue also topped. The artificial intelligence energy play also guided higher. GEV stock rocketed to a high. Importantly, the General Electric energy spinoff flexed strength in a closely watched business segment — electrification — that serves the rising market for artificial intelligence and data centers.",https://finnhub.io/api/news?id=42fe12eb3531e4e44784754841cd55e905be99727cf177a70e19caa0394f20ff
company,1776870563,GE Q1 Deep Dive: Aftermarket Momentum and Supply Challenges Shape Outlook,139849771,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"Industrial conglomerate GE Aerospace (NYSE:GE) beat Wall Street’s revenue expectations in Q1 CY2026, with sales up 29% year on year to $11.61 billion. Its non-GAAP profit of $1.86 per share was 16.3% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=f44aa6f3f6f96b6da53680925161024ad56cb1b55b8b5a779b72b6804c9b11e8
company,1776869300,"UBS Maintains Buy on GE Aerospace, Lowers Price Target to $350",139865961,,GE,Benzinga,UBS  analyst Gavin Parsons   maintains GE Aerospace (NYSE:GE) with a Buy and lowers the price target from $357 to $350.,https://finnhub.io/api/news?id=a299d66c71e04ae33808d48140a5ad5110c0939031be7d3fdc401b6abf43acf3
company,1776868739,"GE Vernova stock surges on Q1 earnings, AI data center demand",139849637,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,GE Vernova (GEV) stock is surging on Wednesday after beating first quarter earnings estimates. Morning Brief Host Julie Hyman and Yahoo Finance Head of News Myles Udland dive into the energy company's quarterly results amid the latest forecasts for AI data center demands.,https://finnhub.io/api/news?id=5740c7901eaf57cbce60d2751651a145b7d896b91f00a59028e5ba447723fed4
company,1776868504,Wednesday's session: gap up and gap down stock in the S&P500 index,139849128,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,GE,ChartMill,Let's take a look at the S&P500 stocks that are experiencing notable price gaps in today's session on Wednesday. Discover the gap up and gap down stocks in the S&P500 index.,https://finnhub.io/api/news?id=acd9e9d4b45abeab373d483c83479a05ae07393509fcbb21bc96746baa5f85b4
company,1776867788,Why GE Aerospace’s ‘Disappointing’ Guidance May Be an Ideal Opportunity,139854652,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"While the aviation leader beat on the top and bottom lines, the outlook wasn’t raised, leading to a sharp fallout in GE stock. Here’s why that could be a signal for the bulls.",https://finnhub.io/api/news?id=84901d5a19b94712f998af769ac68c76c89123316b888cf4159d5d720458133d
company,1776864943,10 Industrials Stocks Whale Activity In Today's Session,139851890,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_2.jpg?width=2048&height=1536,GE,Benzinga, ,https://finnhub.io/api/news?id=3d705d1cdc7c48f8db29248d7238ad165c93b46513d17eb13f7f5b1f8ac5a2a2
company,1776864032,"S&P 500 Climbs on Ceasefire Extension, Tech Tailwinds amid Improving Sentiment",139848311,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"The S&P 500 (^GSPC) is pointing higher Wednesday morning, with index futures extending gains session high of 0.7% as markets embrace optimism following President Trump’s decision to extend the ceasefire with Iran. The broader market closed Tuesday slightly lower, driven by what’s being interpreted as a hawkish tone at Fed Chair nominee Kevin Warsh’s confirmation ... S&P 500 Climbs on Ceasefire Extension, Tech Tailwinds amid Improving Sentiment",https://finnhub.io/api/news?id=8f3c5871325af66c37036918b7198ec61a626f43e1d99287d80b7d93fa3c09a5
company,1776862802,These 2 Aerospace Stocks Could Beat Earnings: Why They Should Be on Your Radar,139849773,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,Finding stocks expected to beat quarterly earnings estimates becomes an easier task with our Zacks Earnings ESP.,https://finnhub.io/api/news?id=5197376a1c2542bbcbbe1205f560d71665184a5895e6df6daa921755e77b8794
company,1776861360,Boeing Earnings Beat as Jet Deliveries Take Off. Stock Rises as Turnaround Takes Shape.,139848419,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,Boeing reported a first-quarter per-share loss of 20 cents from sales of $22.2 billion. Wall Street was looking for a per-share loss of 68 cents from sales of $21.3 billion.,https://finnhub.io/api/news?id=0e7845ea2832810c24e8fc1c79ee082e354bcfbd37cd87a18039b8b795ea148d
company,1776859200,"GE Aerospace Foundation Announces Inaugural ""Lifting Futures"" Workforce Locations",139848420,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"Today, the GE Aerospace Foundation announced the first five communities selected as part of its new, $30 million workforce training program, Lifting Futures: Auburn, Alabama; the Cincinnati-Dayton region in Ohio; Dallas, Texas; Kuala Lumpur, Malaysia; and Wrocław, Poland.",https://finnhub.io/api/news?id=9b884a2a6294508940018e8a2d19e483db1f324728b6be92d45cee54d60e40ba
company,1776858902,GE Vernova (GEV) Surpasses Q1 Earnings and Revenue Estimates,139849774,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"GE Vernova (GEV) delivered earnings and revenue surprises of +7.61% and +0.47%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=d477f0b0bcd86df7fcdca8c7ce82b9d91ed209d5bfbc83c2dcf520a238c55258
company,1776858155,"Morgan Stanley Maintains Overweight on GE Aerospace, Lowers Price Target to $400",139865963,,GE,Benzinga,Morgan Stanley  analyst Josh Sullivan   maintains GE Aerospace (NYSE:GE) with a Overweight and lowers the price target from $425 to $400.,https://finnhub.io/api/news?id=2ff7ee060e8bcefcfebc32f8307f201a99ee24d569217c66c4559ea9b63c1e72
