category,datetime,headline,id,image,related,source,summary,url
company,1776898805,Globe Life (GL) Q1 Earnings: How Key Metrics Compare to Wall Street Estimates,139858328,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GL,Yahoo,"While the top- and bottom-line numbers for Globe Life (GL) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=dd0f4e3f4b8ae75ac65ca55fbee425e8bd5d5f5ba41fe7f904d2bdd284153e11
company,1776894305,Globe Life (GL) Q1 Earnings and Revenues Miss Estimates,139858329,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GL,Yahoo,"Globe Life (GL) delivered earnings and revenue surprises of -0.98% and -0.38%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=19cd5cd29e11240b891fcf75b98c341333e0211e9e9dd87620c90d7ac1d46b8f
company,1776892232,"Globe Life Inc. (NYSE:GL) Q1 2026 Earnings: EPS Beats Estimates, Revenue Misses, Guidance Raised",139854267,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,GL,ChartMill,Globe Life Q1 2026 earnings beat EPS estimates but revenue missed. The company raised its full-year profit guidance despite the mixed results.,https://finnhub.io/api/news?id=57e800d96b11136c2fc1dc8810173eab3ee7310f35ef453b8082c17b8e12c58a
company,1776891304,Globe Life (NYSE:GL) Reports Q1 CY2026 In Line With Expectations,139854864,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GL,Yahoo,"Insurance holding company Globe Life (NYSE:GL) met Wall Street’s revenue expectations in Q1 CY2026, with sales up 5.4% year on year to $1.56 billion. Its GAAP profit of $3.39 per share was 2% below analysts’ consensus estimates.",https://finnhub.io/api/news?id=541d3fde0d3f2c4e2abdaa20fdbd3ae9cb56eaa08cdbe8764ac60b038b430d57
company,1776888900,GLOBE LIFE INC. REPORTS FIRST QUARTER 2026 RESULTS,139854865,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GL,Yahoo,"Globe Life Inc. (NYSE: GL) reported today that for the quarter ended March 31, 2026, net income was $3.39 per diluted common share, compared with $3.01 per diluted common share for the year-ago quarter. Net operating income was $3.43 per diluted common share, compared with $3.07 per diluted common share for the year-ago quarter. The Company also increased full-year 2026 earnings guidance to a range of $15.40 to $15.90, an increase of $0.35 at the midpoint.",https://finnhub.io/api/news?id=9e558ba51d64371d6ffda89e4283de395953329f5c70fc097d201b688f23398e
company,1776878177,Globe Life quarterly profit rises on strong underwriting,139854094,,GL,Finnhub,"Life and supplemental healthinsurance company Globe Life reported a rise infirst-quarter profit on Wednesday, helped by strong underwritingand demand for insurance. Insurance demand...",https://finnhub.io/api/news?id=0359b9111147e49d11eea9d5a763377c938030e81afe7c0990f20a35e3015ad3
company,1776876828,Globe Life : Quarter 1 2026 GAAP Income Statement,139853939,,GL,Finnhub,"GLOBE LIFE INC. Condensed Consolidated Statement of Operations Three Months Ended March 31, ...",https://finnhub.io/api/news?id=739f89ea0b2796653fefaaff7cbe3f53ce0246665facda10f4b236b0761fd57e
company,1776876292,Globe Life : Quarter 1 2026 GAAP and Statutory Premium Comparison,139853788,,GL,Finnhub,Collected Premium(2! American Period Company(1! ...,https://finnhub.io/api/news?id=7804e2334f77e2894ffa6085748ae0add9c98809f07afd269434566adbcecfef
company,1776876292,Globe Life : Quarter 1 2026 Earnings Release,139853786,,GL,Finnhub,"‌GLOBE LIFE INC. REPORTS First Quarter 2026 Results McKinney, TX, April 22, 2026-Globe Life Inc. reported today that for the quarter ended March 31, 2026, net income...",https://finnhub.io/api/news?id=60ab3eb2eea9ec75b63d8a4f795599d5b289dc925f12a64eac1c9ccbc16c9523
company,1776875888,Globe Life: Q1 Earnings Snapshot,139853737,,GL,Finnhub,"MCKINNEY, Texas — MCKINNEY, Texas — Globe Life Inc. on Wednesday reported first-quarter net income of $270.5 million. The McKinney, Texas-based company said it had net income of $3.39 per...",https://finnhub.io/api/news?id=2d6357c184fde720952b9e2e033fa2f0dfe6cf4ff52eb99c337a4b9b40cca621
company,1776875642,Globe Life Raises FY2026 Adj EPS Guidance from $14.95-$15.65 to $15.40-$15.90 vs $15.35 Est,139866035,,GL,Benzinga,Globe Life (NYSE:GL) raises FY2026 Adj EPS guidance from $14.95-$15.65 to $15.40-$15.90 vs $15.35 analyst estimate..,https://finnhub.io/api/news?id=4db4dcdbf9b445325e1ea73b85e0b51c72a5342ea488980469ae7d39b54ae0c9
company,1776874660,"Globe Life Q1 Adj. EPS $3.43 Misses $3.48 Estimate, Sales $1.559B Miss $1.561B Estimate",139866036,,GL,Benzinga,Globe Life (NYSE:GL) reported quarterly earnings of $3.43 per share which missed the analyst consensus estimate of $3.48 by 1.44 percent. This is a 11.73 percent increase over earnings of $3.07 per share from the same,https://finnhub.io/api/news?id=ed1d926f72c7a34b80ada5905a6ddf84fecc6fb34dffbfe67568a660a3cbee28
company,1776872791,Globe Life (GL) Q1 2025 Earnings Transcript,139850115,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GL,Yahoo,"Frank Svoboda: Thank you, Stephen and good morning everyone.  Net operating income for the quarter was $259 million or $3.07 per share, an increase of 10% from a year ago and slightly higher than our internal projections.",https://finnhub.io/api/news?id=ccab82d7ea8b0cb0a1ca4a9c90e509c824211a53d970c79ff0c1bc7141f8730c
company,1776841880,"Earnings Scheduled For April 22, 2026",139848781,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,GL,Benzinga, ,https://finnhub.io/api/news?id=1e7158ea851d7890fc286fd70d8458d9ebfd7cdbe7070895fd31cf56e6a850e9
