category,datetime,headline,id,image,related,source,summary,url
company,1776885167,"Weatherford, IBD Stock Of The Day, Shows Resilience Amid Iran War",139852948,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Even if the Iran war ends soon, Weatherford signals recovery for the oil industry could take months to years.",https://finnhub.io/api/news?id=e807995f1fc23611977c968ac7f416a7f434aa091557a65cf66f0e85467dcf97
company,1776882720,"Liner Hanger System Market to Reach USD 6,268.42 Million by 2032, Driven by Deepwater Exploration and Unconventional Drilling Growth | Credence Research",139853109,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Credence Research has released a new report titled ""Liner Hanger System Market Size, Share, Growth, Opportunities, and Competitive Analysis, 2025–2032."" According to the study, the Liner Hanger System Market was valued at USD 4,084.5 million in 2024 and is projected to reach USD 6,268.42 million by 2032, expanding at a CAGR of 5.6% during the forecast period. The market is witnessing steady expansion due to increasing drilling activity in unconventional reservoirs, growing investments in deepwat",https://finnhub.io/api/news?id=a510b19c3899a6d60d16b2e6cb8cc72279f93bccc67799d46413782b443398d8
company,1776874216,Halliburton eyes Venezuela return as oil sector reopens,139853334,,HAL,Finnhub,"Halliburton Co. has entered talks with customers over apotential return to Venezuela, signalling renewed activity in thecountry’s oil services sector amid shifting political andregulatory...",https://finnhub.io/api/news?id=089b957edf0157c1a27f04bb51464cff57287290e799754ae61ed961acabb049
company,1776871882,"Halliburton Q1 Beats Expectations on Strong International Growth, Morgan Stanley Says",139850040,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Halliburton's (HAL) Q1 results slightly beat expectations, driven by international performance, espe",https://finnhub.io/api/news?id=8a3e84203be9bce23aa12f6c584e4f0f718587ccd543c27575be1396e36f6d0b
company,1776869771,"JP Morgan Maintains Overweight on Halliburton, Raises Price Target to $42",139854219,,HAL,Benzinga,JP Morgan  analyst Arun Jayaram   maintains Halliburton (NYSE:HAL) with a Overweight and raises the price target from $40 to $42.,https://finnhub.io/api/news?id=3e2a84780999276e090ebbdede1c320291117b843be6306d11a907cf05fcbbc2
company,1776867683,HAL Q1 CY2026 Deep Dive: Margin Expansion Amid Global Market Shifts and Regional Disruptions,139850041,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Oilfield services company Halliburton (NYSE:HAL) reported Q1 CY2026 results topping the market’s revenue expectations, but sales were flat year on year at $5.40 billion. Its non-GAAP profit of $0.55 per share was 10.6% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=b8dc9e053c439c820c943ab3c949b12780d012419e35eb1ee8e9c8b7695813ee
company,1776864720,"Oilfield Services Market Global Forecast Report 2026-2036: Lucrative Opportunities in New Oilfields, Digital Technology Integration, & Expansion of Deepwater and Unconventional Exploration Activities",139848591,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"The global oilfield services market is projected to grow from USD 174.3 billion in 2026 to approximately USD 250.5 billion by 2036, achieving a CAGR of 4.5% during the forecast period. The report titled ""Oilfield Services Market by Type, Location, and Geography - Global Forecast to 2036"" delves into market trends, growth drivers, and competitor analysis. Key growth factors include rising demand for oil and gas, technological advancements, and the discovery of new oilfields. North America holds t",https://finnhub.io/api/news?id=fceadcd9cd0018f9f1155a52932bcef124e4e1da5c0e0767cff638960b724251
company,1776860400,"Company News for Apr 22, 2026",139849654,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Companies In The Article Are:AMZN,AAPL,HAL,TSCO",https://finnhub.io/api/news?id=db4fabc93683690cafcbc628418eda0a66d5fb72a7646e28da98260dce114cdf
company,1776859818,Halliburton: Downgraded On Strong Stock Rally And Rising Uncertainty,139850367,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2165285077/image_2165285077.jpg?io=getty-c-w1536,HAL,SeekingAlpha,"Halliburton (HAL) hold rating: Q1 beat amid lower revenue/income, but valuation limits upside.",https://finnhub.io/api/news?id=79071e5bcf38f1d09a8c4e4d66af2c912e05a4de783f9c6bf0b050e38b86b06e
company,1776859121,"Here Are Wednesday’s Top Wall Street Analyst Research Calls: Abbott Laboratories, Airbnb, Biogen, Cava Group, GitLab, Halliburton, Qualcomm, Seagate, Toast, and More",139847458,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Pre-Market Stock Futures: Futures are trading higher as we hit the midweek point. All major indices finished lower on Tuesday as the deadline for the ceasefire approached, amid threats to cancel talks between Iran and the United States. While the President did extend the ceasefire again, this time indefinitely, citing the “fractured government in Iran”, ... Here Are Wednesday’s Top Wall Street Analyst Research Calls: Abbott Laboratories, Airbnb, Biogen, Cava Group, GitLab, Halliburton, Qualcomm,",https://finnhub.io/api/news?id=706aa45e7b0464a6513ece8629400b9b9b2dbc74d407f4005651a1f7ceb3e29c
