category,datetime,headline,id,image,related,source,summary,url
company,1776888360,Looking for an Investment Uncorrelated With War or Oil? Consider These Spinoffs.,139854743,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Spinoffs can fit that bill.  Trivariate Research founder Adam Parker published his “Spinoff Playbook” on Tuesday, providing context on the performance of stocks that start a new life away from their parent company.  After the deal is done, spinoffs generally outperform the parents, but it can take about six months for things to start improving.",https://finnhub.io/api/news?id=b73e84272d883f74daa8eedd08c1c31453abe7e59e21f9ed5d51bdcb655359a6
company,1776886295,Thursday's big stock stories: What’s likely to move the market in the next trading session,139865468,https://image.cnbcfm.com/api/v1/image/108257481-1769516811771-gettyimages-2250111740-US_STOCKS.jpeg?v=1771953167&w=1920&h=1080,HON,CNBC,"Both the S&P 500 and the Nasdaq ended Wednesday at record levels, buoyed by the extension of a U.S.-Iran ceasefire and upbeat earnings reports.",https://finnhub.io/api/news?id=9645a9115956edcf7aa5d3672167bb6c825f378861cc1a443446c2f9d3aa115f
company,1776880982,"Stocks retreat from records as software shares slump, oil jumps: Live updates",139865574,https://image.cnbcfm.com/api/v1/image/108294016-1776698311805-gettyimages-2271683421-AFP_A8ED8QH.jpeg?v=1776949286&w=1920&h=1080,HON,CNBC,"Stocks pulled back on Thursday, led by a drop in software and higher oil prices.",https://finnhub.io/api/news?id=2b8533b125089f8f7e705cce529f6d58058711faf7def9af1d3dca2c4c4467fb
company,1776864943,10 Industrials Stocks Whale Activity In Today's Session,139851890,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_2.jpg?width=2048&height=1536,HON,Benzinga, ,https://finnhub.io/api/news?id=3d705d1cdc7c48f8db29248d7238ad165c93b46513d17eb13f7f5b1f8ac5a2a2
company,1776862212,Nigeria’s Dangote Refinery looks to fill petrochemical import gap,139850542,,HON,Finnhub,"Nigeria’s 650,000 barrels per day Dangote Refinery is setto expand its role in petrochemical manufacturing by producingingredients used in cleaning products and detergents, targetinganother...",https://finnhub.io/api/news?id=86644a0952c1012b96b62d1c1e78334a2a56745b93d42ef6fc446856338c69b9
company,1776861000,HONEYWELL ANNOUNCES QUANTINUUM'S CONFIDENTIAL SUBMISSION OF DRAFT REGISTRATION STATEMENT FOR PROPOSED INITIAL PUBLIC OFFERING,139848514,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Honeywell (Nasdaq: HON) today announced that Quantinuum LLC (""Quantinuum"" or the ""Company""), which is majority owned by Honeywell, confidentially submitted a draft registration statement on Form S-1 to the U.S. Securities and Exchange Commission (the ""SEC"") on February 17, 2026, relating to the proposed initial public offering of Quantinuum's common stock. The number of shares to be offered and the price range for the proposed offering have not yet been determined. The offering is subject to mar",https://finnhub.io/api/news?id=b6b320670a2b6e6bc4d1b47cb0392985910b2d0c6188ad2f0b03194616c303b0
company,1776860736,Quantinuum Prepares for IPO Amid Resurgent Interest,139850409,,HON,Finnhub,"Quantinuum, the quantum computing specialist majority-owned by Honeywell, has initiated steps for a US initial public offering. The group confirmed the confidential filing of a registration statement...",https://finnhub.io/api/news?id=f1e67c8a4c2d5b97e8a8d85a9efeb6b0140b0ef1843f784b392b937796ff05df
company,1776859464,Is It Too Late To Consider Honeywell International (HON) After Recent Share Price Gains?,139848515,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Investors may be wondering if Honeywell International, at a last close of US$222.22, still offers value or if most of the easy gains are already on the table. The stock has seen a 4.7% decline over the last 7 days, is roughly flat over the past month with a 0.3% return, and is up 13.4% year to date and 21.4% over the last year. Recent coverage has focused on Honeywell International’s positioning as a diversified industrial and technology company, which has kept the stock in focus for...",https://finnhub.io/api/news?id=f2e81756b6329dbe390f2f38a41a5f14aa9130e7395b319247d26cd8ab0eb6e7
company,1776856163,What To Expect From Honeywell’s (HON) Q1 Earnings,139847221,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,Industrial conglomerate Honeywell (NASDAQ:HON) will be reporting earnings this Thursday morning. Here’s what you need to know.,https://finnhub.io/api/news?id=36a977c88bb22eae5d837287b8ad0d16fe5d6223b0311077d9b4acca2ba2c19e
company,1776855612,Congressional Trading Report: Rep. Maria Elvira Salazar Bought Over $221K In Amgen Stock,139852410,https://cdn.benzinga.com/files/images/story/2025/11/06/insider_trade_1.jpg?width=2048&height=1536,HON,Benzinga, ,https://finnhub.io/api/news?id=92ab3e75a04c0c28d1e9f23455646abf39649709d3056062840308b1f76089f9
company,1776853114,Honeywell's Quantinuum confidentially files for US IPO,139848983,,HON,Finnhub,"Industrial giant Honeywell said on Wednesday its quantum computing company, Quantinuum, has confidentially filed paperwork for a U.S. initial public offering. The firm, majority owned by...",https://finnhub.io/api/news?id=a1799641246e17fe466cc7cae3bdc186100eaac5d177f443e57dc6e7024efb79
company,1776849918,Quantinuum Confidentially Files for IPO,139848067,,HON,Finnhub,"By Connor Hart Quantinuum, the quantum-computing company majority-owned by Honeywell International, is going public. Quantinuum confidentially submitted a draft registration statement with...",https://finnhub.io/api/news?id=dee58e35f1992d67b4249133e5e109187f54cc56ce149213d32f8e1ee9a8b399
