category,datetime,headline,id,image,related,source,summary,url
company,1776888076,Why Interactive Brokers Earnings Got An Iran War Boost. But Stock Slumps.,139854739,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"Interactive Brokers matched earnings estimates for the first quarter on Tuesday as trading volumes rose. But IBKR stock undercut a buy point on Wednesday, after a big rally in the past year. Interactive Brokers Chairman Thomas Peterffy told CNBC that customers turned to commodity investing — oil, gas and agriculture — in a volatile Q1.",https://finnhub.io/api/news?id=9eaa2b41ab08ed4ce5cb32d9b0c84a9d86fe44d68211107bb704bffce2af3c9d
company,1776876560,Interactive Brokers Posts Record Revenue but Shares Slip,139851823,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,Commission and interest income both hit new highs as account growth and trading volumes accelerate,https://finnhub.io/api/news?id=bfc22afbf1a34f4ad5bc13d7394ca6c412d24d043b944698fa72320163e996f7
company,1776873300,Interactive Brokers Stock Slips After First-Quarter Revenue Misses Estimates,139851824,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,The brokerage firm has been riding a surge of investor activity that has boosted account openings and trading volume.,https://finnhub.io/api/news?id=b137c41a1a443bb150aa3b133bd003ad43c1524b9e05fba44ec7b27ad99a2792
company,1776868860,"IBKR Lags on Q1 Earnings as Expenses Rise Y/Y, Announces Dividend Hike",139851761,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"Interactive Brokers misses Q1 EPS estimates on rising expenses but posts strong revenue growth, surging accounts and DARTs.",https://finnhub.io/api/news?id=814205a5bf213d4bb9d0ab81bdad8cbf3ad44ce2267db99342023999f29629a0
company,1776868163,"IBKR Q1 Deep Dive: Account Growth, AI Initiatives, and Expanding Crypto Access",139850023,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"Electronic brokerage firm Interactive Brokers (NASDAQ:IBKR) reported revenue ahead of Wall Street’s expectations in Q1 CY2026, with sales up 20.3% year on year to $1.68 billion. Its non-GAAP profit of $0.60 per share was in line with analysts’ consensus estimates.",https://finnhub.io/api/news?id=cb8f193053755c8cab14dc8d7f92f695db60dbf98f8c3b36c627180991b42e2b
company,1776865902,IBKR Q3 2024 Earnings Call Transcript,139848646,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"This quarter, the long-awaited interest rate cut in the U.S. finally happened.  For the industry as a whole, options contract volumes were up 12% over last year, reaching a new record and surpassing even the strong first quarter.  CME futures volumes were up 27% versus last year, also a record.",https://finnhub.io/api/news?id=5d5b2ac5a8778a555f606f47e1fcf61ab25b1916900ba4104d6f5ac4262c6872
company,1776862862,"Stocks making the biggest moves midday: Axe Compute, AST SpaceMobile, United Airlines, GE Vernova & more",139850763,https://image.cnbcfm.com/api/v1/image/108282297-1774370354680-gettyimages-2267710515-AFP_A4JX7G8.jpeg?v=1774370429&w=1920&h=1080,IBKR,CNBC,These are the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=5f5c16587046fd118740332e88b771cf1368a842a47f6ae8a2ca7e3ffce85a34
company,1776862768,"Goldman Sachs Maintains Buy on Interactive Brokers Group, Raises Price Target to $98",139853551,,IBKR,Benzinga,Goldman Sachs  analyst James Yaro   maintains Interactive Brokers Group (NASDAQ:IBKR) with a Buy and raises the price target from $89 to $98.,https://finnhub.io/api/news?id=9f2c12749452786c4815efd146f7c067a8729981b22e88c8a1e4da688f4e15e0
company,1776861000,"Interactive Brokers Group, Inc. Q1 2026 Earnings Call Summary",139861362,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"Moby summary of Interactive Brokers Group, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=ba55665e1d4e68e8c5c15808ad3bbc66b3c0b89c9706eb802847dae74aca1a8b
company,1776855423,"BMO Capital Maintains Outperform on Interactive Brokers Group, Raises Price Target to $93",139853552,,IBKR,Benzinga,BMO Capital  analyst Brennan Hawken   maintains Interactive Brokers Group (NASDAQ:IBKR) with a Outperform and raises the price target from $80 to $93.,https://finnhub.io/api/news?id=2ba7f8330ff5b83165485a66cb2704b83a32251a213a8710d97d61076d953c36
company,1776854404,Keefe Bruyette Resumes Coverage of Interactive Brokers (IBKR),139847328,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"Interactive Brokers Group, Inc. (NASDAQ:IBKR) is one of the 10 Fastest-Growing Financial Stocks to Invest In. On April 7, 2026, Keefe Bruyette resumed coverage of Interactive Brokers Group, Inc. (NASDAQ:IBKR) with a Market Perform rating and a $75 price target. Keefe noted that AI-related concerns and recent geopolitical developments have weighed on brokers while benefiting […]",https://finnhub.io/api/news?id=25dbd169e1f7a37be97ee1130e37de60bff8b7efa52a449f6805d44dba37e143
company,1776850815,Interactive Brokers : Q1 2026 Transcript,139848173,,IBKR,Finnhub,"Interactive Brokers Group's Q1 2026 Results - Earnings Call Transcript ‌April 21, 2026 4:30 PM ET Executives Thomas Peterffy -...",https://finnhub.io/api/news?id=8aa28c3921885159a3edf3458f40804e23cfc0ffd7c58bb3e02e35986cef3ff5
company,1776849781,"Barclays Maintains Overweight on Interactive Brokers Group, Raises Price Target to $93",139853553,,IBKR,Benzinga,Barclays  analyst Benjamin Budish   maintains Interactive Brokers Group (NASDAQ:IBKR) with a Overweight and raises the price target from $85 to $93.,https://finnhub.io/api/news?id=8757250055510faf5710b24f79f5e735b796a92c2e4e2088f4a366287574fe19
