category,datetime,headline,id,image,related,source,summary,url
company,1776899450,Intuitive Surgical Is A Buy Despite Soaring Post-Earnings,139857253,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1325055884/image_1325055884.jpg?io=getty-c-w1536,ISRG,SeekingAlpha,Intuitive Surgical raised its full-year outlook for da Vinci procedure growth and gross margin. Click here to read why ISRG stock is a Buy.,https://finnhub.io/api/news?id=721a575b975bb8a5ac9de65415a84859035a4641bb666cadb3376fbaa59a6ff5
company,1776899340,Buy UnitedHealth or Intuitive Surgical Stock After Strong Q1 Results?,139856788,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ISRG,Yahoo,"UnitedHealth's turnaround efforts are gaining traction, while Intuitive Surgical continues to benefit from long-term global adoption of robotic-assisted surgery.",https://finnhub.io/api/news?id=4cdfd35b0bcdb24e489906c40fd9987187537ed8ec5a42fe353abf2e3fbba92c
company,1776892032,Intuitive Surgical Balances Growth In AI Surgery With Cybersecurity Lessons,139854735,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ISRG,Yahoo,"Intuitive Surgical (NasdaqGS:ISRG) reported Q1 2026 results with strong global da Vinci procedure and revenue growth. The company highlighted expansion of its digital and AI-enabled capabilities across its surgical ecosystem. New FDA clearances were secured for Intuitive Surgical platforms and tools in Q1 2026. The company also disclosed a recent cyber incident, described as contained, with remediation efforts underway. Intuitive Surgical, known for its da Vinci robotic-assisted surgery...",https://finnhub.io/api/news?id=52d3026c409e528c2afc4faea712101199fe6691957467df27136c62f2b332f0
company,1776885600,Intuitive Surgical Reports Another Blowout Quarter: Time to Buy the Stock?,139852915,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ISRG,Yahoo,The surgical robotics company's latest quarterly report was exceptional across the board.,https://finnhub.io/api/news?id=cb9284b6de89a0ca51193a0d18dbd42e9a42e0bd94390b7802ca03041ae46af3
company,1776884704,Discover which S&P500 stocks are making waves on Wednesday.,139852553,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,ISRG,ChartMill,Let's have a look at what is happening on the US markets one hour before the close of the markets on Wednesday. Below you can find the top S&P500 gainers and losers in today's session.,https://finnhub.io/api/news?id=ae80157d188281be0d515ccfa1f94e57052986ccba514a7b6434cba8d0c774b1
company,1776878519,Why Intuitive Surgical Stock Soared Today,139851680,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ISRG,Yahoo,Intuitive Surgical's stellar first-quarter earnings reminded the market why it is a 195-bagger since 2000.,https://finnhub.io/api/news?id=02e74e1721da41420773587cf9a088006f64affd0f70a1ed8f6e804c745aa97f
company,1776878007,Intuitive Surgical Jumps 7% on Earnings Beat and Raised Full-Year Outlook,139851681,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ISRG,Yahoo,Intuitive Surgical Stock Rips Higher as Procedure Growth Forecast Gets Lifted,https://finnhub.io/api/news?id=a989b04844d5318058c10dcb6d2aa6b59cf2b3904ee09fcd5329e9fa899df693
company,1776877503,"In today's session, there are S&P500 stocks with remarkable trading volume.",139850747,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,ISRG,ChartMill,Let's have a look at the S&P500 stocks with an unusual volume in today's session.,https://finnhub.io/api/news?id=662f352c79252c2a8220e2ed25faf16cc72f7be0fdd40c6ed4f535693914a4d7
company,1776876420,Intuitive Surgical Q1 results top estimates as robotic surgery demand accelerates,139851682,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ISRG,Yahoo,"Intuitive Surgical Inc (NASDAQ:ISRG, XETRA:IUI1) reported stronger-than-expected quarterly results, supported by continued adoption of its robotic-assisted surgical platforms and solid procedural growth across key markets, according to UBS analysts. Shares of Intuitive traded up 8% following...",https://finnhub.io/api/news?id=2a183f2c1d42452127ca29ed40461e3c01dc25f44c71802c1c8211c5cc23d025
company,1776876184,"Why Robotic Surgery's Titan, Intuitive Surgical, Just Made A Bullish Move",139851683,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ISRG,Yahoo,Intuitive Surgical stock jumped Wednesday after the robotic surgery giant easily beat first-quarter sales and earnings calls.,https://finnhub.io/api/news?id=06a27e1c04fa043004bfe7f7cd7e7729d4e31010d054df75f840497f06687b21
