category,datetime,headline,id,image,related,source,summary,url
company,1776880982,"Stocks retreat from records as software shares slump, oil jumps: Live updates",139865574,https://image.cnbcfm.com/api/v1/image/108294016-1776698311805-gettyimages-2271683421-AFP_A8ED8QH.jpeg?v=1776949286&w=1920&h=1080,LMT,CNBC,"Stocks pulled back on Thursday, led by a drop in software and higher oil prices.",https://finnhub.io/api/news?id=2b8533b125089f8f7e705cce529f6d58058711faf7def9af1d3dca2c4c4467fb
company,1776877840,Forget Lockheed Martin. This Defense Stock Will Double by 2028.,139851716,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"Lockheed Martin (NYSE:LMT) dominates financial media, riding a record backlog and climbing stock price. Every defense analyst touts it. Lockheed’s story is real, but it’s priced in. The stock has climbed 24.21% over the past year and trades at a trailing P/E of roughly 26x on full-year 2025 EPS of $21.49. For a defense contractor ... Forget Lockheed Martin. This Defense Stock Will Double by 2028.",https://finnhub.io/api/news?id=fe920dac2656bfd9462f1e789bfb9b8829491d1a3c3742c94a2863bb11447559
company,1776877560,Defense Is Less ‘Defensive’ Now. Why Sector Stocks Are Getting Crushed.,139853008,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"The aerospace and defense sector has been a standout lately, free from AI disruption fears and boosted by higher demand for commercial air travel and global defense spending.  Investors probably have some time to wait before the skies clear.  Lockheed Martin  stock was down 3% in midday trading, on pace for its lowest close since January, according to Dow Jones Market Data.",https://finnhub.io/api/news?id=126dc14db1b469147898238c56e074f56a4edec44943b410a34b6bdbd8f967fb
company,1776874691,Peru's defense and foreign ministers resign after the president stalls US military planes deal,139853459,,LMT,Finnhub,"LIMA, Peru — Peru’s defense and foreign ministers resigned Wednesday following an announcement by the country's interim president to defer the decision on a $3.5 billion deal for U.S. F-16...",https://finnhub.io/api/news?id=8f48247dd18c4a22948af6e75dd0884b6ba66d8c164082ddf7cd44823df63fc0
company,1776873996,QuantumScape Adds Defense Technologist Maybury To Guide Commercialization Path,139851717,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"QuantumScape (NasdaqGS:QS) has appointed Dr. Mark Maybury to its strategic advisory board. Dr. Maybury brings experience from Lockheed Martin and senior roles within the U.S. Air Force. QuantumScape, trading at $6.98, has delivered mixed returns, with shares up 80.4% over the past year but down 36.9% year to date and 81.4% over five years. Against that backdrop, adding Dr. Maybury signals a focus on execution and commercialization as the company works to translate its battery technology...",https://finnhub.io/api/news?id=ae837be5f4c2e8f900dd48b7685606adae77e72850b72a11884852b4e9e99a3a
company,1776872486,US approves potential $200 million sale of Hellfire missiles to the Netherlands,139852773,,LMT,Finnhub,"The U.S. State Department said on Wednesday it approved the potential sale of Hellfire missiles to the Netherlands for $200 million.The principal contractor for the sale is Lockheed Martin, it...",https://finnhub.io/api/news?id=a9d64eb60120d62609bc2234645b5d6afc2ba265b9844ba73896b70475097b52
company,1776870720,"Teledyne's Q1 Earnings & Revenues Beat Estimates, '26 EPS View Raised",139851718,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,TDY beats Q1 estimates as sales rise 7.6% to $1.56B and EPS climbs 17%. The company also lifts its full-year 2026 adjusted EPS outlook.,https://finnhub.io/api/news?id=03d885c9b88aed5d635eb1f44354fb0b593039f76767d0e2bbaf597653252ea2
company,1776864902,"Down 6.3% in 4 Weeks, Here's Why Lockheed (LMT) Looks Ripe for a Turnaround",139849907,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"The heavy selling pressure might have exhausted for Lockheed (LMT) as it is technically in oversold territory now. In addition to this technical measure, strong agreement among Wall Street analysts in revising earnings estimates higher indicates that the stock is ripe for a trend reversal.",https://finnhub.io/api/news?id=9ab24d5cf253f9194f36acc7bb42bc6f9f85d5c2f94e73f7039e6e3797fe6c7a
company,1776856121,Peru's outgoing foreign minister says that contracts were signed on Monday with U.S. company Lockheed Martin for F16 fighter jets,139849311,,LMT,Finnhub,Perus outgoing foreign minister says that contracts were signed on Monday with U.S. company Lockheed Martin for F16 fighter jets...,https://finnhub.io/api/news?id=029a48114aecfc0d7742f6a7bcb25ca472e50017141f17aa64c661ba9be8e0ee
company,1776855985,"Trump ballroom deal shields donor identities, limits conflict safeguards, contract shows",139849309,,LMT,Finnhub,"Newly released documents show theTrump administration set up a legal framework allowing hundredsof millions of dollars in anonymous private donations to fund aplanned White House ballroom, while...",https://finnhub.io/api/news?id=88392d025b53a478555dc973ebeb73ae8c4e1b04491d9f0df59f789bf50247e4
