category,datetime,headline,id,image,related,source,summary,url
company,1776901975,Dow Jones Futures Fall After Nasdaq Hits High; Tesla Stock Sinks On Elon Musk Comments,139855748,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"The Nasdaq hit a new high as techs led Wednesday. Tesla fell late on Elon Musk comments. Lam Research, CSX, Texas Instruments and IBM were big earnings movers overnight.",https://finnhub.io/api/news?id=b720e8c17af39edf7c9b9b460c31e6d0977c6c430a3ea8be7d5ac30600417ed0
company,1776901367,Lam Research (LRCX) Q3 2026 Earnings Transcript,139855794,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Timothy Archer: Thank you, Ram, and good afternoon, everyone.  Lam is off to a solid start in calendar year 2026, with revenues and profitability in the March quarter at the upper end of our guidance ranges and earnings per share exceeding the top end of our guided range.  Revenues were at record levels, highlighted by the first $2 billion quarter from our Customer Support Business Group.",https://finnhub.io/api/news?id=408fff9406dd9d9b04597e106ab4d46f2c82139fad3bf9435c4cd1f5e0275860
company,1776898236,Lam Research Corporation (LRCX) Q3 2026 Earnings Call Transcript,139857134,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,LRCX,SeekingAlpha,"Lam Research Corporation (LRCX) Q3 2026 Earnings Call April 22, 2026 5:00 PM EDTCompany ParticipantsRam Ganesh - Vice President of Investor RelationsTimothy...",https://finnhub.io/api/news?id=efef77515af13dbaf65c92bcde3a843e40764c07d14af79f2185fe50fbf2ec51
company,1776895157,This Is Why Wall Street Firms Are Raising Price Target on Lam Research (LRCX),139855795,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Lam Research Corporation (NASDAQ:LRCX) is one of the top S&P 500 stocks by index weight. On April 13, analysts at Stifel reiterated their Buy rating on Lam Research Corp. (NASDAQ:LRCX) and raised their price target to $300 from $280. The price target hike underscores the research firm’s confidence that the company is capitalizing on its […]",https://finnhub.io/api/news?id=96302d92f92903b576617647c800a622fc48a68881bef87d2876ed28d46225e1
company,1776894307,Lam Research (LRCX) Q3 Earnings and Revenues Beat Estimates,139855796,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Lam Research (LRCX) delivered earnings and revenue surprises of +8.09% and +1.26%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=0288a96b182f7cb2a1a16331533e0bf4f1aac158a2954824c5d2cdb519c30840
company,1776894188,"Dow Jones Futures: Nasdaq Hits High On Trump Truce; Tesla Earnings Strong, Elon Musk On Call",139854555,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"The Nasdaq hit a new high as techs led Wednesday. Tesla stock jumped late on earnings, along with several others.",https://finnhub.io/api/news?id=0134436acb42012ef71f10b873e434ca673c4dcaa22f3afc928a855b33b79ebf
company,1776893340,Lam Research Stock Jumps on Strong Earnings,139854644,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,Analysts expected Lam Research to report adjusted earnings per share of $1.36 and sales of $5.75 billion.,https://finnhub.io/api/news?id=7043071d2d818fc81472b5741c59c3cde6095c27253df8bee92057ff28a54384
company,1776892866,Lam Research Ends March Quarter Like A Lion. Here's Why.,139854645,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,Semiconductor equipment maker Lam Research beat Wall Street's targets for its fiscal third quarter and with its outlook. LRCX stock rose.,https://finnhub.io/api/news?id=7bc913f917890d14d432feb1bd608d8f9175c8243a985109fb7f01a90b7474db
company,1776891907,Top gainers and losers in the S&P500 index during Wednesday's after-hours session.,139854257,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,LRCX,ChartMill,"As the regular session of the US market concludes on Wednesday, let's get an insight into the after-hours session and identify the top gainers and losers in the S&P500 index.",https://finnhub.io/api/news?id=dc9e7770d52b79bbae293249b4d222c5e70769e8361fa4b5dd5c189f29f71e55
company,1776891366,"Lam Research stock rises nearly 3% as AI demand drives strong Q3 results, guidance",139854646,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Investing.com -- Lam Research Corporation (NASDAQ:LRCX) reported third-quarter results that exceeded analyst expectations, driving shares up 2.9% as the semiconductor equipment maker benefited from AI-driven demand.",https://finnhub.io/api/news?id=97fd8bc2e448051dffdad508dfad7be0f494decd375bbe0bf6d41e4368722899
