category,datetime,headline,id,image,related,source,summary,url
company,1776898380,Lululemon Names Former Nike Executive as Its CEO. The Stock Is Down.,139855930,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"Lululemon  Athletica has a new CEO, but investors seem skeptical she can fix the athletic wear maker’s old problems.  After the close of trading Wednesday, Lululemon said Heidi O’Neill would be its new chief executive, effective Sept. 8.  O’Neill certainly has a lot of work ahead of her: Lululemon stock is down more than 50% in the past five years, and has lost more than 20% in 2026 alone.",https://finnhub.io/api/news?id=9a8255c8077ff7210b2e72994e857e946f1f490de363bcc23d19d6fe988efc21
company,1776892449,Lululemon stock sinks as athleisure company selects Nike veteran as new CEO,139854798,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,Lululemon picked Nike veteran Heidi O’Neill as its next CEO.,https://finnhub.io/api/news?id=d8ae9ea29e7d38a56939562de959fd453cdc5b87acdba6d5e1c74244be2d78b4
company,1776891907,Top gainers and losers in the S&P500 index during Wednesday's after-hours session.,139854257,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,LULU,ChartMill,"As the regular session of the US market concludes on Wednesday, let's get an insight into the after-hours session and identify the top gainers and losers in the S&P500 index.",https://finnhub.io/api/news?id=dc9e7770d52b79bbae293249b4d222c5e70769e8361fa4b5dd5c189f29f71e55
company,1776891688,Market reacts coolly as Lululemon taps ex-Nike exec Heidi O’Neill for top job,139854799,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,Investing.com -- Lululemon Athletica (NASDAQ:LULU) shares declined 5% in after-hours trading Wednesday following the company’s announcement that it has appointed Heidi O’Neill as its next Chief Executive Officer.,https://finnhub.io/api/news?id=2da002c3da981039cd5aee7e5e4863fd846eff7372f4470aed5cee6b06667794
company,1776891444,Lululemon taps former Nike executive to be next CEO,139854800,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"Lululemon (LULU) has named Heidi O'Neill — a former Nike (NKE) executive — as its new CEO, set to take over the chief executive role this September.",https://finnhub.io/api/news?id=7aab39f3496947a7a966fb3ae91550e992a9f3cf37678a7d8d3e1fd28de3aed5
company,1776890525,Lululemon Names Nike Veteran Heidi O’Neill as Next CEO,139854801,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"O’Neill said she plans to ""accelerate product breakthroughs, deepen the brand’s cultural relevance"" when she joins in September.",https://finnhub.io/api/news?id=6c855d95fa9c5afd0604a361e4df95fa971cb3752a911a4d69da25a60c46ccaa
company,1776888300,lululemon Names Proven Brand Builder Heidi O’Neill as Chief Executive Officer,139854854,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"VANCOUVER, British Columbia, April 22, 2026--lululemon athletica inc. (NASDAQ:LULU) today announced that, following a comprehensive search process, the company’s Board of Directors has unanimously approved the appointment of industry veteran Heidi O’Neill as the company’s next Chief Executive Officer. Ms. O’Neill will start as CEO and join the Board effective September 8, 2026, and will be based in Vancouver.",https://finnhub.io/api/news?id=595f83ab6af685b88fab2f8f356665b08161547bb7b9c8dfe3b92d3936a33433
company,1776877552,12 Consumer Discretionary Stocks Moving In Wednesday's After-Market Session,139854165,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_3.jpg?width=2048&height=1536,LULU,Benzinga, ,https://finnhub.io/api/news?id=9cd14645246159fdfc19f73c93dddf968c1605f9767164e9d221ad8705560b38
company,1776877489,lululemon athletica shares are trading lower after the company appointed Heidi O'Neill as CEO.,139865357,,LULU,Benzinga,,https://finnhub.io/api/news?id=571b90da0384ce602298c4ea1cd7cd8112d93f665c8c6119cc5be82afab48a27
company,1776877149,CP NewsAlert: Lululemon names former Nike exec Heidi O’Neill as next CEO,139853985,,LULU,Finnhub,VANCOUVER - Lululemon Athletica Inc. has named Heidi O’Neill as its next chief executive officer. O’Neill was a former executive at Nike who will start at Lululemon in September. ...,https://finnhub.io/api/news?id=3cf088f8c59337c427217a8d03c57d8de16d0ec776b392a6121399dc775c398f
company,1776876939,Lululemon Stock Slides After Company Names New CEO,139865358,https://cdn.benzinga.com/files/images/story/2026/04/22/Lululemon-Athletica-Inc-.jpeg?width=2048&height=1536,LULU,Benzinga,Lululemon Athletica Inc (NASDAQ:LULU) shares are moving lower in after-hours Wednesday after the company announced a CEO transition.,https://finnhub.io/api/news?id=ce3dcb2ec24eea30375e62212d6723f135f2385f5161f9a2dfd0d2559051d3af
company,1776876210,Lululemon names former Nike exec Heidi O'Neill as new CEO,139865923,https://image.cnbcfm.com/api/v1/image/108296132-1776948229817-lululemon_Heidi_ONeill_04-22-26.jpg?v=1776964117&w=1920&h=1080,LULU,CNBC,"Lululemon announced on Wednesday that it has chosen former Nike executive Heidi O'Neill as its new CEO, effective in September.",https://finnhub.io/api/news?id=b431346bd5f873b48ddd8719b7c7c3c8b37540fbe5e9ea1ebd5263806c4fb7f4
company,1776875820,Lululemon names former Nike executive Heidi O'Neill as new CEO,139866473,https://image.cnbcfm.com/api/v1/image/108295779-17768900731776890070-45442305765-1080pnbcnews.jpg?v=1776890072&w=1920&h=1080,LULU,CNBC,Lululemon stock falls after retailer names new CEO.,https://finnhub.io/api/news?id=17ef9a41ec7b0cf4a9d94ff3d176748b20e5e7bfbe2ab3971e20c7d836b43983
company,1776875603,Lululemon says it picks former Nike executive as next CEO,139853724,,LULU,Finnhub,Lululemon Athleticapicked a former top Nike executive as its next chiefexecutive as the athletic apparel retailer known for itsstretchy yoga pants faces pressure from its founder and a...,https://finnhub.io/api/news?id=2d3396f67920a6449380829fe87546b5cfdd9f9885186bdd2f9cde713565fb70
company,1776875100,Lululemon names Nike vet Heidi O’Neill CEO,139854802,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"The executive, who spent almost 30 years at Nike, will take over the top spot in September following Calvin McDonald’s exit earlier this year.",https://finnhub.io/api/news?id=2a09be2007857129fddc7f4d11df630d51d45d9a2028d09a7f7da5ff2f2c24c2
company,1776875010,"Athleisure company Lululemon appoints Heidi O'Neill as new top boss, WSJ says",139853632,,LULU,Finnhub,"Athletic apparel maker Lululemon picked Heidi O'Neill as CEO, the Wall Street Journal reported on Wednesday, tasking the former Nike executive with arresting sagging sales, refreshing its designs and...",https://finnhub.io/api/news?id=be74c8bb9ef9727106736c0d953af8eed2e5dc98d1d033db7bbffe5e8f66801a
company,1776873961,Lululemon picks former Nike executive Heidi O'Neill to be next CEO - WSJ,139853240,,LULU,Finnhub,"April 22 - Lululemon picks former Nike executive Heidi O'Neill to be next CEO, executives say - WSJ O'Neill is set to start as Lululemon chief executive and join its board on Sept. 8,...",https://finnhub.io/api/news?id=f2a6bb8409e5d2893b7b762b6fd694d35c94ae38642d2c3bd8e2a4adc27946f8
