category,datetime,headline,id,image,related,source,summary,url
company,1776898804,"Compared to Estimates, Southwest (LUV) Q1 Earnings: A Look at Key Metrics",139856875,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LUV,Yahoo,"While the top- and bottom-line numbers for Southwest (LUV) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=08735404944ab47f27590fa37e42f48bfc069f396009552e3cc4192c6a70abaa
company,1776894307,Southwest Airlines (LUV) Q1 Earnings Match Estimates,139855957,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LUV,Yahoo,"Southwest (LUV) delivered earnings and revenue surprises of -0.29% and +0.41%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=a64c35e6598a9e705ee60710009073fbd88ccb70e8d4946c41c96a92d0c8cad5
company,1776893340,Southwest Airlines Stock Is Falling. Oil Prices Compel It to Drop Guidance.,139854809,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LUV,Yahoo,"Southwest Airlines  slightly missed Wall Street’s expectations for the first quarter and discontinued its full-year guidance as the air carrier, along with the entire industry, grapples with increased fuel costs.  Wall Street had expected a first-quarter profit of 47 cents a share with sales totaling $7.27 billion, according to FactSet.  The carrier said first-quarter fuel costs were $2.73 a gallon, above its prior guidance of about $2.40, which increased fuel expenses by $164 million and represented approximately a 22 cents a share headwind.",https://finnhub.io/api/news?id=87fae4f480470bc66da746d8604369a11afa6cc719e7139e4ff0db1f2578eab9
company,1776892129,Southwest Airlines Co (NYSE:LUV) Stock Falls After Q1 Earnings Miss and Cautious Outlook,139854264,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_16_065e226ebd.webp,LUV,ChartMill,"Southwest Airlines Q1 earnings miss analyst estimates, with cautious Q2 outlook due to fuel costs driving stock lower.",https://finnhub.io/api/news?id=7a0344e5dfa4d97cf23743e8ca6dc67b5d2739e1f5dd04d1c12c8bf19858a3db
company,1776891907,Top gainers and losers in the S&P500 index during Wednesday's after-hours session.,139854257,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,LUV,ChartMill,"As the regular session of the US market concludes on Wednesday, let's get an insight into the after-hours session and identify the top gainers and losers in the S&P500 index.",https://finnhub.io/api/news?id=dc9e7770d52b79bbae293249b4d222c5e70769e8361fa4b5dd5c189f29f71e55
company,1776889260,"SOUTHWEST AIRLINES REPORTS FIRST QUARTER RESULTS, BUSINESS TRANSFORMATION INITIATIVES DELIVER MEANINGFUL MARGIN EXPANSION",139854842,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LUV,Yahoo,"Southwest Airlines Co. (NYSE:LUV) today reported first quarter 2026 financial results, representing an important milestone as the transformational plan announced just 18 months ago is now fully implemented.",https://finnhub.io/api/news?id=35ef8eb5e62776abb134576cb76d15d54da47190f0b9e3cacf07c417b3cffcd6
company,1776878061,"Stocks making the biggest moves after hours: Tesla, IBM, ServiceNow, Southwest Airlines and more",139865581,https://image.cnbcfm.com/api/v1/image/108291994-1776277744312-gettyimages-2270615979-1549827-fi-used-ev-sales-tesla-dealership-00258-eat.jpeg?v=1776899019&w=1920&h=1080,LUV,CNBC,See which stocks are posting big moves after the bell.,https://finnhub.io/api/news?id=62217dd34f7b3c6cebe3e74701c03a4facbed3d694593a68b6429fb04f2ff0fb
company,1776877577,"Southwest Airlines shares are trading lower after the company reported worse-than-expected Q1 financial results and issued Q2 adjusted EPS guidance with its midpoint below estimates. Also, the company said updating its FY adjusted EPS guidance would not be productive due to ongoing macroeconomic uncertainty.",139854405,,LUV,Benzinga,,https://finnhub.io/api/news?id=798fb960dcb186295489add425db22438af4086619f6d3bf4e41dac405c4d7ed
company,1776877546,"Southwest Airlines Stock Falls On Q1 Results, Guidance: 'Higher Fuel Expense' Weighs On Outlook",139869748,https://cdn.benzinga.com/files/images/story/2026/04/22/Warwick--Rhode-Islandseptember-2017-Chec.jpeg?width=2048&height=1536,LUV,Benzinga,Southwest Airlines set several records in the first quarter but the stock traded lower after missing analyst estimates and providing a guidance update.,https://finnhub.io/api/news?id=92e82bb3b892a54bc915e3cc983bcdc6eeb7b257944b455abdefd8ca88b21c20
company,1776875597,Southwest: Q1 Earnings Snapshot,139853729,,LUV,Finnhub,"DALLAS — DALLAS — Southwest Airlines Co. on Wednesday reported first-quarter profit of $227 million. On a per-share basis, the Dallas-based company said it had profit of 45 cents. The...",https://finnhub.io/api/news?id=87c2adbf8f3a368c5caca24bd859bb01ee97a94989c89781cf4cfc368ed04cc7
company,1776875429,Southwest Airlines forecasts quarterly earnings below estimates on higher fuel,139866155,https://image.cnbcfm.com/api/v1/image/108291911-1776272392422-gettyimages-2265481207-260307_lax_157.jpeg?v=1776895740&w=1920&h=1080,LUV,CNBC,The airline reported that revenue in its first-quarter period rose nearly 13% to $7.25 billion. ,https://finnhub.io/api/news?id=65f2e07a9bfee8673e688a4d4846de906509a3e42f39917ceecde172483f7b4b
company,1776875297,Southwest Airlines Expects 66 Boeing 737-8 Aircraft Deliveries And Plan To Retire ~60 Aircraft In 2026,139854406,,LUV,Benzinga,,https://finnhub.io/api/news?id=ee168f4e2cd16977b9a40a3776ae2f2091688fa2418997d6a8add360838590b1
company,1776875246,"Southwest Airlines Says Due To Ongoing Macroeconomic Uncertainty, Updating Its FY Adj. EPS Guidance Of $4.00 Would Not Be Productive At This Time",139854407,,LUV,Benzinga,,https://finnhub.io/api/news?id=5ac1ee9bf5171a96c86a17fc929b00098e90317fc264a4ab468f6f2a0ec2d99c
company,1776875202,Southwest Airlines forecasts second-quarter profit below estimates as fuel costs soar,139853636,,LUV,Finnhub,"Southwest Airlines forecast second-quarter profit below analysts' expectations on Wednesday, as soaring jet fuel prices driven by the war in Iran push costs up and dent margins.The Texas-based...",https://finnhub.io/api/news?id=8b7a1009eb1f42648d354adfe9eca71130dad556b29a01bd7c92426495e1702e
company,1776875037,Southwest Airlines Sees Q2 Adj EPS $0.35-$0.65 vs $0.60 Est,139854408,,LUV,Benzinga,Southwest Airlines (NYSE:LUV) is looking for Q2 Adj EPS of $0.35-$0.65 vs $0.60 analyst estimate..,https://finnhub.io/api/news?id=2efce766db9fb48ffda215a3c0812239ce25e552af863b36eb3a8044eb95b597
company,1776875003,"Southwest Airlines Q1 Adj. EPS $0.45 Misses $0.47 Estimate, Sales $7.249B Miss $7.265B Estimate",139854409,,LUV,Benzinga,Southwest Airlines (NYSE:LUV) reported quarterly earnings of $0.45 per share which missed the analyst consensus estimate of $0.47 by 4.26 percent. This is a 446.15 percent increase over losses of $(0.13) per share from,https://finnhub.io/api/news?id=e61b2d68cf8e124f0df6bf1e41f7e2b7c76d6c02a6f4beb31124a9c06fb0036d
company,1776873192,Trump Administration Eyes Potential Spirit Airlines Rescue With $500 Mil Loan,139851967,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LUV,Yahoo,"President Trump, White House consider a potential rescue loan for bankrupt Spirit Airlines to keep the carrier in business.",https://finnhub.io/api/news?id=ad85a02530511876e0c07d4d82fce768dd58daccfc0857146433436f31d8b94c
company,1776873061,"Delta Airlines is the most defensive airline with higher jet fuel prices, says TD Cowen's Tom Fitzgerald",139866052,https://image.cnbcfm.com/api/v1/image/108295705-17768870061776887004-45441505970-1080pnbcnews.jpg?v=1776887006&w=1920&h=1080,LUV,CNBC,"TD Cowen's Tom Fitzgerald joins 'Closing Bell' to discuss how investors should play the airline space, the least defensive airline stocks and much more.",https://finnhub.io/api/news?id=b3ab5aeca9ad5354d819f7f02d263cbd4079ceec07cbbf69b7233d78f6e98d03
company,1776869460,Markets Eye Jobless Claims Data,139851619,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LUV,Yahoo,Markets Eye Jobless Claims Data,https://finnhub.io/api/news?id=219e1ed2b4a7a070275f15aeab983d3c10e2f0030880d42b1a4b2aba6005f535
company,1776868320,"Pre-Markets Up on Ceasefire, Mostly Solid Q1 Earnings",139851620,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LUV,Yahoo,"Q1 earnings are mostly good this morning, while the world awaits the next move in the war on Iran.",https://finnhub.io/api/news?id=a6c61fac79b6b15c148740556edb3b3a81d433146cf9433b8528c974fa3246a5
company,1776867548,Gig tripping this summer? Here's how to pay for concert travel with your credit cards,139865522,https://image.cnbcfm.com/api/v1/image/108294010-1776697778276-gettyimages-2237274471-202509120322.jpeg?v=1776697834&w=1920&h=1080,LUV,CNBC,Flexible travel rewards can help you save on last-minute flights to concerts. But there is value in having an airline or hotel credit card if you plan ahead.,https://finnhub.io/api/news?id=3e17bbfaef87b018cf7d8a080e1b2de7ee12f2055f89248c5a2a223e32c3cd1a
company,1776853145,"Delta and United to benefit from other carriers cutting capacity, says Jefferies' Sheila Kahyaoglu",139851144,https://image.cnbcfm.com/api/v1/image/108295365-17768672831776867281-45436100025-1080pnbcnews.jpg?v=1776867283&w=1920&h=1080,LUV,CNBC,"Sheila Kahyaoglu, aerospace and defense analyst at Jefferies, joins 'Squawk on the Street' to discuss recent airline earnings, Boeing's financials, her outlook on the industry, and more.",https://finnhub.io/api/news?id=a68adf0b08a8eef828299ca37d886020b61c3d1c911cb27602b9a0d21b03420e
company,1776852300,Southwest Airlines Stock Has Defied the Turbulence. Earnings Threaten to Change That.,139847312,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LUV,Yahoo,The airline has been one of the better performers in the sector this year but earnings will be test of its resilience.,https://finnhub.io/api/news?id=9fa059a7a88061c56c875aa8825db42d291e74490acf04940fdb46ac652608ec
company,1776847920,United Airlines Cuts Guidance Due to Fuel Prices. The Stock Is Rising.,139846164,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LUV,Yahoo,"For the full year, United changed its profit guidance range to $7-$11 a share, compared with its previous earnings guidance of $12 to $14 a share.",https://finnhub.io/api/news?id=44308e58cb3b8b344ca19063a6de8930a67fe8655ef7ec1024c599880fdaee78
