category,datetime,headline,id,image,related,source,summary,url
company,1776889440,Masco Stock Among the S&P 500’s Winners. What Solid Earnings Say About Housing.,139854686,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MAS,Yahoo,Masco stock is near the top of the S&P 500 on Wednesday after the home improvement company beat expectations for first-quarter earnings.,https://finnhub.io/api/news?id=34b58cd2890ef578b612f916dc730001814d1e0c5a0efc70e0fd24774d94c449
company,1776884704,Discover which S&P500 stocks are making waves on Wednesday.,139852553,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,MAS,ChartMill,Let's have a look at what is happening on the US markets one hour before the close of the markets on Wednesday. Below you can find the top S&P500 gainers and losers in today's session.,https://finnhub.io/api/news?id=ae80157d188281be0d515ccfa1f94e57052986ccba514a7b6434cba8d0c774b1
company,1776877503,"In today's session, there are S&P500 stocks with remarkable trading volume.",139850747,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,MAS,ChartMill,Let's have a look at the S&P500 stocks with an unusual volume in today's session.,https://finnhub.io/api/news?id=662f352c79252c2a8220e2ed25faf16cc72f7be0fdd40c6ed4f535693914a4d7
company,1776876398,Masco Corporation Q1 2026 Earnings Call Summary,139851985,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MAS,Yahoo,Moby summary of Masco Corporation's Q1 2026 earnings call,https://finnhub.io/api/news?id=a970c9347e209c2d382fe2a40c0bc934543a177caf6e27f3071f096ec4bd5470
company,1776876120,Masco Stock Tops the S&P 500’s Winners. What Solid Earnings Say About Housing.,139853038,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MAS,Yahoo,Masco stock is near the top of the S&P 500 on Wednesday after the home improvement company beat expectations for first-quarter earnings.,https://finnhub.io/api/news?id=4d6176b5ff15155fd239f0d281e5e898251de1ea7d2d552cfd622ce933a3fba5
company,1776875704,Uncover the latest developments among S&P500 stocks in today's session.,139850503,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,MAS,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=526c71e3929bbd0fab61d1248ed1e659a0daabac3594bfbbf574960aa83cc081
company,1776873922,Masco (MAS) Q1 2026 Earnings Transcript,139851986,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MAS,Yahoo,"Jonathon Nudi: Thank you, Robin.  Before I discuss our quarterly results, I want to spend a few minutes talking about the continued evolution of our Masco Executive Committee, which we established at the end of last year.  Jay Shah, Group President Pulling and Wellness; and Rick Marshall, Vice President of Masco Operating System, recently announced their intent to retire from Masco later this summer.",https://finnhub.io/api/news?id=44af82c63559f803fdc57a18a11af4cda8be2fa853f238075d7660c719ddd0b7
company,1776868860,"Masco's Q1 Earnings Beat Estimates on Pricing & Cost Savings, Stock Up",139851816,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MAS,Yahoo,How did MAS deliver a first-quarter earnings beat as pricing and cost savings offset rising costs?,https://finnhub.io/api/news?id=caf7c43debc38450997e589fc949b1e802e00c5d8c495099a29b872459c2ac25
company,1776868200,Which stocks are gapping on Wednesday?,139849127,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,MAS,ChartMill,"Let's delve into the US markets on Wednesday and uncover the stocks that are experiencing notable gaps in today's session. Below, you'll find the gap up and gap down stocks.",https://finnhub.io/api/news?id=34939b22d7179e9f17b2d56fc2c0769517c6347d93ad7b98d17415ccc8e4ec44
company,1776866232,"Nasdaq 100 Tops Records As Iran Ceasefire Extends, GE Vernova Soars 13%: Stock Market Today",139851940,https://cdn.benzinga.com/files/images/story/2026/04/22/3d-Render-Closeup-Of-Computer-Keyboard-W.jpeg?width=2048&height=1536,MAS,Benzinga,"Tech stocks brushed new record highs during midday Wednesday, as a fresh wave of blockbuster corporate earnings propelled mega-cap technology and speculative names higher. ",https://finnhub.io/api/news?id=57808e97307dbffd0e07df952b05a5abba22debcbc30e267ce503ca1b7def584
company,1776864603,Masco (MAS) Q1 Earnings: Taking a Look at Key Metrics Versus Estimates,139850111,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MAS,Yahoo,"While the top- and bottom-line numbers for Masco (MAS) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=c46f09b236fc652badb1e892e70e7c17ec429d2ad332df4d544368dbf489fc0b
company,1776862862,"Stocks making the biggest moves midday: Axe Compute, AST SpaceMobile, United Airlines, GE Vernova & more",139850763,https://image.cnbcfm.com/api/v1/image/108282297-1774370354680-gettyimages-2267710515-AFP_A4JX7G8.jpeg?v=1774370429&w=1920&h=1080,MAS,CNBC,These are the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=5f5c16587046fd118740332e88b771cf1368a842a47f6ae8a2ca7e3ffce85a34
company,1776862853,Masco Corporation 2026 Q1 - Results - Earnings Call Presentation,139850707,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MAS,SeekingAlpha,2026-04-22. The following slide deck was published by Masco Corporation in conjunction with their 2026 Q1 earnings call.,https://finnhub.io/api/news?id=db8dca85cbdc16eeb70c9d9044465f10c9eb25bed68ab5533f442345379c9330
company,1776861303,Wondering what's happening in today's S&P500  pre-market session?,139847799,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,MAS,ChartMill,Curious about the S&P500 stocks that are showing activity before the opening bell on Wednesday?,https://finnhub.io/api/news?id=a6d1d9eb478dead03b6d6f81afad8ec248be8d7db19c4d28ee7242dae930358f
company,1776861289,Masco beats expectations on resilient home improvement demand,139850452,,MAS,Finnhub,"US-based Masco Corp. reported quarterly results that topped estimates, bolstered by sustained demand for low-cost renovation products. Amid economic uncertainty, households are prioritizing essential...",https://finnhub.io/api/news?id=489ba494157f74b45cd8f71205d0f619eb343dfa6309e9ac99392a2dc1ca2c7b
company,1776860651,"Masco Corp. (NYSE:MAS) Beats Q1 Estimates on Strong Plumbing Sales, Maintains Outlook",139847604,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_16_065e226ebd.webp,MAS,ChartMill,"Masco Corp. beats Q1 2026 earnings estimates on strong plumbing sales, maintains full-year outlook and returns capital to shareholders.",https://finnhub.io/api/news?id=a42c191445b202e4b5963f63302d2e1944c5096ca2a20ac882815ae78657a974
company,1776859803,Masco (MAS) Tops Q1 Earnings and Revenue Estimates,139848760,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MAS,Yahoo,"Masco (MAS) delivered earnings and revenue surprises of +18.47% and +4.30%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=c0abd508b74698a997880c89ddfe680999fa14bc0cef1959bfa29c1e33945d6c
company,1776859249,Masco Corporation (MAS) Q1 2026 Earnings Call Transcript,139850153,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MAS,SeekingAlpha,"Masco Corporation (MAS) Q1 2026 Earnings Call April 22, 2026 8:00 AM EDTCompany ParticipantsRobin Zondervan - Vice President, Investor Relations and...",https://finnhub.io/api/news?id=2a5a76d1bff03188e2e3271a0904d6b2dcd94c863aaea7432a4e3a58c03b8c92
