category,datetime,headline,id,image,related,source,summary,url
company,1776887136,Direct lending stress is growing on multiple fronts – Moody’s Ratings,139853127,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCO,Yahoo,"Stress indicators are worsening in the direct lending market, according to Moody’s Ratings, which characterized the recent bout of market volatility as the “first real test” for private credit. Liquidity is declining among borrowers, among which an increasing proportion are rated Caa1 or below, according to an April 22 sector report that examined 1,909 middle-market issuers from its credit estimates universe. PIK usage has also remained elevated. The picture is similar in Europe, where Moody’s s",https://finnhub.io/api/news?id=1e49c6b927ce3473f118450d6e04bdb7736ef345999275455602a285fee6e710
company,1776877416,Moody's: The Bears Are Losing Their Arguments (Q1 Earnings Review),139854052,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458964851/image_458964851.jpg?io=getty-c-w1536,MCO,SeekingAlpha,"Moodyâs (MCO) Q1 2026 earnings beat shows AI-resilient analytics growth, strong ARR and guidance, and a $520â$550 bull caseâread the full analysis here.",https://finnhub.io/api/news?id=e3622caf1130e9d12e93eac666cfc2b332aeb290d5e78ac2f7739e6781575685
company,1776876375,Moody's Corporation Q1 2026 Earnings Call Summary,139851490,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCO,Yahoo,Moby summary of Moody's Corporation's Q1 2026 earnings call,https://finnhub.io/api/news?id=4035fc56d85b5fa60c5a66ba164ee3ac3d2cf9b8ac47b3face8cbd7bf7e434de
company,1776875387,Moody's (MCO) Q1 2026 Earnings Call Transcript,139851765,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCO,Yahoo,"Both MIS and MA grew revenues by 8% and disciplined cost management drove 150 basis points of adjusted operating margin to 53.2%.  In analytics, engagement is strongest and our largest, most strategic relationships, which continue to grow materially faster in a broader MA base, and we have a growing pipeline of some of the world's largest financial institutions to consume our agent ready intelligence, and that's supported by further expansion with our hyperscaler and AI partners.",https://finnhub.io/api/news?id=9120e3138ea64ac5bdf7cf8c6777e52c3efd734d6ba2bd9f7eace38d98aed912
company,1776869040,MCO Q1 Earnings Beat on Rising Analytics Demand & Higher Issuances,139851696,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCO,Yahoo,Moody's tops Q1 estimates as analytics demand and bond issuances lift revenues. Shares rise pre-market even as expenses climb.,https://finnhub.io/api/news?id=41cdb2be39a1feaec7f2eeda9d2a6aa71efa9635c7065a414bd8353cb32a2780
company,1776864606,"Compared to Estimates, Moody's (MCO) Q1 Earnings: A Look at Key Metrics",139849965,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCO,Yahoo,"While the top- and bottom-line numbers for Moody's (MCO) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=bca57ecc6ad5a1b112909135263b10224a2c72ccf606a4c6dd4835384ce09f2c
company,1776862838,Moody's Corporation (MCO) Q1 2026 Earnings Call Transcript,139850709,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MCO,SeekingAlpha,"Moody's Corporation (MCO) Q1 2026 Earnings Call April 22, 2026 9:00 AM EDTCompany ParticipantsShivani Kak - Head of Investor RelationsRobert Fauber -...",https://finnhub.io/api/news?id=485bb8660adb0208be1176607491d345c635ba7087bf81a7889c20afe77321fb
company,1776861873,Moody’s Beats Q1 Forecasts as Revenue and Earnings Top Expectations,139854784,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCO,Yahoo,Shares of Moody’s Corporation (NYSE:MCO) rose 0. 59% in premarket trading on Wednesday after the ratings agency reported first-quarter results that exceeded analyst expectations on both earnings and revenue.,https://finnhub.io/api/news?id=221d33198bd9804ed2f38669f66d17e6e176e1da13546ea33072b2b89a851f7a
company,1776861482,Moody's Boosts Buybacks To $2.5 Billion Following Q1 Earnings Beat,139867150,https://cdn.benzinga.com/files/images/story/2026/04/22/Moodys.jpeg?width=2048&height=1536,MCO,Benzinga,"Moody&#39;s (MCO) shares surge over 3% following a record-breaking first quarter driven by $2 trillion in rated issuance. With earnings beating estimates and share buybacks boosted to $2.5 billion, see why management raised its full-year 2026 outlook.",https://finnhub.io/api/news?id=cc1f43b7b4a884e3523f94c7be3341d207b910fe598992aec2811bb0c1505cec
company,1776859803,Moody's (MCO) Beats Q1 Earnings and Revenue Estimates,139849966,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCO,Yahoo,"Moody's (MCO) delivered earnings and revenue surprises of +1.87% and +0.38%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=ab04e54b2f48e7a4c8163a40a97ac6cfb03600b7fe59fc03da1eb5f829a3dde1
