category,datetime,headline,id,image,related,source,summary,url
company,1776898380,Lululemon Names Former Nike Executive as Its CEO. The Stock Is Down.,139855930,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"Lululemon  Athletica has a new CEO, but investors seem skeptical she can fix the athletic wear maker’s old problems.  After the close of trading Wednesday, Lululemon said Heidi O’Neill would be its new chief executive, effective Sept. 8.  O’Neill certainly has a lot of work ahead of her: Lululemon stock is down more than 50% in the past five years, and has lost more than 20% in 2026 alone.",https://finnhub.io/api/news?id=9a8255c8077ff7210b2e72994e857e946f1f490de363bcc23d19d6fe988efc21
company,1776892449,Lululemon stock sinks as athleisure company selects Nike veteran as new CEO,139854798,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,Lululemon picked Nike veteran Heidi O’Neill as its next CEO.,https://finnhub.io/api/news?id=d8ae9ea29e7d38a56939562de959fd453cdc5b87acdba6d5e1c74244be2d78b4
company,1776891688,Market reacts coolly as Lululemon taps ex-Nike exec Heidi O’Neill for top job,139854799,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,Investing.com -- Lululemon Athletica (NASDAQ:LULU) shares declined 5% in after-hours trading Wednesday following the company’s announcement that it has appointed Heidi O’Neill as its next Chief Executive Officer.,https://finnhub.io/api/news?id=2da002c3da981039cd5aee7e5e4863fd846eff7372f4470aed5cee6b06667794
company,1776891444,Lululemon taps former Nike executive to be next CEO,139854800,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"Lululemon (LULU) has named Heidi O'Neill — a former Nike (NKE) executive — as its new CEO, set to take over the chief executive role this September.",https://finnhub.io/api/news?id=7aab39f3496947a7a966fb3ae91550e992a9f3cf37678a7d8d3e1fd28de3aed5
company,1776890525,Lululemon Names Nike Veteran Heidi O’Neill as Next CEO,139854801,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"O’Neill said she plans to ""accelerate product breakthroughs, deepen the brand’s cultural relevance"" when she joins in September.",https://finnhub.io/api/news?id=6c855d95fa9c5afd0604a361e4df95fa971cb3752a911a4d69da25a60c46ccaa
company,1776880851,Puma Hires New Wholesale and Sportstyle Leaders as It Continues Turnaround,139853140,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,Bertrand Blanc as Puma's new VP of global wholesale and Laurent Fricker is the new VP of sportstyle.,https://finnhub.io/api/news?id=c6cadde61ef415a1f3c0a9c201f727e29583259dfdf03d7444cdd5004d104156
company,1776877200,NIKE vs. adidas: Which Athletic Leader Deserves Investors' Attention?,139853141,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"NKE and ADDYY battle for global share through digital expansion, innovation and category growth as both refine strategies for future performance.",https://finnhub.io/api/news?id=6d35b9c44d6e8fe203478fb4b1a61a78b041b9be04b8611da9a651a8d5b8add1
company,1776876939,Lululemon Stock Slides After Company Names New CEO,139865358,https://cdn.benzinga.com/files/images/story/2026/04/22/Lululemon-Athletica-Inc-.jpeg?width=2048&height=1536,NKE,Benzinga,Lululemon Athletica Inc (NASDAQ:LULU) shares are moving lower in after-hours Wednesday after the company announced a CEO transition.,https://finnhub.io/api/news?id=ce3dcb2ec24eea30375e62212d6723f135f2385f5161f9a2dfd0d2559051d3af
company,1776876210,Lululemon names former Nike exec Heidi O'Neill as new CEO,139865923,https://image.cnbcfm.com/api/v1/image/108296132-1776948229817-lululemon_Heidi_ONeill_04-22-26.jpg?v=1776964117&w=1920&h=1080,NKE,CNBC,"Lululemon announced on Wednesday that it has chosen former Nike executive Heidi O'Neill as its new CEO, effective in September.",https://finnhub.io/api/news?id=b431346bd5f873b48ddd8719b7c7c3c8b37540fbe5e9ea1ebd5263806c4fb7f4
company,1776875100,Lululemon names Nike vet Heidi O’Neill CEO,139854802,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"The executive, who spent almost 30 years at Nike, will take over the top spot in September following Calvin McDonald’s exit earlier this year.",https://finnhub.io/api/news?id=2a09be2007857129fddc7f4d11df630d51d45d9a2028d09a7f7da5ff2f2c24c2
company,1776873679,"Lululemon picks former Nike executive Heidi O'Neill to be next CEO, executives say - WSJ",139853111,,NKE,Finnhub,"Lululemon picks former Nike executive Heidi O'Neill to be next CEO, executives say - WSJ...",https://finnhub.io/api/news?id=fba54607fb88a1b64b9bb8912f4d7754f81dcc69e96651e0bb40a938b7fa1748
company,1776866700,"Nike's Turnaround Is Still Not Complete. At Least, Not Until It Solves This Problem.",139849644,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,Investors should not buy Nike stock until they understand the importance of this one metric.,https://finnhub.io/api/news?id=5fde0bff8ec64aa392b10c114ba362d285ab6974697f534f73f80338cb635d43
company,1776864949,10 Consumer Discretionary Stocks With Whale Alerts In Today's Session,139851915,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_3.jpg?width=2048&height=1536,NKE,Benzinga, ,https://finnhub.io/api/news?id=9e5d1010bcdee9898fee31076cb1585d558bafc181ce098df200d1dd389d7cff
