category,datetime,headline,id,image,related,source,summary,url
company,1776887400,These 3 Defense Giants Beat Q1 Estimates—So Why Did Their Stocks Still Fall?,139869476,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOC,Yahoo,"GE Aerospace, Northrop Grumman, and RTX each beat Q1 2026 earnings estimates but sold off after failing to raise full-year guidance, despite analyst Moderate Buy ratings on all three.",https://finnhub.io/api/news?id=b0b5001bf082db623f5b582c06b3b5aee48cb338f86b961c9058ec500a816370
company,1776877560,Defense Is Less ‘Defensive’ Now. Why Sector Stocks Are Getting Crushed.,139853008,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOC,Yahoo,"The aerospace and defense sector has been a standout lately, free from AI disruption fears and boosted by higher demand for commercial air travel and global defense spending.  Investors probably have some time to wait before the skies clear.  Lockheed Martin  stock was down 3% in midday trading, on pace for its lowest close since January, according to Dow Jones Market Data.",https://finnhub.io/api/news?id=126dc14db1b469147898238c56e074f56a4edec44943b410a34b6bdbd8f967fb
company,1776874247,"Northrop Grumman Remains Well-Positioned Across Strategic Programs and Defense Portfolios, RBC Says",139851741,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOC,Yahoo,Northrop Grumman (NOC) remains well-positioned across strategic programs and its broader weapons and,https://finnhub.io/api/news?id=ee053c66388ac96301b371ff0d84bf80d87b43a160a2ad28161e4f1cf9d8d265
company,1776861360,Boeing Earnings Beat as Jet Deliveries Take Off. Stock Rises as Turnaround Takes Shape.,139848419,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOC,Yahoo,Boeing reported a first-quarter per-share loss of 20 cents from sales of $22.2 billion. Wall Street was looking for a per-share loss of 68 cents from sales of $21.3 billion.,https://finnhub.io/api/news?id=0e7845ea2832810c24e8fc1c79ee082e354bcfbd37cd87a18039b8b795ea148d
company,1776857902,"Morgan Stanley Maintains Overweight on Northrop Grumman, Lowers Price Target to $745",139855443,,NOC,Benzinga,Morgan Stanley  analyst Kristine Liwag   maintains Northrop Grumman (NYSE:NOC) with a Overweight and lowers the price target from $765 to $745.,https://finnhub.io/api/news?id=49040cd1e9473a2a6b33c703c65b9dd8ac2c9a321596925b50806030f7dcba21
company,1776857445,"Northrop Grumman Posts Q1 Beat, Stock Tanks On Capex Concerns",139855444,https://cdn.benzinga.com/files/images/story/2026/04/22/Saint-Petersburg--Russia---29-March-2020_0.jpeg?width=2048&height=1536,NOC,Benzinga,"Northrop Grumman&#39;s stock falls despite upbeat Q1 results, as investors are disappointed by lack of formal B-21 contract renegotiation. Analyst maintains Buy rating and $815 price target, citing company&#39;s agreement with Air Force to increase production rate and potential for strong cash generation.",https://finnhub.io/api/news?id=a3f8811e1c4da9e48ce05f3e27eb9e6180ad9f6bfc9995444bb18a145ded23ae
company,1776853763,"NOC Q1 Deep Dive: Defense Demand, Production Ramps, and Margin Recovery Shape Outlook",139847250,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOC,Yahoo,"Security and aerospace company Northrop Grumman (NYSE:NOC) reported Q1 CY2026 results topping the market’s revenue expectations, with sales up 4.4% year on year to $9.88 billion. The company expects the full year’s revenue to be around $43.75 billion, close to analysts’ estimates. Its non-GAAP profit of $6.14 per share was 1.3% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=75305d327855d552d651ef87af3a6f2c09c09f48789c6554eb94ff52f0addaf2
company,1776843387,"BTIG Reiterates Buy on Northrop Grumman, Maintains $815 Price Target",139855445,,NOC,Benzinga,BTIG  analyst Andre Madrid   reiterates Northrop Grumman (NYSE:NOC) with a Buy and maintains $815 price target.,https://finnhub.io/api/news?id=1c0c432d45d0567d7845acd2238fbb6cc82d670ebcbe555a97c3826eb5b8d4a2
company,1776841381,Northrop Grumman Corp (NOC) Q1 2026 Earnings Call Highlights: Strong Sales Growth and Strategic ...,139845255,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOC,Yahoo,Northrop Grumman Corp (NOC) reports robust first-quarter performance with significant sales growth and strategic advancements in key defense programs.,https://finnhub.io/api/news?id=ef86646169716811637bbc8ad4856537a6d8add4cb791cb46e5c9ac350967471
company,1776841028,Northrop Grumman Says Defense Spending Could Reach Cold War Era Levels,139852183,https://cdn.benzinga.com/files/images/story/2026/04/22/Northrop-Grumman-Corp.jpeg?width=2048&height=1536,NOC,Benzinga,"Northrop Grumman posts Q1 FY26 earnings and revenue above estimates, driven by strong defense demand and missile systems growth.",https://finnhub.io/api/news?id=3d950631ddeb77c70a22857d3490ca7f9017fc2490d64631de4a7f8599e734df
