category,datetime,headline,id,image,related,source,summary,url
company,1776900645,"Stock market today: Dow, S&P 500 and Nasdaq futures slide as oil tops $100, Tesla slips after earnings",139859916,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"The US-Iran battle for control of the Strait of Hormuz spurred oil gains, while Tesla's capex warning weighed on its stock.",https://finnhub.io/api/news?id=d19b2d48f7991660dde182e1c8566d54b864bf1bd4e2236e1ff3f0162c96eefd
company,1776900645,"Stock market today: Dow, S&P 500 and Nasdaq futures slide as US-Iran uncertainty persists, Tesla slips after-hours",139855756,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,US major gauges retreated from fresh records as tech earnings after-hours dragged markets down.,https://finnhub.io/api/news?id=b1cfe1c2404be8d549d887f68591c513a1522f9727ccca045982e2580ebda458
company,1776895201,ServiceNow (NOW) Reports Q1 Earnings: What Key Metrics Have to Say,139859123,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"While the top- and bottom-line numbers for ServiceNow (NOW) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=25add99023ce7b3b599b6c447a0830657fb4768f7cbf46e911e9a7cb49ef1ee5
company,1776894308,ServiceNow (NOW) Q1 Earnings and Revenues Surpass Estimates,139858229,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"ServiceNow (NOW) delivered earnings and revenue surprises of +1.84% and +0.57%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=d47351c43969067f3d9aaad04cb86769333fd5d3736846535f2465869d441932
company,1776894188,"Dow Jones Futures: Nasdaq Hits High On Trump Truce; Tesla Earnings Strong, Elon Musk On Call",139854555,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"The Nasdaq hit a new high as techs led Wednesday. Tesla stock jumped late on earnings, along with several others.",https://finnhub.io/api/news?id=0134436acb42012ef71f10b873e434ca673c4dcaa22f3afc928a855b33b79ebf
company,1776893400,TridentCare Partners with ServiceNow to Power AI-Driven Transformation Across Operations,139854755,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"Strategic investment in the ServiceNow AI Platform will modernize end-to-end processes and accelerate TridentCare's technology-forward approach to portable diagnostics SPARKS, MD / ACCESS Newswire / April 22, 2026 / TridentCare, the nation's leading ...",https://finnhub.io/api/news?id=90b98aafd8020f9d4e123cd1bbf2cbab9c100735bf19bf9192be161458bf0d65
company,1776893010,"Tesla, ServiceNow, Quantumscape, IBM And Intel: Why These 5 Stocks Are On Investors' Radars Today",139863566,https://cdn.benzinga.com/files/images/story/2026/04/22/Financial-Graph-With-Uptrend-Line-Techno_0.jpeg?width=2048&height=1536,NOW,Benzinga,"TSLA, NOW, QS, IBM, INTC were among the trending stocks on Wednesday, April 22, 2026.",https://finnhub.io/api/news?id=601adee34af1c518a39379c6d01ba6a9875c592c7e5597af01c11399202b129b
company,1776892358,ServiceNow Earnings Meet Views As Armis Deal Clouds Margin Outlook,139854756,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,Enterprise software maker ServiceNow reported Q1 earnings that met estimates while revenue edged by views. ServiceNow stock fell on the news.,https://finnhub.io/api/news?id=9ec588a4930fe8bcee3032bd860a3130d7804ff509fec5f63302e5d298a3b99d
company,1776891907,Top gainers and losers in the S&P500 index during Wednesday's after-hours session.,139854257,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,NOW,ChartMill,"As the regular session of the US market concludes on Wednesday, let's get an insight into the after-hours session and identify the top gainers and losers in the S&P500 index.",https://finnhub.io/api/news?id=dc9e7770d52b79bbae293249b4d222c5e70769e8361fa4b5dd5c189f29f71e55
company,1776891600,Stay updated with the stocks that are on the move in today's after-hours session.,139854249,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,NOW,ChartMill,Let's have a look at what is happening on the US markets after the closing bell on Wednesday. Below you can find the top gainers and losers in today's after hours session.,https://finnhub.io/api/news?id=75e5ec02658a083f34ea08eb44c47e6926c031aa37a9a706d69bf8b109737210
company,1776891302,ServiceNow falls 12% as full-year subscription revenue guidance disappoints,139854731,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,Investing.com -- ServiceNow Inc (NYSE:NOW) reported first-quarter results that met analyst expectations but tumbled 12.9% in after-hours trading on Wednesday after issuing full-year subscription revenue guidance that appeared to disappoint investors.,https://finnhub.io/api/news?id=5ceef97eb1474cb2592422b3a0f5fae24fc50df8e79ad78d5b29c934e8345741
company,1776891120,ServiceNow Stock Tumbles. The Iran War Is One Reason Why.,139854758,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"ServiceNow  stock was tumbling as investors seemed to want more out of the enterprise software company’s latest results.  ServiceNow posted first-quarter adjusted earnings of 97 cents a share, which was in-line with Wall Street estimates, according to FactSet.  ServiceNow reported first-quarter subscription revenue of $3.67 billion, which was just above estimates of $3.65 billion.",https://finnhub.io/api/news?id=da47f116bc4e430ba1939831165db7f992123cdc3a647add6f96ce5b395ae3f2
company,1776889473,ServiceNow (NYSE:NOW) Beats Q1 CY2026 Sales Expectations But Stock Drops 15.2%,139854759,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"Enterprise workflow automation company ServiceNow (NYSE:NOW) reported Q1 CY2026 results topping the market’s revenue expectations, with sales up 22.1% year on year to $3.77 billion. Its non-GAAP profit of $0.97 per share was in line with analysts’ consensus estimates.",https://finnhub.io/api/news?id=dea8ac3c681db8d4505cb1ff80ab3751554137cdaee285fb5407fa311f71dfd6
company,1776888908,"ServiceNow flags Middle East deal delays, shares crash",139854760,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"ServiceNow reported on Wednesday that delays in closing several large deals in the Middle East hurt first-quarter subscription ‌revenue growth, sending its shares down 13% in extended trading.  The company ‌said its subscription revenue growth faced about a 75-basis-point headwind from delayed closures of several large on-premises ​deals in the region due to the ongoing conflict.  The company's chief operating officer Amit Zavery told Reuters that those deals are expected to close throughout the year.",https://finnhub.io/api/news?id=138d20c8212ded262d7ed1c8b170640f051c561122e2fc8e467b652f84a958c4
company,1776888600,ServiceNow and Google Cloud unite AI agents for autonomous enterprise operations,139854763,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"LAS VEGAS, April 22, 2026--ServiceNow and Google Cloud deepened their strategic partnership, unveiling new AI solutions across 5G networking, retail, and IT systems.",https://finnhub.io/api/news?id=8a6b695181dc27944544f6d6302508eefbc20e7c2fb3ea55e82b8dac01240f07
company,1776888600,ServiceNow Reports First Quarter 2026 Financial Results,139854762,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"SANTA CLARA, Calif., April 22, 2026--ServiceNow (NYSE: NOW), the AI control tower for business reinvention, today announced financial results for its first quarter ended March 31, 2026, with subscription revenues of $3,671 million in Q1 2026, representing 22% year-over-year growth and 19% in constant currency.",https://finnhub.io/api/news?id=0489d3c26dfa288524e944ae558ce0cc232d25dac70d1b1907acff7ce59973b6
company,1776888600,"TridentCare achieves 96% scheduling automation with ServiceNow AI-powered CRM, improving care for millions of patients",139854761,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"SANTA CLARA, Calif., April 22, 2026--ServiceNow (NYSE: NOW), the AI control tower for business reinvention, today announced that TridentCare, the nation’s largest provider of portable medical diagnostic services, selected the ServiceNow AI Platform to transform its end-to-end operations and largely replace manual coordination with autonomous, AI-driven processes. With AI agents from ServiceNow, TridentCare will power faster, more reliable service by unifying operations from customer order throug",https://finnhub.io/api/news?id=cfa2bdb1f7bace7fcafd7ac358de6ad20fcb4b0fa71c07bcaa888bd12a28946d
company,1776884801,ServiceNow Earnings Selloff: 3 Reasons The Market Got It Wrong,139855454,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2198179711/image_2198179711.jpg?io=getty-c-w1536,NOW,SeekingAlpha,"ServiceNow (NOW) stock: Q1 beat, raised FY26 guidance, and panic-driven selloff.",https://finnhub.io/api/news?id=e5b7d5c3244a92f4dfe30a1f31664476524e396a8e344bf8f57eea09fe828d64
company,1776884450,"Transcript : ServiceNow, Inc., Q1 2026 Earnings Call, Apr 22, 2026",139855888,,NOW,Finnhub,"Presentation Operator MessageOperator Hello, and thank you for standing by. My name is Tiffany, and I will be your conference operator today. At this time, I would like to welcome everyone to the...",https://finnhub.io/api/news?id=60dbba4a09348fe2ed141c7379c95ca635d9ccdcbbdb692ea054ad03318c220f
company,1776883620,Morgan Stanley has a message for ServiceNow investors,139853092,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"ServiceNow’s (NOW) stock has dropped about 32% this year, but Morgan Stanley says the fundamentals tell a different story. Demand remains intact, and the company’s AI strategy is starting to show up in real revenue. The debate now is whether ServiceNow can translate AI adoption, backlog strength, ...",https://finnhub.io/api/news?id=80c8eac2ba6ea5d45e67e905fb167d96454bae14eb39f0e6a537413734462553
company,1776882299,Full Transcript: ServiceNow Q1 2026 Earnings Call,139866963,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_3.jpg?width=2048&height=1536,NOW,Benzinga, ,https://finnhub.io/api/news?id=929459aa2b37a3cbb640d1264e9938dfd4d5fcc797d7c8c672b5a0bce3feadb8
