category,datetime,headline,id,image,related,source,summary,url
company,1776869603,"NTRS Q1 Deep Dive: AI Investment, Wealth Hiring, and Deposit Momentum Define Start to Year",139850054,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,"Financial services company Northern Trust (NASDAQ:NTRS) reported revenue ahead of Wall Street’s expectations in Q1 CY2026, with sales up 13.8% year on year to $2.21 billion. Its non-GAAP profit of $2.71 per share was 16.5% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=268c98ba34cae6f3109462a03c79ecd48c83cec0471f54c043cd1fa6718908a9
company,1776866400,Northern Trust and Saphyre Expand Collaboration to Enhance the Full Account Lifecycle for Investment Operations Outsourcing Clients,139850055,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,"CHICAGO, April 22, 2026--The collaboration with Saphyre allows Northern Trust clients to manage the full lifecycle of events with greater transparency, control and efficiency.",https://finnhub.io/api/news?id=4e635fed82e9338d1893921d5646dfa5f1268f5d0fb0b59a36ffc01d3f223519
company,1776863322,"Final Trades: Vertiv Holdings, Alerian and Northern Trust",139851198,https://image.cnbcfm.com/api/v1/image/108295540-17768772571776877256-45438872976-1080pnbcnews.jpg?v=1776877257&w=1920&h=1080,NTRS,CNBC,The Investment Committee gives you their top stocks to watch for the second half.,https://finnhub.io/api/news?id=d56196bf746793eda28aedde13360426e48640198530f2e8d60f564585ab753a
company,1776862867,"CNBC Halftime Report Final Trades: Vertiv Holdings, Alerian MLP ETF, Northern Trust",139855497,,NTRS,Benzinga,,https://finnhub.io/api/news?id=9bcce386a7013772b5d344c745964a2ec3dd48d50a893a6c2b13b2c2a3760104
company,1776862567,"Goldman Sachs Maintains Neutral on Northern Trust, Raises Price Target to $169",139865944,,NTRS,Benzinga,Goldman Sachs  analyst Alexander Blostein   maintains Northern Trust (NASDAQ:NTRS) with a Neutral and raises the price target from $151 to $169.,https://finnhub.io/api/news?id=e536554f3665f14efc50fdfb71b813adf551bbce82a66aba9b278847092d63db
company,1776855038,"Wells Fargo Maintains Equal-Weight on Northern Trust, Raises Price Target to $175",139865945,,NTRS,Benzinga,Wells Fargo  analyst Mike Mayo   maintains Northern Trust (NASDAQ:NTRS) with a Equal-Weight and raises the price target from $150 to $175.,https://finnhub.io/api/news?id=0861402315132ecb890624fa9c5617204aecaf4cdd39b42133f97444a9bdb078
company,1776854057,"RBC Capital Maintains Outperform on Northern Trust, Raises Price Target to $178",139865946,,NTRS,Benzinga,RBC Capital  analyst Gerard Cassidy   maintains Northern Trust (NASDAQ:NTRS) with a Outperform and raises the price target from $159 to $178.,https://finnhub.io/api/news?id=7399203f98775a6d14d212545c9defdf05991504adfa10d70c10cabee5338f6f
company,1776850356,These Analysts Increase Their Forecasts On Northern Trust After Strong Q1 Earnings,139848801,https://cdn.benzinga.com/files/images/story/2026/04/22/Financial-Analysts.jpeg?width=2048&height=1536,NTRS,Benzinga,"Northern Trust (NASDAQ: NTRS) beats Q1 expectations with $2.71 adjusted EPS and $2.206B sales. Analysts raise price targets, stock closes at $171.74.",https://finnhub.io/api/news?id=def434c496c527bf877a42b3b31a7bcf59d84f471c773ac568a502f1b3a07881
company,1776849890,"Barclays Maintains Equal-Weight on Northern Trust, Raises Price Target to $176",139848802,,NTRS,Benzinga,Barclays  analyst Jason Goldberg   maintains Northern Trust (NASDAQ:NTRS) with a Equal-Weight and raises the price target from $160 to $176.,https://finnhub.io/api/news?id=273ef86faa65e3e186a944159271c7440502c0d242165a3a43ab318b17642e14
company,1776846051,"Truist Securities Maintains Hold on Northern Trust, Raises Price Target to $176",139848803,,NTRS,Benzinga,Truist Securities  analyst David Smith   maintains Northern Trust (NASDAQ:NTRS) with a Hold and raises the price target from $155 to $176.,https://finnhub.io/api/news?id=9233e1aeae801d79f5e40ad1156576f0eee7b35f52dde39e16803c1e3468a184
company,1776841353,Northern Trust Corp (NTRS) Q1 2026 Earnings Call Highlights: Strong Revenue Growth and ...,139845274,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,"Northern Trust Corp (NTRS) reports a robust 14% increase in total revenue and a 43% rise in EPS, while focusing on strategic growth and shareholder returns.",https://finnhub.io/api/news?id=d1cbcb4a7d2fd35dc06b33a19a37a6d1652ccdc12a9cc40aa5607b307785c540
company,1776823071,Why Are Northern Trust (NTRS) Shares Soaring Today,139843891,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,Shares of financial services company Northern Trust (NASDAQ:NTRS) jumped 7.6% in the afternoon session after the company reported strong first-quarter 2026 financial results that surpassed analyst estimates.,https://finnhub.io/api/news?id=50a6436c554b87455d71456d00debc2a6772527501ae8136689f17c31fd2fc05
