category,datetime,headline,id,image,related,source,summary,url
company,1776890800,NVR (NYSE:NVR) Reports Sales Below Analyst Estimates In Q1 CY2026 Earnings,139854843,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVR,Yahoo,"Homebuilder NVR (NYSE:NVR) missed Wall Street’s revenue expectations in Q1 CY2026, with sales falling 21.7% year on year to $1.88 billion. Its non-GAAP profit of $67.76 per share was 14.4% below analysts’ consensus estimates.",https://finnhub.io/api/news?id=40a1f2918e2dbfb9a98e143031a86fb0af0e9789466d274651f7d722084ca6b4
company,1776867688,NVR INC (NYSE:NVR) Reports Q1 2026 Earnings Miss Amid Housing Market Pressures,139849031,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,NVR,ChartMill,"NVR Inc. reports Q1 2026 earnings miss, with revenue and profit falling sharply year-over-year amid ongoing housing market pressures.",https://finnhub.io/api/news?id=765d6201615524573cb5f86d37a18816cb6637465c91017ea252fc5524a76a38
company,1776867500,NVR hit by rising rates and costs in Q1,139852124,,NVR,Finnhub,"US homebuilder NVR reported a sharp decline in its Q1 performance, amid a backdrop of high interest rates and rising raw materials costs. These factors, combined with tariffs and persistent inflation,...",https://finnhub.io/api/news?id=bf708d2d4eb81d4e46c81c3f910d67bcf39adf9cf1e696d9f1dfac823654d42b
company,1776867001,NVR (NVR) Misses Q1 Earnings and Revenue Estimates,139851972,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVR,Yahoo,"NVR (NVR) delivered earnings and revenue surprises of -13.41% and -7.93%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=05e2c2194f3f48f5822c2fbb054bab0825809272ccbe5ac4a0f2a345a7e7792b
company,1776866232,"Nasdaq 100 Tops Records As Iran Ceasefire Extends, GE Vernova Soars 13%: Stock Market Today",139851940,https://cdn.benzinga.com/files/images/story/2026/04/22/3d-Render-Closeup-Of-Computer-Keyboard-W.jpeg?width=2048&height=1536,NVR,Benzinga,"Tech stocks brushed new record highs during midday Wednesday, as a fresh wave of blockbuster corporate earnings propelled mega-cap technology and speculative names higher. ",https://finnhub.io/api/news?id=57808e97307dbffd0e07df952b05a5abba22debcbc30e267ce503ca1b7def584
company,1776862800,"NVR, INC. ANNOUNCES FIRST QUARTER RESULTS",139848743,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NVR,Yahoo,"NVR, Inc. (NYSE: NVR), one of the nation's largest homebuilding and mortgage banking companies, announced net income for its first quarter ended March 31, 2026 of $198.4 million, or $67.76 per diluted share. Net income and diluted earnings per share for the first quarter ended March 31, 2026 decreased 34% and 29%, respectively, when compared to 2025 first quarter net income of $299.6 million, or $94.83 per diluted share. Consolidated revenues for the first quarter of 2026 totaled $1.88 billion,",https://finnhub.io/api/news?id=6803936815d9cff6a31513f37dc83d91050cbff6a9027abdfed92ce0900b5d56
company,1776857760,"NVR, Inc. Reports Earnings Results for the First Quarter Ended March 31, 2026",139849529,,NVR,Finnhub,"NVR, Inc. reported earnings results for the first quarter ended March 31, 2026. For the first quarter, the company reported net income was USD 198.36 million compared to USD 299.58 million a year ago....",https://finnhub.io/api/news?id=1e6720fdd1d4188f4ecd14d665ed6a84937066335fa299bc1ba9503203498222
company,1776852240,"NVR first-quarter profit falls as tariffs, rates squeeze homebuilders",139848734,,NVR,Finnhub,"NVR on Wednesday posted a fall in first-quarter profit and revenue as rising costs, compounded by economic uncertainty, kept prospective buyers on the sidelines. Shares of the Reston,...",https://finnhub.io/api/news?id=c5015a522ba0b84e589828a775b0305a697b57bae2ba3e2bab8cf47463a8cadf
company,1776851949,NVR: Q1 Earnings Snapshot,139848267,,NVR,Finnhub,"RESTON, Va. — RESTON, Va. — NVR Inc. on Wednesday reported first-quarter net income of $198.4 million. The Reston, Virginia-based company said it had profit of $67.76 per share. The results...",https://finnhub.io/api/news?id=27fa64b3996e3674dbe8f0197779ac191c46233255e98476e6abd8544d6c90fd
company,1776849329,NVR shares are trading lower after the company reported worse-than-expected Q1 financial results.,139850207,,NVR,Benzinga,,https://finnhub.io/api/news?id=2877b954b44b720180536c7aa926e89142a6d439f488276dd366c30cd2537c07
company,1776848724,"NVR Q1 EPS $67.76 Misses $79.53 Estimate, Sales $1.835B Miss $2.069B Estimate",139850208,,NVR,Benzinga,NVR (NYSE:NVR) reported quarterly earnings of $67.76 per share which missed the analyst consensus estimate of $79.53 by 14.8 percent. This is a 28.55 percent decrease over earnings of $94.83 per share from the same,https://finnhub.io/api/news?id=37f022c3329d2bb150d19143685883ebc201077e806fe3c804849921e212d552
