category,datetime,headline,id,image,related,source,summary,url
company,1776900285,Otis (OTIS) Q2 2025 Earnings Call Transcript,139855949,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OTIS,Yahoo,"Judith Marks: Thank you, Rob.  Otis delivered solid second quarter and first half results as the Service segment continued to drive strong performance with both a year-over-year and a sequential operating profit margin improvement.  Organic Service sales in the second quarter were up 4%, with growth across all business lines and in all regions.",https://finnhub.io/api/news?id=e2d3ec00baa7debb7871d629f8cf89e2789257f7ed0324de014f7b9e0a3c5c61
company,1776898928,Otis Worldwide Corporation 2026 Q1 - Results - Earnings Call Presentation,139857224,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,OTIS,SeekingAlpha,2026-04-22. The following slide deck was published by Otis Worldwide Corporation in conjunction with their 2026 Q1 earnings call.,https://finnhub.io/api/news?id=54ed2ddc52b531f0d8e5431f9f47167d365575c2e5b8efa01d1ad16d5366567f
company,1776877800,"Otis Worldwide Q1 Earnings Fall Short of Estimates, Sales Beat",139858301,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OTIS,Yahoo,"OTIS' Q1 results show Service repair strength and modernization orders, but tariffs, investments and Middle East delays squeeze margins.",https://finnhub.io/api/news?id=28df89ab02e6c0f136f0de790b8afd1684f7fc404cf4a9dff2b97568c6a50c8d
company,1776876417,Otis Worldwide Corporation Q1 2026 Earnings Call Summary,139851876,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OTIS,Yahoo,Moby summary of Otis Worldwide Corporation's Q1 2026 earnings call,https://finnhub.io/api/news?id=55c580f3de10b6566e3661295b7001a6f99def1fc250c52b3ed09be409631cae
company,1776874898,One new clue that Nvidia's Jensen Huang and TSMC are right about AI demand strength,139851474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OTIS,Yahoo,Another bullish sign on AI demand.,https://finnhub.io/api/news?id=5682b8f055f79e8989b30ca0b3c30120d3141cc91b17b79c816119b696f17793
company,1776873197,Otis (OTIS) Q3 2025 Earnings Call Transcript,139850035,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OTIS,Yahoo,"Judith Marks: Thank you, Rob.  Otis delivered strong third quarter results and returned to growth, as we executed well on our service-driven business model.  Organic sales in the quarter were up 2%, driven by Service, which grew 6%.",https://finnhub.io/api/news?id=e0cc07e206288c40f444b8fdf63667def01b740d2ae9c6e6cbddea54b3883b65
company,1776870916,Otis (OTIS) Q1 2026 Earnings Call Transcript,139850036,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OTIS,Yahoo,"Judith Marks: Thank you, Rob.  Otis delivered a solid start to the year in orders and sales with continued demand momentum that provides visibility for future growth, especially in our Service segment.  Total organic sales increased 1% in the quarter driven by organic service growth of 5%, with broad-based strength across all service lines of business.",https://finnhub.io/api/news?id=73cc0ade088fb0d30c07cb226c1d5b339ea64a45aaf7bceb2d103165b90130f5
company,1776865853,Otis Worldwide Corporation Revises Earnings Guidance for the Full Year 2026,139851433,,OTIS,Finnhub,"Otis Worldwide Corporation revised earnings guidance for the full year 2026. For the year, the company expects net sales of $15.1 billion to $15.3 billion....",https://finnhub.io/api/news?id=feff4d872258d1d4a57f95be2e6a84a8eec219d5c9237cef02453bf161551b8a
company,1776864605,Otis Worldwide (OTIS) Reports Q1 Earnings: What Key Metrics Have to Say,139850037,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OTIS,Yahoo,"Although the revenue and EPS for Otis Worldwide (OTIS) give a sense of how its business performed in the quarter ended March 2026, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=7ea37f15aba17bc3d17dcaf049d3def805c44c7cc1a90ee01475aa53c73962f2
company,1776863438,Otis Worldwide Corporation (OTIS) Q1 2026 Earnings Call Transcript,139850756,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,OTIS,SeekingAlpha,"Otis Worldwide Corporation (OTIS) Q1 2026 Earnings Call April 22, 2026 8:30 AM EDTCompany ParticipantsRobert Quartaro - Vice President of Investor...",https://finnhub.io/api/news?id=891682cad02bcb5ae4eaf4074b5677f43b3e058d2e40243e82cee76bc950c1dd
