category,datetime,headline,id,image,related,source,summary,url
company,1776900042,Packaging Corp of America (NYSE:PKG) Reports Q1 2026 Earnings Beat Despite Revenue Miss,139855667,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,PKG,ChartMill,"Packaging Corp. of America (PKG) Q1 2026 earnings beat estimates, but revenue fell short. Strong packaging segment offsets acquisition costs. Q2 guidance is below analyst expectations.",https://finnhub.io/api/news?id=e86a1ff589f9a58cd34012dc7090fd60a6c6d0e9f5c0592903d8696b93f214ca
company,1776898805,Packaging Corp. (PKG) Q1 Earnings Top Estimates,139858316,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PKG,Yahoo,"Packaging Corp. (PKG) delivered earnings and revenue surprises of +10.70% and -1.85%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=0ef40ae5486f8857f7bb0350031064d3d92308abd86b04926ec94f613f39a809
company,1776897002,Packaging Corp. (PKG) Reports Q1 Earnings: What Key Metrics Have to Say,139855959,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PKG,Yahoo,"While the top- and bottom-line numbers for Packaging Corp. (PKG) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=34b760e89e213a1aff6c8c8bb9ede25b899311767e604eafbc7482f22fd7f85a
company,1776895526,"Packaging Corporation of America Reports Earnings Results for the First Quarter Ended March 31, 2026",139856871,,PKG,Finnhub,"Packaging Corporation of America reported earnings results for the first quarter ended March 31, 2026. For the first quarter, the company reported sales was USD 2,367.8 million compared to USD 2,141...",https://finnhub.io/api/news?id=9c1ff472076557f62a76ae382068353f1a438f5d05eb225a0131f128d9a09085
company,1776892241,Packaging Corporation of America (NYSE:PKG) Misses Q1 CY2026 Sales Expectations,139854844,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PKG,Yahoo,"Packaging Corporation of America (NYSE:PKG) fell short of the market’s revenue expectations in Q1 CY2026, but sales rose 10.6% year on year to $2.37 billion. Its GAAP profit of $1.91 per share was 9.4% below analysts’ consensus estimates.",https://finnhub.io/api/news?id=d7dac7e8763d8a4a44427e646110adfd973f67f5ff7e7d658d0666661169fca5
company,1776891120,Packaging Corporation of America Reports First Quarter 2026 Results,139854845,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PKG,Yahoo,"LAKE FOREST, Ill., April 22, 2026--Packaging Corporation of America (NYSE: PKG) today reported first quarter 2026 net income of $171 million, or $1.91 per share, and net income of $215 million, or $2.40 per share, excluding special items. First quarter net sales were $2.4 billion in 2026 and $2.1 billion in 2025.",https://finnhub.io/api/news?id=abccaa6683433b61215dab40b98c3634ef263c23ea9535c420574e6256be44c2
company,1776884717,"Packaging Corp posts higher quarterly profit on strong pricing power, operational efficiency",139855878,,PKG,Finnhub,"Packaging Corp of America reported higher quarterly profit on Wednesday, helped by price increases in its paper and packaging segments and lower operating costs. The packaging business...",https://finnhub.io/api/news?id=75fd9fa7240dfe50d558583518c16db8189248abefe41d8c39b4511f66f3afad
company,1776879572,Packaging Corp of America Sees Q2 Adj EPS $2.33 vs $2.50 Est,139863286,,PKG,Benzinga,Packaging Corp of America (NYSE:PKG) is looking for Q2 Adj EPS of $2.33 vs $2.50 analyst estimate..,https://finnhub.io/api/news?id=94c94b36b023c3933fcab336c06c496a4279223adb78255c0a3d4ae1b828f420
company,1776877179,"Packaging Corp of America Q1 Adj. EPS $2.40 Beats $2.13 Estimate, Sales $2.368B Miss $2.417B Estimate",139863287,,PKG,Benzinga,Packaging Corp of America (NYSE:PKG) reported quarterly earnings of $2.40 per share which beat the analyst consensus estimate of $2.13 by 12.68 percent. This is a 3.9 percent increase over earnings of $2.31 per share,https://finnhub.io/api/news?id=45ee22e71dccf458de50522baa6c36a24599ecc5a09ed6de41b33b4bb57e0016
company,1776868376,"Shares of paper and packaging-related companies are trading lower amid possible sympathy with Sonoco, which reported Q1 financial results and on its earnings call cited input cost inflation and raising wholesale prices for customers due to multiple factors.",139852407,,PKG,Benzinga,,https://finnhub.io/api/news?id=b52bcc0ea368cd78f4d4a762e300a5abb8db43cbcda2b479f496d66a2670c2ac
company,1776841880,"Earnings Scheduled For April 22, 2026",139848781,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,PKG,Benzinga, ,https://finnhub.io/api/news?id=1e7158ea851d7890fc286fd70d8458d9ebfd7cdbe7070895fd31cf56e6a850e9
