category,datetime,headline,id,image,related,source,summary,url
company,1776887773,Sector Update: Financial Stocks Decline Late Afternoon,139853175,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PRU,Yahoo,"Financial stocks were lower late Wednesday afternoon, with the NYSE Financial Index decreasing 0.5%",https://finnhub.io/api/news?id=c02478ef0b00ce8ea785e1eb0ff12cdae64196c7f863eebb4a52abbff1941c19
company,1776884731,Prudential Japan Sales Freeze Tests 2026 Earnings And Valuation Case,139853176,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PRU,Yahoo,"Prudential Financial (NYSE:PRU) has extended the suspension of new sales at its Japanese subsidiary by 180 days. The pause follows an ongoing investigation into misconduct in Japan. The company has warned that the suspension could have a material impact on operating income in 2026. For investors watching NYSE:PRU, Japan is an important market within Prudential Financial's broader life insurance and retirement services franchise. The extended halt in new sales adds an operational and...",https://finnhub.io/api/news?id=0a56efd75d3cb9975c42efcda1679fb8f9dc564b42addf6c051cae7df814dcb4
company,1776883894,Barclays Downgrades Prudential Financial (PRU),139852740,,PRU,Fintel,,https://finnhub.io/api/news?id=351329ab8c276506ce31768dc8e9e68c0158dda48495fac9558565077455702c
company,1776874800,Prudential Stock Slumps. A Misconduct Probe in Japan Is Getting ‘Ugly.’,139851826,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PRU,Yahoo,The insurer’s CEO warned of an expected $525 million to $575 million hit to 2026 operating income after the firm’s Japan affiliate voluntarily extended a suspension of new sales,https://finnhub.io/api/news?id=5f7e680aec876b44dd8731b7312a24995e128470f81bc08ef9b0dc0df6390ee6
company,1776870122,"Jefferies Downgrades Prudential Financial to Hold, Lowers Price Target to $98",139854172,,PRU,Benzinga,Jefferies  analyst Suneet Kamath   downgrades Prudential Financial (NYSE:PRU) from Buy to Hold and lowers the price target from $124 to $98.,https://finnhub.io/api/news?id=03d65d517345bcb26eae31cb03a4669fe3ca5f5663de9dce7e0d07aa8b142221
company,1776864907,"Airbnb upgraded, Zscaler downgraded: Wall Street's top analyst calls",139848287,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PRU,Yahoo,"Airbnb upgraded, Zscaler downgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=272e7a6098ebd7fbb6bf854362273b58af3a077e1518ddcdf442288e59af7132
company,1776861303,Wondering what's happening in today's S&P500  pre-market session?,139847799,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,PRU,ChartMill,Curious about the S&P500 stocks that are showing activity before the opening bell on Wednesday?,https://finnhub.io/api/news?id=a6d1d9eb478dead03b6d6f81afad8ec248be8d7db19c4d28ee7242dae930358f
company,1776859121,"Here Are Wednesday’s Top Wall Street Analyst Research Calls: Abbott Laboratories, Airbnb, Biogen, Cava Group, GitLab, Halliburton, Qualcomm, Seagate, Toast, and More",139847458,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PRU,Yahoo,"Pre-Market Stock Futures: Futures are trading higher as we hit the midweek point. All major indices finished lower on Tuesday as the deadline for the ceasefire approached, amid threats to cancel talks between Iran and the United States. While the President did extend the ceasefire again, this time indefinitely, citing the “fractured government in Iran”, ... Here Are Wednesday’s Top Wall Street Analyst Research Calls: Abbott Laboratories, Airbnb, Biogen, Cava Group, GitLab, Halliburton, Qualcomm,",https://finnhub.io/api/news?id=706aa45e7b0464a6513ece8629400b9b9b2dbc74d407f4005651a1f7ceb3e29c
company,1776855240,Stock Markets Must Play a Waiting Game Amid Iran and Fed Standoffs,139847336,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PRU,Yahoo,"Iran war weighs on forecasts, Prudential outlines financial hit in Japan, Warsh asserts independence from Trump, and more news to start your day.",https://finnhub.io/api/news?id=66f524c8072211ac8411d84ecfa2061cb1c88d6652bc903de2aa136d6a0d003d
company,1776848072,"Piper Sandler Maintains Neutral on Prudential Financial, Lowers Price Target to $99",139854173,,PRU,Benzinga,Piper Sandler  analyst John Barnidge   maintains Prudential Financial (NYSE:PRU) with a Neutral and lowers the price target from $105 to $99.,https://finnhub.io/api/news?id=3a01c785f313218c016c476bf8b638057c3d6401f22f7d2630e0137c840a7ca7
