category,datetime,headline,id,image,related,source,summary,url
company,1776894309,Rollins (ROL) Q1 Earnings Match Estimates,139858323,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROL,Yahoo,"Rollins (ROL) delivered earnings and revenue surprises of +1.22% and +1.27%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=b97f6bafd78cd6e82aa36cf8fe8238b8f827e741aacbed921fa178ea5ad413cc
company,1776891045,Rollins (NYSE:ROL) Posts Better-Than-Expected Sales In Q1 CY2026,139854858,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROL,Yahoo,"Pest control company Rollins (NYSE:ROL) reported Q1 CY2026 results beating Wall Street’s revenue expectations, with sales up 10.2% year on year to $906.4 million. Its non-GAAP profit of $0.24 per share was in line with analysts’ consensus estimates.",https://finnhub.io/api/news?id=b344e7e3c383bdfd1ff21c33736b4ab6099aeacbf21f746e46e126142c728815
company,1776888300,"ROLLINS, INC. REPORTS FIRST QUARTER 2026 FINANCIAL RESULTS",139854859,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROL,Yahoo,"Rollins, Inc. (NYSE: ROL) (""Rollins"" or the ""Company""), a premier global consumer and commercial services company, reported unaudited financial results for the first quarter of 2026.",https://finnhub.io/api/news?id=fe344f9262f1ed4c84505c5755205f154b34756abb0a46787cb268aa0bf3ea86
company,1776879855,Rollins beats first-quarter estimates on demand for pest control services,139854460,,ROL,Finnhub,"Rollins beat Wall Streetestimates for first-quarter revenue and earnings on Wednesday,benefiting from robust demand for its pest control services. * The company said it benefited from...",https://finnhub.io/api/news?id=a1a9b5ce3cd61a2151f49706dfad833a0bbe76661e3dcf7e694046ad0e2846eb
company,1776874511,Rollins: Q1 Earnings Snapshot,139853435,,ROL,Finnhub,"ATLANTA — ATLANTA — Rollins Inc. on Wednesday reported first-quarter profit of $107.8 million. On a per-share basis, the Atlanta-based company said it had net income of 22 cents. Earnings,...",https://finnhub.io/api/news?id=3e7ba6fc8a4a1599bb4a2dd1342d7cd916bf7d4fd96a78ae33f4e179a1bb49bc
company,1776874034,"Rollins Q1 Adj. EPS $0.24, Inline, Sales $906.424M Beat $894.622M Estimate",139869155,,ROL,Benzinga,Rollins (NYSE:ROL) reported quarterly earnings of $0.24 per share which met the analyst consensus estimate. This is a 9.09 percent increase over earnings of $0.22 per share from the same period last year.  The company,https://finnhub.io/api/news?id=1d0864a72a8063cee499152e2fba66f4727f77af124f8eb9977f3e86f9f52790
company,1776872731,Rollins (ROL) Q3 2025 Earnings Transcript,139850102,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROL,Yahoo,"Jerry Gahlhoff: Thank you, Lyndsey.  Overall, we continue to see solid growth across all major service lines with total revenue growth of 12% and organic growth of 7.2%.  As you know, we believe in the combination of Orkin, and our strong group of regional brands is a competitive differentiator for Rollins, giving us multiple bites at the apple with potential customers while also providing some balance and diversification with respect to customer acquisition.",https://finnhub.io/api/news?id=27b4793b2e1d658dae33ed0c3035d5d6be7863f0282e7a062216a805d613445d
company,1776865846,"Rollins, Inc. Announces Regular Quarterly Cash Dividend, Payable June 10, 2026",139851434,,ROL,Finnhub,"Rollins, Inc. announced that the Board of Directors declared a regular quarterly cash dividend on its common stock of $0.1825 per share payable June 10, 2026 to shareholders of record at the close of...",https://finnhub.io/api/news?id=e120f8a693385827611a5ad93ce664d37e6c3537113e21640577005756a69477
company,1776861000,"ROLLINS, INC. ANNOUNCES REGULAR QUARTERLY CASH DIVIDEND",139848752,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROL,Yahoo,"Rollins, Inc. (NYSE: ROL), a premier global consumer and commercial services company, announced that the Board of Directors declared a regular quarterly cash dividend on its common stock of $0.1825 per share payable June 10, 2026 to shareholders of record at the close of business on May 11, 2026.",https://finnhub.io/api/news?id=8fe73768bdd93d9e997e8eac4c761c38d53a175fe6343b25bccf52c4e6bd6559
company,1776841880,"Earnings Scheduled For April 22, 2026",139848781,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,ROL,Benzinga, ,https://finnhub.io/api/news?id=1e7158ea851d7890fc286fd70d8458d9ebfd7cdbe7070895fd31cf56e6a850e9
company,1776823870,"FTC Orders Rollins, Inc. To Void Employee Non-Competes, Signaling Broader Crackdown",139844563,,ROL,Finnhub,Key TakeawaysThe FTC has not abandoned its focus on non-compete agreements.The FTC is actively pursuing overly broad non-compete agreements as potential violations of federal competition law...,https://finnhub.io/api/news?id=1904d6acc763f83ca4c570f383804007f3d9e34320c6ddf720818ddf6d9f4024
