category,datetime,headline,id,image,related,source,summary,url
company,1776890743,Teledyne Technologies Incorporated Q1 2026 Earnings Call Summary,139854826,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,Moby summary of Teledyne Technologies Incorporated's Q1 2026 earnings call,https://finnhub.io/api/news?id=f86b7a3f8c459df3877ef352387565f86396c2ab575960128de35fedfd29c92f
company,1776873042,Teledyne Technologies Incorporated (TDY) Q1 2026 Earnings Call Transcript,139853010,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,TDY,SeekingAlpha,"Teledyne Technologies Incorporated (TDY) Q1 2026 Earnings Call April 22, 2026 11:00 AM EDTCompany ParticipantsJason VanWees - Vice ChairmanRobert Mehrabian...",https://finnhub.io/api/news?id=a8902d0075e5f65a68f5d6496cc1ca375781ca7ce6cd0c65c9e424fa137d5f03
company,1776872609,Teledyne (TDY) Q1 2025 Earnings Call Transcript,139850051,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"Robert Mehrabian: Thank you, Jason, and good morning, everyone, and thank you for joining our earnings call.  Furthermore, non-GAAP earnings per share and GAAP earnings per share and operating -- non-GAAP operating margin were also a record for any first quarter.",https://finnhub.io/api/news?id=2d110eabf68977c387f7e11b464baf0fc6b69bf77cc6efd9726f98e5c44c160c
company,1776870720,"Teledyne's Q1 Earnings & Revenues Beat Estimates, '26 EPS View Raised",139851718,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,TDY beats Q1 estimates as sales rise 7.6% to $1.56B and EPS climbs 17%. The company also lifts its full-year 2026 adjusted EPS outlook.,https://finnhub.io/api/news?id=03d885c9b88aed5d635eb1f44354fb0b593039f76767d0e2bbaf597653252ea2
company,1776866580,"$3.85 Bn Unmanned Surface Vehicles Market Global Forecast to 2036: Maritime Security Demand, Autonomous Survey Expansion and Advanced Surveillance Technologies Bolster Growth",139850052,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"The global unmanned surface vehicles (USV) market is set to soar, reaching approximately USD 3.85 billion by 2036, growing at a CAGR of 11.8% from USD 1.22 billion in 2026. An in-depth report highlights trends, market sizes, and forecasts for five key regions. Key growth drivers include heightened maritime security, advanced autonomous capabilities, and economic surveillance solutions. North America leads due to significant naval investments, with Asia-Pacific poised for the fastest growth. The",https://finnhub.io/api/news?id=afc16a5687d7d63080fb2dd44bf36740a82c4bf19a29e666ad5109e3910a01ff
company,1776865839,Teledyne Technologies Incorporated (TDY) Shareholder/Analyst Call Prepared Remarks Transcript,139851540,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,TDY,SeekingAlpha,"Teledyne Technologies Incorporated (TDY) Shareholder/Analyst Call April 22, 2026 12:15 PM EDTCompany ParticipantsRobert Mehrabian - Executive...",https://finnhub.io/api/news?id=fa6a2b65a5b394d8da6449c355d315c658e3af1eae3a7dad5a58a5af2ec50631
company,1776863116,Transcript : Teledyne Technologies Incorporated - Shareholder/Analyst Call,139850696,,TDY,Finnhub,"Presentation Operator MessageOperator Hello, and welcome to the 2026 Annual Meeting of Stockholders of Teledyne Technologies, Inc. Please note that today's meeting is being recorded. [Operator...",https://finnhub.io/api/news?id=894987e9e04a26f19ff5785f4a8cd67dbccad9ee0ef8962ef4d282d265c7192f
company,1776862236,"Transcript : Teledyne Technologies Incorporated, Q1 2026 Earnings Call, Apr 22, 2026",139850539,,TDY,Finnhub,"Presentation Operator MessageOperator Welcome to Teledyne's First Quarter Earnings Call. I would now like to introduce our first speaker, Mr. Jason VanWees. Jason, please go ahead.Presenter...",https://finnhub.io/api/news?id=ffbd8fa447b8eb64d417fc4e86a708bf5c51a4a5606ea546b9895b810bb44664
company,1776859503,Teledyne Technologies (TDY) Q1 Earnings and Revenues Top Estimates,139850053,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"Teledyne (TDY) delivered earnings and revenue surprises of +5.94% and +3.32%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=112d7d8264b0881a4b213ef9489502574f7d18b9e55f5fa37ba6a3de72b164fc
company,1776858553,"Teledyne lifts annual profit forecast, beats quarterly estimates",139847360,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"Teledyne Technologies on Wednesday raised its profit forecast for full-year 2026, as ‌the sensing systems maker continues to benefit ‌from robust demand across its digital imaging, instrumentation, and aerospace ​and defense segments. Teledyne continues to benefit from elevated demand for defense and surveillance equipment amid heightened geopolitical tensions, and the company noted further boost to ‌its top-line from ⁠revenue added from recent acquisitions. ""Organic growth was strongest in our Digital Imaging segment, ⁠where infrared detectors and systems for space, airborne, marine and land applications, as well as complete ​unmanned aerial ​systems contributed significantly,"" said ​CEO Ro...",https://finnhub.io/api/news?id=d22662e7c8fb107a6b704f74b633a93b876c263f08ce45ddae3be1a6931e5703
