category,datetime,headline,id,image,related,source,summary,url
company,1776899065,TE Connectivity Weighs Geopolitical Risks And Pricing Power After Earnings Beat,139855917,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TEL,Yahoo,"TE Connectivity (NYSE:TEL) reported fiscal Q2 results that exceeded analyst estimates. CEO Terrence Curtin highlighted that ongoing conflict in the Middle East could disrupt supply chains and lift material costs. The company may pass higher input costs on to customers through potential price increases. TE Connectivity, a major supplier of connectors and sensors for automotive, industrial and communications applications, now has more than just earnings to watch. The company sits at the heart...",https://finnhub.io/api/news?id=263800aca7b79bca6355d0d9e54b6f96af2adde93ea1a26864f599779f262437
company,1776890719,TE Connectivity Ltd. Q2 2026 Earnings Call Summary,139854781,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TEL,Yahoo,Moby summary of TE Connectivity Ltd.'s Q2 2026 earnings call,https://finnhub.io/api/news?id=b0c0f3b09f1faef7302c35f60a27d9fab214219b032dae74c9ff2c9dfdf0e7b9
company,1776884704,Discover which S&P500 stocks are making waves on Wednesday.,139852553,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,TEL,ChartMill,Let's have a look at what is happening on the US markets one hour before the close of the markets on Wednesday. Below you can find the top S&P500 gainers and losers in today's session.,https://finnhub.io/api/news?id=ae80157d188281be0d515ccfa1f94e57052986ccba514a7b6434cba8d0c774b1
company,1776877503,"In today's session, there are S&P500 stocks with remarkable trading volume.",139850747,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,TEL,ChartMill,Let's have a look at the S&P500 stocks with an unusual volume in today's session.,https://finnhub.io/api/news?id=662f352c79252c2a8220e2ed25faf16cc72f7be0fdd40c6ed4f535693914a4d7
company,1776875704,Uncover the latest developments among S&P500 stocks in today's session.,139850503,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,TEL,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=526c71e3929bbd0fab61d1248ed1e659a0daabac3594bfbbf574960aa83cc081
company,1776873480,TEL Q2 Earnings Beat Estimates on Record Orders & Margin Gains,139858216,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TEL,Yahoo,TE Connectivity tops fiscal Q2 estimates as sales rose 14.5% and orders hit a record $5.3B; fiscal Q3 guidance calls for roughly $5B sales and $2.83 EPS.,https://finnhub.io/api/news?id=d672c42daec8df66cac096869e0dfeefd5bef8d993ca18aafa04d29c857526f2
company,1776868504,Wednesday's session: gap up and gap down stock in the S&P500 index,139849128,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,TEL,ChartMill,Let's take a look at the S&P500 stocks that are experiencing notable price gaps in today's session on Wednesday. Discover the gap up and gap down stocks in the S&P500 index.,https://finnhub.io/api/news?id=acd9e9d4b45abeab373d483c83479a05ae07393509fcbb21bc96746baa5f85b4
company,1776867636,TE Connectivity plc (TEL) Q2 2026 Earnings Call Transcript,139852163,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,TEL,SeekingAlpha,"TE Connectivity plc (TEL) Q2 2026 Earnings Call April 22, 2026 8:30 AM EDTCompany ParticipantsSujal Shah - Vice President of Investor RelationsTerrence...",https://finnhub.io/api/news?id=e5e9eb4b6fea966da61075c972afaced31938a8ce2f50f536b92110d1fab241a
company,1776864602,TE Connectivity (TEL) Q2 Earnings: How Key Metrics Compare to Wall Street Estimates,139849958,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TEL,Yahoo,"The headline numbers for TE Connectivity (TEL) give insight into how the company performed in the quarter ended March 2026, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=7cfb401a9e4a665f1e08f316747254fe60d7d927e2fff7ca762f8aa60c84801b
company,1776864082,"Te Connectivity plc Provides Earnings Guidance for the Third Quarter Ending June 26, 2026",139850827,,TEL,Finnhub,"TE Connectivity plc provided earnings guidance for the Third Quarter ending June 26, 2026. For the quarter, the company expects sales of approximately $5 billion, an increase of 10% on a reported...",https://finnhub.io/api/news?id=fbf709a69346d7335063d33623f52295d775b297f4d01406c4e3cd5c08c751bc
company,1776863702,TE Connectivity Ltd. (TEL) Hits Fresh High: Is There Still Room to Run?,139849959,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TEL,Yahoo,"TE Connectivity (TEL) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.",https://finnhub.io/api/news?id=2b762a023eea547190fe5f436c3b5a8ca825da424ee495760d7d29fd0108b3fb
