category,datetime,headline,id,image,related,source,summary,url
company,1776894455,"Stock Market Today, April 22: AT&T Edges Upwards on Mixed Earnings",139854717,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,"Today, April 22, 2026, investors weigh a Q1 revenue beat against the telecom giant's disappointing wireless revenue.",https://finnhub.io/api/news?id=921d1d49bff626b2ea3e8e6ac31f903745006fe2d9f7ea1bb9ecfecc0b103c82
company,1776884704,Discover which S&P500 stocks are making waves on Wednesday.,139852553,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,TMUS,ChartMill,Let's have a look at what is happening on the US markets one hour before the close of the markets on Wednesday. Below you can find the top S&P500 gainers and losers in today's session.,https://finnhub.io/api/news?id=ae80157d188281be0d515ccfa1f94e57052986ccba514a7b6434cba8d0c774b1
company,1776879855,Explainer-How Deutsche Telecom and T-Mobile US could pull off the world's biggest M&A deal,139851731,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,"Deutsche Telekom is exploring a possible tie-up with T-Mobile US to create a $300 billion telecoms giant, sources said, in what would overtake Vodafone-Mannesmann's $203 billion merger in 1999 to become the biggest M&A deal ever.  A merger would provide scale to compete in both the U.S. and Europe but could also face structural, geopolitical ​and regulatory challenges, analysts and one industry source said.  Deutsche Telekom and T-Mobile US declined a Reuters request for comment.",https://finnhub.io/api/news?id=9770d77b36e712520611f5e8e7d8f7ffa45b76716bb49fb54c944292f7704bd4
company,1776877708,AT&T Falls On Wireless Subscriber 'Churn' Worries. T-Mobile Drops On Deutsche Telekom.,139851656,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,AT&T earnings topped Q1 estimates while revenue met views. Wireless postpaid phone subscriber additions beat.,https://finnhub.io/api/news?id=a1a20e173e992331e3b9d1cade263cc9d56316062f8ebaa1dfa8502189bb017f
company,1776875704,Uncover the latest developments among S&P500 stocks in today's session.,139850503,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,TMUS,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=526c71e3929bbd0fab61d1248ed1e659a0daabac3594bfbbf574960aa83cc081
company,1776874632,Trump Media CEO’s Exit Caps a 90% Drop as MAGA Stocks Stumble,139851733,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,"(Bloomberg) -- Truth Social has rarely been more important on Wall Street, where traders hang on White House posts that can send the market tumbling or soaring back up again. The company’s stock, though, is much less in vogue. Most Read from BloombergAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitTrump Encourages Companies Not to Seek Tariff RefundsTrump Extends Iran Ceasefire, Keeps Blockade as Talk",https://finnhub.io/api/news?id=3ea43d486e8fc84745c9781b96f9d64b2f41a02d40414a29d9245c1dd68e4a3a
company,1776872874,European Stocks Trend Lower in Wednesday Trading as Strait of Hormuz Remains Closed,139849933,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,European stock markets were tracking lower and oil prices surged in Wednesday trading as the Strait,https://finnhub.io/api/news?id=a7f30af415e0262403cb79e017299d636508691142d79ff21ce122da593a1b13
company,1776858312,"AT&T Earnings Top Views, Revenue In-Line Amid 'Convergence' Push",139847190,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,AT&T earnings topped Q1 estimates while revenue met views. Wireless postpaid phone subscriber additions beat.,https://finnhub.io/api/news?id=51eb444dff468e1ecd175c23debee6259228c723e1168fed026f2ced0cb4e9ec
company,1776868663,Deutsche Telekom Wants the Whole T-Mobile Story,139849935,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,"Europe’s biggest telecom group is weighing a full combination with T-Mobile U.S., in a move that could reshape the sector.",https://finnhub.io/api/news?id=971420da927cab2ef019f2fc6eb4def34509c6f9ffe6051b3be1cdb308ea86dc
company,1776868504,Wednesday's session: gap up and gap down stock in the S&P500 index,139849128,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,TMUS,ChartMill,Let's take a look at the S&P500 stocks that are experiencing notable price gaps in today's session on Wednesday. Discover the gap up and gap down stocks in the S&P500 index.,https://finnhub.io/api/news?id=acd9e9d4b45abeab373d483c83479a05ae07393509fcbb21bc96746baa5f85b4
