category,datetime,headline,id,image,related,source,summary,url
company,1776886295,Thursday's big stock stories: What’s likely to move the market in the next trading session,139865468,https://image.cnbcfm.com/api/v1/image/108257481-1769516811771-gettyimages-2250111740-US_STOCKS.jpeg?v=1771953167&w=1920&h=1080,TSCO,CNBC,"Both the S&P 500 and the Nasdaq ended Wednesday at record levels, buoyed by the extension of a U.S.-Iran ceasefire and upbeat earnings reports.",https://finnhub.io/api/news?id=9645a9115956edcf7aa5d3672167bb6c825f378861cc1a443446c2f9d3aa115f
company,1776883500,"Tractor Supply’s 10% Culling: A Bruise, Not a Break",139868017,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSCO,Yahoo,"Tractor Supply Company's recent stock decline may overshadow its steady revenue growth, reaffirmed annual guidance, and consistent dividend history.",https://finnhub.io/api/news?id=68439fa3516b59dc66a8831408befa5731b4ba381ceaf3403a8172146c234564
company,1776875972,"UBS Maintains Neutral on Tractor Supply, Lowers Price Target to $44",139855369,,TSCO,Benzinga,UBS  analyst Michael Lasser   maintains Tractor Supply (NASDAQ:TSCO) with a Neutral and lowers the price target from $55 to $44.,https://finnhub.io/api/news?id=ea8733d35d724eec3b05a83470e3765b587e56faa72450927ad6e1fd80ff9e10
company,1776875375,"Telsey Advisory Group Maintains Outperform on Tractor Supply, Lowers Price Target to $52",139855370,,TSCO,Benzinga,Telsey Advisory Group  analyst Joseph Feldman   maintains Tractor Supply (NASDAQ:TSCO) with a Outperform and lowers the price target from $63 to $52.,https://finnhub.io/api/news?id=adff3a96a88e180d245e6415f91094dfb1d471031655ef6cfb1e7b3a1f9585f3
company,1776870971,"Tractor Supply Facing 'Modest Risk' to Fiscal 2026 Outlook, Morgan Stanley Says",139850079,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSCO,Yahoo,"Tractor Supply (TSCO) is facing a ""modest risk"" to its 2026 outlook amid traffic declines in Q1 and",https://finnhub.io/api/news?id=6a36cabbdc71c4c44b6f12b477ea11e2d77494c1918cbc1fa18e8b3479491040
company,1776870415,"DA Davidson Maintains Buy on Tractor Supply, Lowers Price Target to $50",139855371,,TSCO,Benzinga,DA Davidson  analyst Michael Baker   maintains Tractor Supply (NASDAQ:TSCO) with a Buy and lowers the price target from $60 to $50.,https://finnhub.io/api/news?id=00d99fef3b7a2ba8d7d4c9aefd0abed2bf163b8638d167f33d1ce3fb8ca4fd91
company,1776869123,TSCO Q1 Deep Dive: Companion Animal Headwinds Offset by Strength in Core Categories,139850080,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSCO,Yahoo,Rural goods retailer Tractor Supply (NASDAQ:TSCO) missed Wall Street’s revenue expectations in Q1 CY2026 as sales rose 3.6% year on year to $3.59 billion. Its GAAP profit of $0.31 per share was 8.5% below analysts’ consensus estimates.,https://finnhub.io/api/news?id=3dd6747029c71f932bc2be462cdddf55636e484230427497c137670c981333f2
company,1776864198,"Mizuho Maintains Outperform on Tractor Supply, Lowers Price Target to $50",139855372,,TSCO,Benzinga,Mizuho  analyst David Bellinger   maintains Tractor Supply (NASDAQ:TSCO) with a Outperform and lowers the price target from $58 to $50.,https://finnhub.io/api/news?id=1d9c3c4769da6b21364d9121d6dc74880b78c608cabf8ad9efb7d54ed5fdf75a
company,1776860400,"Company News for Apr 22, 2026",139849654,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSCO,Yahoo,"Companies In The Article Are:AMZN,AAPL,HAL,TSCO",https://finnhub.io/api/news?id=db4fabc93683690cafcbc628418eda0a66d5fb72a7646e28da98260dce114cdf
company,1776858321,"Morgan Stanley Maintains Equal-Weight on Tractor Supply, Lowers Price Target to $45",139855373,,TSCO,Benzinga,Morgan Stanley  analyst Simeon Gutman   maintains Tractor Supply (NASDAQ:TSCO) with a Equal-Weight and lowers the price target from $57 to $45.,https://finnhub.io/api/news?id=840fd84135cd835e6765140d382c627827d0bf8449a81a8ef2fce56e3efe985b
company,1776854842,"Wells Fargo Maintains Overweight on Tractor Supply, Lowers Price Target to $47",139855374,,TSCO,Benzinga,Wells Fargo  analyst Zachary Fadem   maintains Tractor Supply (NASDAQ:TSCO) with a Overweight and lowers the price target from $55 to $47.,https://finnhub.io/api/news?id=5b29df0f99f81b7c2c09a2df1467f565f17fc20e50e0edf7c38da649531218b7
company,1776849563,"Baird Maintains Outperform on Tractor Supply, Lowers Price Target to $50",139855375,,TSCO,Benzinga,Baird  analyst Justin Kleber   maintains Tractor Supply (NASDAQ:TSCO) with a Outperform and lowers the price target from $60 to $50.,https://finnhub.io/api/news?id=ee88fa8951841bb1aa73573e75dd4d950a38d483d80fe29cf8d004229f5ec84e
company,1776847408,"Piper Sandler Maintains Overweight on Tractor Supply, Lowers Price Target to $51",139855376,,TSCO,Benzinga,Piper Sandler  analyst Peter Keith   maintains Tractor Supply (NASDAQ:TSCO) with a Overweight and lowers the price target from $59 to $51.,https://finnhub.io/api/news?id=7443b4285f39eaffe65f1b91e71506f8151c56a7f903995f5632c568d1ff15f5
company,1776846393,"Truist Securities Maintains Hold on Tractor Supply, Lowers Price Target to $44",139855377,,TSCO,Benzinga,Truist Securities  analyst Scot Ciccarelli   maintains Tractor Supply (NASDAQ:TSCO) with a Hold and lowers the price target from $55 to $44.,https://finnhub.io/api/news?id=b342f7af9de7cb6db5a7d4a0fdb1491ef734b54e1d3075932f1b50aff29bb8b0
company,1776841398,Tractor Supply Co (TSCO) Q1 2026 Earnings Call Highlights: Record Store Openings and Digital ...,139845280,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSCO,Yahoo,"Tractor Supply Co (TSCO) reports a 3.6% increase in net sales, driven by new store openings and digital growth, while facing challenges in the companion animal category and rising SG&A expenses.",https://finnhub.io/api/news?id=29e5d7633f2223695e1efd378d4a194cf1786b1c30bdfdaddb40c8f60c598181
company,1776834325,Why Tractor Supply (TSCO) Is Down 12.1% After Q1 Earnings Miss and Flat Same-Store Sales,139844538,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSCO,Yahoo,"In the first quarter of 2026, Tractor Supply Company reported sales of US$3,592.05 million, up from US$3,466.95 million a year earlier, while net income slipped to US$164.52 million and earnings per share of US$0.31 came in below analyst estimates. Despite the earnings and revenue shortfall and flat same-store sales, Tractor Supply reaffirmed its full-year 2026 outlook and continued returning cash to shareholders through buybacks and dividends while opening 40 new stores. Now we’ll explore...",https://finnhub.io/api/news?id=d471f8a9488c1b94daf42c78331f95c419a7accdcd2b66a65c5faaee44c879bf
