category,datetime,headline,id,image,related,source,summary,url
company,1776898849,AT&T Inc. 2026 Q1 - Results - Earnings Call Presentation,139857228,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,T,SeekingAlpha,2026-04-22. The following slide deck was published by AT&T Inc.,https://finnhub.io/api/news?id=5f2d031a75e3aeafd69a68f9ce0cab6f155392ff54b2cf4438634cfeeac81520
company,1776895205,Tutor Perini (TPC) Stock Sinks As Market Gains: Here's Why,139856801,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"Tutor Perini (TPC) closed the most recent trading day at $84.19, moving 1.08% from the previous trading session.",https://finnhub.io/api/news?id=e4739764d8d33eba767517a25cc513bb7e826948485748cbbb0db3d23aca0801
company,1776894455,"Stock Market Today, April 22: AT&T Edges Upwards on Mixed Earnings",139854717,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"Today, April 22, 2026, investors weigh a Q1 revenue beat against the telecom giant's disappointing wireless revenue.",https://finnhub.io/api/news?id=921d1d49bff626b2ea3e8e6ac31f903745006fe2d9f7ea1bb9ecfecc0b103c82
company,1776886274,How To Earn $500 A Month From AT&T Stock Ahead Of Q1 Earnings,139853062,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"AT&T Inc. will release earnings for its first quarter before the opening bell on Wednesday, April 22. Analysts expect the telecommunications company to report quarterly earnings of 55 cents per share. That’s up from 51 cents per share in the year-ago period. The consensus estimate for AT&T's quarterly revenue is $31.24 billion (it reported $30.63 billion last year), according to Benzinga Pro. Ahead of quarterly earnings, Scotiabank analyst Maher Yaghi, on April 1, maintained AT&T with a Sector P",https://finnhub.io/api/news?id=4c9da9c78fb860bbaa2eb323ad5f77829f2ef453c50caac9bb23b82edc6612ad
company,1776881103,Stay informed about the most active stocks in the S&P500 index on Wednesday's session.,139852160,https://www.chartmill.com/images/uploads/CM_Most_Active_Stocks_Small_free_fec0650b7f.webp,T,ChartMill,Stay informed about the most active S&P500 stocks in today's session as we take a closer look at what's happening on the US markets on Wednesday. Discover the stocks that are generating the highest trading volume and driving market activity.,https://finnhub.io/api/news?id=62c58c910c9de46cfc076727d1feb6d603da4cb28ba436be6c7cc3c4c78fc215
company,1776877708,AT&T Falls On Wireless Subscriber 'Churn' Worries. T-Mobile Drops On Deutsche Telekom.,139851656,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,AT&T earnings topped Q1 estimates while revenue met views. Wireless postpaid phone subscriber additions beat.,https://finnhub.io/api/news?id=a1a20e173e992331e3b9d1cade263cc9d56316062f8ebaa1dfa8502189bb017f
company,1776877606,AT&T Reports 2.9% Revenue Growth And Q1 Earnings Beat Expectations,139851657,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,Revenue reaches $31.5 billion as wireless and fiber subscriber growth supports convergence strategy,https://finnhub.io/api/news?id=66fbcc1e172cbb8d197f9aa43d99a28353f2d00d5601aee00f6bd4e7f88bfc44
company,1776876409,AT&T Inc. Q1 2026 Earnings Call Summary,139851658,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,Moby summary of AT&T Inc.'s Q1 2026 earnings call,https://finnhub.io/api/news?id=438de7fbb4b7be97500ab785759adf1dcfbedda05910a8302bc8f8c3dfdd5e93
company,1776873240,Verizon to Report Q1 Earnings: How to Approach the Stock Now?,139851650,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"VZ gears up for Q1 earnings as Frontier deal, 5G push and fiber expansion set the stage, but rising competition clouds near-term upside.",https://finnhub.io/api/news?id=29df06e0bda0d3fe7a41777063a85b5020e1a31414cc03b209a1980ac1a515ac
company,1776872926,"Top Midday Stories: GE Vernova Shares Gain on Strong Q1 Earnings, Guidance; Vertiv Lifts Guidance After Q1 EPS, Revenue Beats, Shares Fall",139849791,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,All three major US stock indexes were up in late-morning trading Wednesday following reports of Iran,https://finnhub.io/api/news?id=f4a7fa1f476ce87ad52cb38159ce3068907981c2793b2135f0634a521f0a3036
company,1776871043,AT&T stock recovers after Q1 wireless service revenue falls short of some analyst estimates,139854723,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,AT&T shares fell despite a Q1 earnings beat on the top and bottom lines.,https://finnhub.io/api/news?id=8bf468a3659fa39152897e7e684b303cba9e44eefb7225b1c1193b2c96b1f592
company,1776871043,AT&T stock drops as Q1 wireless service revenue falls short of some analyst estimates,139849843,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,AT&T shares fell despite a Q1 earnings beat on the top and bottom lines.,https://finnhub.io/api/news?id=f5749a5bbcf919a5c963acf44e3cea035527adb460b89273fb22376c93fcb51f
company,1776870002,AT&T (T) Reports Q1 Earnings: What Key Metrics Have to Say,139851660,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"The headline numbers for AT&T (T) give insight into how the company performed in the quarter ended March 2026, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=6418c323083ceab45a1e6ff745314bcfed3ef66be463f0ac81b6a5dc10d884f6
company,1776869820,AT&T shares slip on higher capex but subscriber growth top estimates,139849844,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"AT&T Inc (NYSE:T, XETRA:SOBA) added more wireless subscribers than expected in the first quarter, as its strategy of bundling mobile and high-speed internet services continued to attract customers, sending revenue slightly above Wall Street estimates. The telecommunications giant reported...",https://finnhub.io/api/news?id=06b6b755074ce1051dea2af355a3fc0f60a9dfa162ca32d3fe60a2613fb280e8
company,1776869463,AT&T (T) Q1 2026 Earnings Call Transcript,139849845,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"Last quarter, we told you that we had positioned AT&T for improved growth with our investment-led strategy in fiber and 5G.  This is our best ever first quarter result in the sixth consecutive quarter with over 0.5 million consumer and business net adds.  42% of our advanced home Internet customers also choose AT&T Wireless.",https://finnhub.io/api/news?id=d94735b25be00f3d349d377bbb30be622ac99a2fbf94d92831b77afee8a6042e
company,1776869386,AT&T (T) Q3 2024 Earnings Call Transcript,139849846,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"John Stankey: Thank you, Brett.  The third quarter showed again that our team continues to produce solid results as we efficiently grow high value wireless and broadband subscribers.  In Mobility, the value of the coverage and reliability of the service we provide and our best deals for every one approach that puts our customers first are producing solid, sustainable results.",https://finnhub.io/api/news?id=d4827c5f1a845476c29bd154ea3d1a1482d6704a742100e4e0d3413d6c7c0b18
company,1776868860,Primoris vs. Tutor Perini: Which Infrastructure Stock Has More Upside?,139851661,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"Which stock stands out as infrastructure demand grows, PRIM's diversified backlog strength or TPC's focus on higher-margin, large-scale projects?",https://finnhub.io/api/news?id=6c4ed6dd855cabcb8f11b0c0409b5fea0e5d22781e7851ce67ae232e2fcdc140
company,1776868504,Wednesday's session: gap up and gap down stock in the S&P500 index,139849128,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,T,ChartMill,Let's take a look at the S&P500 stocks that are experiencing notable price gaps in today's session on Wednesday. Discover the gap up and gap down stocks in the S&P500 index.,https://finnhub.io/api/news?id=acd9e9d4b45abeab373d483c83479a05ae07393509fcbb21bc96746baa5f85b4
company,1776868200,Zilliz is recognized as a 'Stars Company' in MarketsandMarkets' latest 360Quadrant for the Vector Database Market,139849640,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"Zilliz, the creator of Milvus — the world's most widely adopted open-source vector database with over 43,000 GitHub stars and more than 10,000 enterprise deployments — has been recognized as a 'Stars Company' in the Vector Database market on MarketsandMarkets' 360Quadrants platform.",https://finnhub.io/api/news?id=e7fc3fa327b2102fa910f371b3da162d5bfb30aa6f24c31dde30305c85b6a659
company,1776868065,"T-Mobile reportedly in merger talks, Adobe's $25B stock buyback",139849848,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"Market Catalysts Host Julie Hyman tracks several of the day's top trending stock tickers, including AT&T's (T) wireless subscriber growth, Bloomberg reporting T-Mobile (TMUS) is in talks to merge with Deutsche Telekom (DTE.DE, DTEGY), Adobe (ADBE) announcing a new stock buyback program, and Reuters reporting takeover interests around Inhibrx Biosciences (INBX).",https://finnhub.io/api/news?id=d0f4ecfa893a6816f4041b39b69458d792069c07920bbc5c7acdbcb4d3b3ab8f
company,1776867000,AT&T Beats Q1 Earnings Estimates on Wireless and Fiber Demand,139851662,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"T tops Q1 estimates as wireless and fiber demand lifts revenue, EBITDA and cash flow despite heavier capex.",https://finnhub.io/api/news?id=2f534e4198a3bdef7d324d91032341798d78786eb2802c467e7502b4b1950381
company,1776866401,Market Cheers Ceasefire Oblivious To Iran Hardliners Winning Power Struggle,139851939,,T,Benzinga,"



Extremely Positive Sentiment



Please click here for an enlarged chart of SPDR S&amp;P 500 ETF Trust ",https://finnhub.io/api/news?id=2001a7688443c91b56e697b7f8e2c9d1faa6dc2d798baae21804df17641ed2db
company,1776866389,AT&T: Ignore The Noise As Valuation Still Looks Attractive,139852009,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1162604361/image_1162604361.jpg?io=getty-c-w1536,T,SeekingAlpha,"AT&T stock remains a ""Buy"" as its valuation and EPS growth look appealing. Here's what investors need to know about T.",https://finnhub.io/api/news?id=248a70dd0cd5e464154626a664bf3acf43d9fbe5d10bd138f45dfd2eb5e67cc3
company,1776866232,"Nasdaq 100 Tops Records As Iran Ceasefire Extends, GE Vernova Soars 13%: Stock Market Today",139851940,https://cdn.benzinga.com/files/images/story/2026/04/22/3d-Render-Closeup-Of-Computer-Keyboard-W.jpeg?width=2048&height=1536,T,Benzinga,"Tech stocks brushed new record highs during midday Wednesday, as a fresh wave of blockbuster corporate earnings propelled mega-cap technology and speculative names higher. ",https://finnhub.io/api/news?id=57808e97307dbffd0e07df952b05a5abba22debcbc30e267ce503ca1b7def584
company,1776864979,AT&T : Transcript (t usq transcript 2026 04 22),139851261,,T,Finnhub,"LSEG STREETEVENTS EDITED TRANSCRIPT T.N - Q1 2026 AT&T Inc Earnings Call EVENT DATE/TIME: APRIL 22, 2026 / 12:30PM GMT ...",https://finnhub.io/api/news?id=18873aab4fde82d94ea4f5539dbe2a10b996740ea9102b9028e98d7bf4d89cd2
company,1776864974,AT&T : Document (t usq transcript 2026 04 22),139851246,,T,Finnhub,"‌LSEG STREETEVENTS EDITED TRANSCRIPT T.N - Q1 2026 AT&T Inc Earnings Call EVENT DATE/TIME: APRIL 22, 2026 / 12:30PM GMT ‌OVERVIEW: ...",https://finnhub.io/api/news?id=cc2da2544eb3f1e6c7ec4c6057cc776c32be37838a2713228f72d897fc7fc128
company,1776864702,Wall Street Lunch: Spirit Airlines Surges As Trump Adminstration Nears Rescue Deal,139851291,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2149129219/image_2149129219.jpg?io=getty-c-w1536,T,SeekingAlpha,The Trump administration is nearing a deal to rescue Spirit Airlines (FLYYQ).,https://finnhub.io/api/news?id=1a76421da9ad815deae4ce1af3cb162ff7c2525bf0ff33fdd050f0a208bf9fa0
