category,datetime,headline,id,image,related,source,summary,url
company,1776895624,A Look At United Airlines (UAL) Valuation After Guidance Cut And Capacity Reductions,139855948,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,"United Airlines Holdings (UAL) is back in focus after first quarter results showed revenue of US$14.6b and net income of US$699m, while management cut full year profit guidance and flagged capacity reductions to manage higher fuel costs. See our latest analysis for United Airlines Holdings. The share price reaction to the updated profit guidance has been sharp in the short term, with a 1 day share price return of a 5.58% decline and a 90 day share price return of a 16.93% decline. However,...",https://finnhub.io/api/news?id=5a86e3124cf94f5a71e651ac5a1a6531f8fe7dd7947430ba355f4ccaae971494
company,1776893340,Southwest Airlines Stock Is Falling. Oil Prices Compel It to Drop Guidance.,139854809,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,"Southwest Airlines  slightly missed Wall Street’s expectations for the first quarter and discontinued its full-year guidance as the air carrier, along with the entire industry, grapples with increased fuel costs.  Wall Street had expected a first-quarter profit of 47 cents a share with sales totaling $7.27 billion, according to FactSet.  The carrier said first-quarter fuel costs were $2.73 a gallon, above its prior guidance of about $2.40, which increased fuel expenses by $164 million and represented approximately a 22 cents a share headwind.",https://finnhub.io/api/news?id=87fae4f480470bc66da746d8604369a11afa6cc719e7139e4ff0db1f2578eab9
company,1776891361,Should You Buy the Dip in United Airlines Stock?,139857495,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,United Airlines shares sink as muted full-year guidance weighs on a strong Q1 release. But options pricing suggests the post-earnings dip in UAL stock may be an opportunity for long-term investors.,https://finnhub.io/api/news?id=ef490eebd562a4eac1c0897f5797103b7cdc081d38960960d091d0f27c13e025
company,1776888780,United CEO Scott Kirby Is Betting You'll Pay 20% More to Fly. He Might Be Right,139854820,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,Jet fuel is soaring thanks to Iran. Scott Kirby's bet: his flyers won't care,https://finnhub.io/api/news?id=353277918eae864d5e8299e39fc2a2a7c8ce18fb97b982757ccf46b1a1141594
company,1776884704,Discover which S&P500 stocks are making waves on Wednesday.,139852553,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,UAL,ChartMill,Let's have a look at what is happening on the US markets one hour before the close of the markets on Wednesday. Below you can find the top S&P500 gainers and losers in today's session.,https://finnhub.io/api/news?id=ae80157d188281be0d515ccfa1f94e57052986ccba514a7b6434cba8d0c774b1
company,1776880929,"Final Trade: CEG, BA, IGV, UAL",139865722,https://image.cnbcfm.com/api/v1/image/108295835-17768952221776895220-45443634278-1080pnbcnews.jpg?v=1776895221&w=1920&h=1080,UAL,CNBC,The final trades of the day with CNBC's Melissa Lee and the 'Fast Money' traders.,https://finnhub.io/api/news?id=85702d89c1dbd404dd883fcfe5270495b22f1f86722d4913779ea78a276b2cc2
company,1776877796,"CNBC Markets Now: April 22, 2026",139865614,https://image.cnbcfm.com/api/v1/image/108295800-4ED4-REQ-042226-MarketNow.jpg?v=1776891646&w=1920&h=1080,UAL,CNBC,"CNBC Markets Now provides a look at the day's market moves with commentary and analysis from Michael Santoli, CNBC Senior Markets Commentator.",https://finnhub.io/api/news?id=d0f0c00dd9d11c9f37d5004426e5fa8b897aa06ed783909876e6303692e2bfd9
company,1776877765,"Post Market Wrap: April 22, 2026",139865615,https://image.cnbcfm.com/api/v1/image/108295798-4ED4-REQ-042226-MarketClose.jpg?v=1776891567&w=1920&h=1080,UAL,CNBC,"CNBC brings you fast, accurate, and actionable business news and market updates.",https://finnhub.io/api/news?id=181f95d954d1c1c41d9a88edafaf94f0dacd88c05736b3d417d2b088d318e146
company,1776875704,Uncover the latest developments among S&P500 stocks in today's session.,139850503,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,UAL,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=526c71e3929bbd0fab61d1248ed1e659a0daabac3594bfbbf574960aa83cc081
company,1776874235,"United Airlines Holdings, Inc. (UAL) Q1 2026 Earnings Call Transcript",139853475,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,UAL,SeekingAlpha,"United Airlines Holdings, Inc. (UAL) Q1 2026 Earnings Call April 22, 2026 10:30 AM EDTCompany ParticipantsKristina Munoz - Managing Director of Investor...",https://finnhub.io/api/news?id=ebaee50e0658bcab9c6596e57dc7dc98bceb62ea3f683ea25135332fc08ede0f
company,1776873180,United Airlines lowers full year profit forecast amid rising jet fuel prices,139850032,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,"United Airlines Holdings Inc (NASDAQ:UAL, XETRA:UAL1) has reported higher-than-expected first quarter earnings but cut its full-year profit outlook, citing rising fuel costs linked to geopolitical tensions in the Middle East. Shares fell more than 6% following the announcement. The carrier...",https://finnhub.io/api/news?id=fdfe894d3d8caf0ba666eb13c582e454d8160a0236e7df423507e8e3312f9e68
company,1776873061,"Delta Airlines is the most defensive airline with higher jet fuel prices, says TD Cowen's Tom Fitzgerald",139866052,https://image.cnbcfm.com/api/v1/image/108295705-17768870061776887004-45441505970-1080pnbcnews.jpg?v=1776887006&w=1920&h=1080,UAL,CNBC,"TD Cowen's Tom Fitzgerald joins 'Closing Bell' to discuss how investors should play the airline space, the least defensive airline stocks and much more.",https://finnhub.io/api/news?id=b3ab5aeca9ad5354d819f7f02d263cbd4079ceec07cbbf69b7233d78f6e98d03
company,1776872469,Why United's CEO Thinks the Economy Is 'Much Stronger' Than Many Believe,139851834,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,United Airlines CEO Scott Kirby says the strength of bookings provides a great real-time indication of just how strong the economy remains.,https://finnhub.io/api/news?id=906d811ecdc604cce91d2787b3cd6fb8d4c7fa29df25c9c0f54b5de03ec55336
company,1776870180,"United Airlines Q1 Earnings & Revenues Surpass Estimates, Up Y/Y",139851803,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,"UAL beats Q1 estimates with record revenue, strong premium demand and rising EPS despite fuel cost pressures.",https://finnhub.io/api/news?id=2d1e958111aa354eaa06e76e0bf47df34946502a188f6d185168c22b83bfc891
company,1776868504,Wednesday's session: gap up and gap down stock in the S&P500 index,139849128,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,UAL,ChartMill,Let's take a look at the S&P500 stocks that are experiencing notable price gaps in today's session on Wednesday. Discover the gap up and gap down stocks in the S&P500 index.,https://finnhub.io/api/news?id=acd9e9d4b45abeab373d483c83479a05ae07393509fcbb21bc96746baa5f85b4
company,1776868382,'United Airlines says fares may need to rise up to 20% to offset fuel surge' - Reuters,139867216,,UAL,Benzinga,https://www.reuters.com/business/united-airlines-says-fares-may-need-rise-up-20-offset-fuel-surge-2026-04-22/,https://finnhub.io/api/news?id=1e36bc70a588f2fbc588b5f334ffe769c3f2fff437c29fec32c3cc4b243df1f9
company,1776867557,"United Airlines Holdings shares are trading lower after the company reported Q1 financial results, lowered its FY26 adjusted EPS guidance with its midpoint below estimates and issued Q2 adjusted EPS guidance below estimates.",139867217,,UAL,Benzinga,,https://finnhub.io/api/news?id=190c74978eabf0879369ec1c0b88c5bde2d812063735c65399ba2cf9418ee80d
company,1776867548,Gig tripping this summer? Here's how to pay for concert travel with your credit cards,139865522,https://image.cnbcfm.com/api/v1/image/108294010-1776697778276-gettyimages-2237274471-202509120322.jpeg?v=1776697834&w=1920&h=1080,UAL,CNBC,Flexible travel rewards can help you save on last-minute flights to concerts. But there is value in having an airline or hotel credit card if you plan ahead.,https://finnhub.io/api/news?id=3e17bbfaef87b018cf7d8a080e1b2de7ee12f2055f89248c5a2a223e32c3cd1a
company,1776867302,"As American Airlines Denies Merger Talks, Should You Buy AAL Stock or Brace for a Crash Landing?",139854821,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,American Airlines’ rejection of United merger talks means the stock is now trading purely on its own fundamentals again.,https://finnhub.io/api/news?id=559170c4b990272f33bddc27cf275a24aac836b89abb1f3e6808f43c50b90f0c
company,1776866232,"Nasdaq 100 Tops Records As Iran Ceasefire Extends, GE Vernova Soars 13%: Stock Market Today",139851940,https://cdn.benzinga.com/files/images/story/2026/04/22/3d-Render-Closeup-Of-Computer-Keyboard-W.jpeg?width=2048&height=1536,UAL,Benzinga,"Tech stocks brushed new record highs during midday Wednesday, as a fresh wave of blockbuster corporate earnings propelled mega-cap technology and speculative names higher. ",https://finnhub.io/api/news?id=57808e97307dbffd0e07df952b05a5abba22debcbc30e267ce503ca1b7def584
company,1776862862,"Stocks making the biggest moves midday: Axe Compute, AST SpaceMobile, United Airlines, GE Vernova & more",139850763,https://image.cnbcfm.com/api/v1/image/108282297-1774370354680-gettyimages-2267710515-AFP_A4JX7G8.jpeg?v=1774370429&w=1920&h=1080,UAL,CNBC,These are the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=5f5c16587046fd118740332e88b771cf1368a842a47f6ae8a2ca7e3ffce85a34
company,1776862647,United Airlines Rises After Earnings Beat -- Cost Worries Hit 2026 Forecast,139848654,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,"United Airlines Gains After Strong Quarter, Warns on Rising Fuel Pressure",https://finnhub.io/api/news?id=8eed836e01b40ad7e087d0cb3dfb45a940730bbdd443f7d6c017b02871252485
company,1776861235,United Airlines Cuts 2026 Outlook as Fuel Costs Climb,139854822,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,"Shares of United Airlines (NASDAQ:UAL) edged 1. 2% higher in premarket trading on Wednesday, even after the carrier lowered its full-year earnings forecast, citing rising fuel costs driven by the Iran conflict.",https://finnhub.io/api/news?id=7bf5ada35e7c87a1092c895b7a8dbd93d77d3401fab59f7562ccc5f0b97952cd
company,1776861000,"United Airlines Holdings, Inc. Q1 2026 Earnings Call Summary",139854823,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,"Moby summary of United Airlines Holdings, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=46f05afd92fbd1db7f079b4a582ba6dad43992df1e3a74026fe1a97efa6d0aa8
