category,datetime,headline,id,image,related,source,summary,url
company,1776894304,Uber Technologies (UBER) Stock Drops Despite Market Gains: Important Facts to Note,139855840,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"In the most recent trading session, Uber Technologies (UBER) closed at $75.58, indicating a -2.17% shift from the previous trading day.",https://finnhub.io/api/news?id=e601ea48c952b843cedb85526dc976541216b7f13e5bafcdc717c6f979051cf7
company,1776883346,From the stage to the future: Where are Startup Battlefield’s alumni now?,139852937,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"We wanted to show you what happens after the confetti falls. We checked in with some of our recent alumni, many of whom have sat down with us on Build Mode: The Founder Survival Guide, TechCrunch's podcast for founders at every stage.",https://finnhub.io/api/news?id=dddce3ece596983eb72bef1a61d359c3a2588e0b7c1dbbd83ef2e5aa05c41249
company,1776875100,Uber’s AV Pivot: Growth Opportunity or Margin Risk?,139866363,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Uber is investing $10B in autonomous vehicles, shifting from its asset-light model. Here’s what that means for earnings and long-term growth",https://finnhub.io/api/news?id=51dacc0c2523c24b912e4af3f2a13c6f5f32126fdb6131ca0af1f347b89afa10
company,1776872760,"Lucid Sees Uber Raise Stake, Expands Robotaxi Commitment",139851686,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Lucid is in focus as Uber takes 11.5% stake, lifts robotaxi order to 35,000, alongside $1.05B capital raise and autonomy partnership.",https://finnhub.io/api/news?id=5e5299bac7142fdf7e2d120da0a11bf12bb0c7d15901813af7042515db0b2a60
company,1776870000,"Coco Robotics Launches with Uber Eats in San Jose, Expanding Autonomous Delivery Across the U.S.",139849871,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Coco Robotics, the world's largest urban robot delivery platform and recently named one of Fast Company's World's Most Innovative Companies in logistics, today announced the expansion of its autonomous delivery service to San Jose in California. The company's robots are now active, giving residents, workers, and businesses in the city's urban core access to fast, zero-emission last-mile delivery on Uber Eats. The launch marks Coco's latest U.S. market expansion as the company scales its fleet to",https://finnhub.io/api/news?id=1f6d01ada91694943bf69998a11b4d63fdbc7642dbead208ef8b358d10c3bfcb
company,1776868520,Uber Sends Lucid Stock Soaring. Is There More Room for LCID to Run?,139854737,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,Lucid stock inches higher as UBER more than doubles stake to 11.5%. But LCID shares remain super unattractive to own in 2026.,https://finnhub.io/api/news?id=f0ccdee878cb0dfed2f5f3aaca0fc3aab4785a27d43436113090ce5aef8def83
company,1776864943,10 Industrials Stocks Whale Activity In Today's Session,139851890,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_2.jpg?width=2048&height=1536,UBER,Benzinga, ,https://finnhub.io/api/news?id=3d705d1cdc7c48f8db29248d7238ad165c93b46513d17eb13f7f5b1f8ac5a2a2
company,1776864358,Bradley Tusk: Hard to see why investors would want OpenAI shares when they're public,139851155,https://image.cnbcfm.com/api/v1/image/108295554-17768784771776878474-45439204974-1080pnbcnews.jpg?v=1776878476&w=1920&h=1080,UBER,CNBC,"Bradley Tusk, Tusk Venture Partners founder and CEO, joins 'The Exchange' to discuss AI's private market valuations, the attempt to get companies to go public sooner and much more.",https://finnhub.io/api/news?id=b18afd86eea7b7fdcca53eaa52292e76ec9afdb5d0db7ed3fc2cf4b901bb09b3
company,1776863442,"Wayve Scores $8.6 Billion Valuation: NVIDIA, Microsoft Fuel British Robotaxi Invasion",139851850,https://cdn.benzinga.com/files/images/story/2026/04/22/Green-chart_0.jpeg?width=2048&height=1536,UBER,Benzinga,"Backed by NVIDIA, Microsoft, and Uber, UK-based Wayve eyes global robotaxi expansion. Can its software-first AI approach scale successfully?",https://finnhub.io/api/news?id=00096fc2f149dcf30bf0dce58d7bb4492dae41060a479dd1ec7160044581febe
company,1776862278,"Block, Inc. Announces Global Native Integration to Uber Eats and Launches Cash App Pay in the United States",139850553,,UBER,Finnhub,"Block, Inc. announced a comprehensive global partnership with Uber Technologies, Inc. that expands restaurant operations capabilities across multiple markets and payment flexibility in the United...",https://finnhub.io/api/news?id=c032d0f92c17b1927d59505400691c3db5134eacda6c4bfca08dcf848fe4426a
