category,datetime,headline,id,image,related,source,summary,url
company,1776895203,"Compared to Estimates, United Rentals (URI) Q1 Earnings: A Look at Key Metrics",139858285,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,URI,Yahoo,"While the top- and bottom-line numbers for United Rentals (URI) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=2f45dc1fb741e3c308875c29e5b5a0e114ace0792e0e5fbcfe8f5308d424feca
company,1776894309,United Rentals (URI) Beats Q1 Earnings and Revenue Estimates,139855933,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,URI,Yahoo,"United Rentals (URI) delivered earnings and revenue surprises of +7.78% and +2.89%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=bc6c925f28c8f790a20459880f234224429f7650b0c3ee33553a5e92f84c2723
company,1776891907,Top gainers and losers in the S&P500 index during Wednesday's after-hours session.,139854257,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,URI,ChartMill,"As the regular session of the US market concludes on Wednesday, let's get an insight into the after-hours session and identify the top gainers and losers in the S&P500 index.",https://finnhub.io/api/news?id=dc9e7770d52b79bbae293249b4d222c5e70769e8361fa4b5dd5c189f29f71e55
company,1776891600,Stay updated with the stocks that are on the move in today's after-hours session.,139854249,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,URI,ChartMill,Let's have a look at what is happening on the US markets after the closing bell on Wednesday. Below you can find the top gainers and losers in today's after hours session.,https://finnhub.io/api/news?id=75e5ec02658a083f34ea08eb44c47e6926c031aa37a9a706d69bf8b109737210
company,1776891487,"United Rentals (NYSE:URI) Posts Better-Than-Expected Sales In Q1 CY2026, Stock Jumps 13.9%",139854804,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,URI,Yahoo,"Equipment rental company United Rentals (NYSE:URI) reported Q1 CY2026 results exceeding the market’s revenue expectations, with sales up 7.2% year on year to $3.99 billion. The company expects the full year’s revenue to be around $17.15 billion, close to analysts’ estimates. Its non-GAAP profit of $9.71 per share was 8.6% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=12fda191703a4057db6a8c13f2638cbc9dcef291b4f2b2a65c47950156d3c03c
company,1776890847,United Rentals Inc (NYSE:URI) Surpasses Q1 2026 Estimates and Raises Full-Year Outlook,139853980,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_16_065e226ebd.webp,URI,ChartMill,"United Rentals beats Q1 2026 earnings estimates, raises full-year guidance, and sees shares surge over 13% after hours.",https://finnhub.io/api/news?id=8c6871cfe4706e0bb87d9465f8c439608ea0a6e4cd1830e6240bb67c20ae5e95
company,1776889800,United Rentals Declares Quarterly Cash Dividend,139854805,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,URI,Yahoo,"STAMFORD, Conn., April 22, 2026--United Rentals, Inc. (NYSE: URI) announced today that its Board of Directors declared a quarterly cash dividend of $1.97 per share, payable on May 27, 2026 to stockholders of record as of May 13, 2026.",https://finnhub.io/api/news?id=50b629c19eb82c19b2b226c3ae5347dd33cfcd2d8ba2617ec025e5d11b181757
company,1776888900,United Rentals Announces Strong First Quarter Results and Raises Full-Year 2026 Guidance,139854806,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,URI,Yahoo,"STAMFORD, Conn., April 22, 2026--United Rentals, Inc. (NYSE: URI) today announced financial results for the first quarter of 2026, including record first quarter total revenue, rental revenue1, earnings per share (""EPS"") and adjusted EBITDA2, and raised its 2026 full-year guidance.",https://finnhub.io/api/news?id=c13ab68531ec11688c35f17fb666d989647c5d1c7af364a5c4222d1a9272611c
company,1776883185,United Rentals lifts forecast after large projects fuel record first quarter,139855906,,URI,Finnhub,"United Rentals reportedrecord first-quarter revenue and raised its annual salesforecast on Wednesday, as more customers rented equipment forlarge construction and industrial projects, sending its...",https://finnhub.io/api/news?id=e45232d88591fda9198f444dd75378abbd1a26e1dbd94272be3d7352dd2305d9
company,1776880982,"Stocks retreat from records as software shares slump, oil jumps: Live updates",139865574,https://image.cnbcfm.com/api/v1/image/108294016-1776698311805-gettyimages-2271683421-AFP_A8ED8QH.jpeg?v=1776949286&w=1920&h=1080,URI,CNBC,"Stocks pulled back on Thursday, led by a drop in software and higher oil prices.",https://finnhub.io/api/news?id=2b8533b125089f8f7e705cce529f6d58058711faf7def9af1d3dca2c4c4467fb
