category,datetime,headline,id,image,related,source,summary,url
company,1776890763,Vertiv Holdings Co Q1 2026 Earnings Call Summary,139854746,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRT,Yahoo,Moby summary of Vertiv Holdings Co's Q1 2026 earnings call,https://finnhub.io/api/news?id=921face7786d8629ef687e85863d81dcf79db2916ce9c36bf7b92ca5b7649462
company,1776887609,Why Vertiv Stock Is Sinking Today,139854747,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRT,Yahoo,Vertiv posted a strong Q1 earnings beat. So why is the stock falling?,https://finnhub.io/api/news?id=1b92b3ab56610e79978a48eef9f80a6d9bbde8ae9b06dc18ced0448fe7490958
company,1776885782,"Memory stocks work because of shortages, says Jim Cramer",139865436,https://image.cnbcfm.com/api/v1/image/108295848-4ED3-MM-A-BLOCK-042226.jpg?v=1776897632&w=1920&h=1080,VRT,CNBC,'Mad Money' host Jim Cramer talks stocks that are reeling in the profits right now.,https://finnhub.io/api/news?id=2883374d99d4d32dd5cdbefa1fbb4ff23069def07d5aa59eced50551aeb649e1
company,1776879105,Vertiv (VRT) Q1 2026 Earnings Transcript,139851709,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRT,Yahoo,"Joining me today are Vertiv's Executive Chairman, Dave Cote; Chief Executive Officer, Gio Albertazzi; and Chief Financial Officer, Craig Chamberlain.  Before we begin, I would like to point out that during the course of this call, we will make forward-looking statements regarding future events, including the future financial and operating performance of Vertiv.",https://finnhub.io/api/news?id=2094db586b8e5ff6bcc93bfeff8efa494eb6203a337fda765acd9d046d554cba
company,1776876568,Vertiv's Beat-and-Raise Fails to Impress,139851710,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRT,Yahoo,Strong Q1 results and raised guidance fail to lift shares,https://finnhub.io/api/news?id=3ebade40bafc66573c964749bf84d624e75bc4d270b0839337311d27965fb669
company,1776875704,Uncover the latest developments among S&P500 stocks in today's session.,139850503,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,VRT,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=526c71e3929bbd0fab61d1248ed1e659a0daabac3594bfbbf574960aa83cc081
company,1776874865,Full Transcript: Vertiv Holdings Q1 2026 Earnings Call,139870175,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_2.jpg?width=2048&height=1536,VRT,Benzinga, ,https://finnhub.io/api/news?id=c6db81ee025ba60ffee8e3f169b9f77fe6426cd087ff2cfd2a3d46421b1e2e37
company,1776874844,Vertiv Holdings Co (VRT) Q1 2026 Earnings Call Transcript,139853640,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,VRT,SeekingAlpha,"Vertiv Holdings Co (VRT) Q1 2026 Earnings Call April 22, 2026 11:00 AM EDTCompany ParticipantsLynne Maxeiner - Vice President of Global Treasury &...",https://finnhub.io/api/news?id=a083e1675a029e297563b7c6c4682a9db4e2f027509e3516e39ebb2855960a5b
company,1776872926,"Top Midday Stories: GE Vernova Shares Gain on Strong Q1 Earnings, Guidance; Vertiv Lifts Guidance After Q1 EPS, Revenue Beats, Shares Fall",139849791,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRT,Yahoo,All three major US stock indexes were up in late-morning trading Wednesday following reports of Iran,https://finnhub.io/api/news?id=f4a7fa1f476ce87ad52cb38159ce3068907981c2793b2135f0634a521f0a3036
company,1776871495,Vertiv Holdings: The Market Just Handed Long-Term Investors A Gift,139852694,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2261145744/image_2261145744.jpg?io=getty-c-w1536,VRT,SeekingAlpha,"Vertiv (VRT) Q1 2026 earnings: 30% revenue growth, higher 2026 guidance, and AI demand despite overseas weakness. Read the full analysis here.",https://finnhub.io/api/news?id=ac8f6142931dcdf9bb796a4ff3c1901c0e76656932a4c144708a76cd166f1456
