category,datetime,headline,id,image,related,source,summary,url
company,1776893126,Visa Inc. (V) Tempo Blockchain Integration Asserts Stablecoin Opportunities Push,139854613,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"Visa Inc. (NYSE:V) is one of the top S&P 500 stocks by index weight. On April 14, Visa Inc. (NYSE:V) reiterated its commitment to blockchain infrastructure by launching a validator node on the Tempo Blockchain. The integration is an important milestone in the company’s bid to start processing and securing chain payments. The validator node […]",https://finnhub.io/api/news?id=4e8f860025a14a1b1bad07ab48cbd1305c5daed0acb31923bda48932e80242d0
company,1776891600,Conventum Alluvium Global Fund: Q1 2026 Leaders And Laggards,139856509,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2269901324/image_2269901324.jpg?io=getty-c-w1536,V,SeekingAlpha,The Conventum Alluvium Global Fund added Amazon and rebalanced its portfolio amidst market volatility. Read the full analysis for more details.,https://finnhub.io/api/news?id=5774dfcb18119fa6f82d4ed6572a61c2238ccef81025f5ce956faa339771fd5f
company,1776884400,Visa CMO: AI agents are your new customers — here’s how to sell to them,139855775,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"As AI takes over consumer decision-making, companies must rethink everything from product data to brand purpose — or risk being invisible.",https://finnhub.io/api/news?id=6605e2f81303bf7d9c96c83547520ec8401ce0038a18b896175c94d51b336283
company,1776879060,Visa's Q2 Earnings Countdown: Buy the Dip or Wait for the Print?,139858178,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"V is set to report fiscal Q2 results on April 28, with earnings expected to grow 12% and revenue rising 11.5%, but higher costs and incentives could cap upside.",https://finnhub.io/api/news?id=52434b3b07a4b13535106d394f8902e8f61b4510e8778456f3dfdd015e68a3a6
company,1776878197,The Oracle Of OMAH Wins Round One Vs. Berkshire Hathaway,139854279,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/501615404/image_501615404.jpg?io=getty-c-w1536,V,SeekingAlpha,The Solactive VistaShares Berkshire Select Index tracks the 20 largest Berkshire Hathaway (BRK.B) holdings plus BRK.B itself. Read the full analysis here.,https://finnhub.io/api/news?id=4c23939516df7c2c472d38bca0192c752e536c35da2a4d8c6537c0954e947ad0
company,1776872216,Barlow Wealth Partners Reduces its MercadoLibre Stake to Nearly Nothing,139849628,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"MercadoLibre integrates e-commerce, payments, and logistics to serve millions across Latin America’s digital economy.",https://finnhub.io/api/news?id=a4b54b3d89f61769f690aa38d62b8733fbb6791ff38c31da78aa299141fe9655
company,1776867381,DoorDash Crypto: Delivery Firm Plans Stablecoin Payments,139851551,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"DoorDash crypto will soon be a thing after the delivery firm announced it is integrating stablecoin payment functionality via Tempo, a payments-focused Layer-1 blockchain backed by Stripe and Paradigm, enabling faster merchant payouts and cross-border settlements across more than 40 countries. The detail most headlines are missing is what this ...",https://finnhub.io/api/news?id=b4f54d06ea8451ad2ab2a10724194d21b91f41166eaa2990c61d938d7ccec549
company,1776864907,"Airbnb upgraded, Zscaler downgraded: Wall Street's top analyst calls",139848287,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"Airbnb upgraded, Zscaler downgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=272e7a6098ebd7fbb6bf854362273b58af3a077e1518ddcdf442288e59af7132
company,1776862800,Prove Launches Identity Platform as the Trust Layer for an Agentic World,139848385,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"NEW YORK, April 22, 2026--Prove, the leader in digital identity, today launched the Prove Identity Platform℠, a unified platform that transforms identity from a one-time verification event into a persistent foundation of trust, built for a world where people, businesses, and AI agents must all be verified and trusted in real time.",https://finnhub.io/api/news?id=3e6a4786059dac605c26e154291fbb77a27f778cebc7cdf5c6192d9391c041bc
company,1776857280,Wall Street’s Bullish Stocks View Contrasts With Consumer Gloom,139848383,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"(Bloomberg) -- Stocks are trading near a record high, signaling Wall Street is learning to cope with lingering geopolitical risks. Main Street is struggling to catch up.Most Read from BloombergInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersTrump Extends Iran Ceasefire, Keeps Blockade as Talks FalterKuwait Declares Further Force Majeure on Oil ShipmentsTrump Encourages Companies Not to Seek Tariff Ref",https://finnhub.io/api/news?id=7746409425180d484174ce8997aa72e27218d50776608434803d5072442875d3
company,1776854935,"BMO Capital Initiates Coverage On Visa with Outperform Rating, Announces Price Target of $365",139851933,,V,Benzinga,BMO Capital  analyst Andrew Bauch   initiates coverage on Visa (NYSE:V) with a Outperform rating and announces Price Target of $365.,https://finnhub.io/api/news?id=e12845f9977394f3ac9c798b42ffaf25cb6efda39ab96056e6b40fbfcae5154f
company,1776837961,Is Visa (V) Attractively Priced After Recent Global Payments Headlines?,139845174,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"Wondering if Visa at around US$309.94 is a bargain or a trap at current levels? This breakdown aims to help you size up what you are really paying for. Over the past week the stock returned a 0.5% decline, while the 30 day return is 2.8%, set against a year to date return of a 10.5% decline and a 1 year return of a 5.8% decline, with longer term 3 year and 5 year returns of 38.1% and 39.9% respectively. Recent headlines around Visa have focused on its role at the center of global digital...",https://finnhub.io/api/news?id=bdee3670dbddebd035d94b1127c52a10041f0cdddcc9c7f8f709c8c51391226f
