category,datetime,headline,id,image,related,source,summary,url
company,1776877380,"Wabtec Q1 Earnings & Revenues Beat Estimates, Up Y/Y, EPS View Raised",139858287,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WAB,Yahoo,"WAB tops Q1 estimates with strong Freight and Transit growth, boosts full-year EPS outlook amid acquisition-driven sales gains.",https://finnhub.io/api/news?id=9609149ef040f33f0b57bcc9d0294f42e13e0c990396852539432c8737877078
company,1776876413,Westinghouse Air Brake Technologies Corporation Q1 2026 Earnings Call Summary,139851804,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WAB,Yahoo,Moby summary of Westinghouse Air Brake Technologies Corporation's Q1 2026 earnings call,https://finnhub.io/api/news?id=d7f37e25544e08f6e9f8f650623dbc710805d1d3848f3f28c51a7033a1d80f93
company,1776864602,Wabtec (WAB) Reports Q1 Earnings: What Key Metrics Have to Say,139850007,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WAB,Yahoo,"While the top- and bottom-line numbers for Wabtec (WAB) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=2266aca5064b57ff0c8fc637fa1c784afcd53759d06eb741590c377667cc8d67
company,1776858002,Westinghouse Air Brake Technologies (WAB) Beats Q1 Earnings and Revenue Estimates,139848634,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WAB,Yahoo,"Wabtec (WAB) delivered earnings and revenue surprises of +6.14% and +0.46%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=ac0e25132084b4090350a1c2d679c6109efc4a85251b22ffb7a78418ddde565e
company,1776857037,WABTEC CORP (NYSE:WAB) Beats Q1 2026 Earnings Estimates and Raises Full-Year Guidance,139846817,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_17_c249efcc18.webp,WAB,ChartMill,"Wabtec beats Q1 2026 earnings estimates, raises full-year guidance on strong profit growth and record backlog.",https://finnhub.io/api/news?id=14feb9ec3a2c16b5303770c26e9cf9aed029570bd03478586c100c6cc891c30f
company,1776855635,Westinghouse Air Brake Technologies Corporation (WAB) Q1 2026 Earnings Call Transcript,139849321,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,WAB,SeekingAlpha,"Westinghouse Air Brake Technologies Corporation (WAB) Q1 2026 Earnings Call April 22, 2026 8:30 AM EDTCompany ParticipantsKyra Yates - Vice President of...",https://finnhub.io/api/news?id=ce0d0f40234179566e86a27244e94308df038f7b08308d37535335327392043c
company,1776854616,Wabtec (NYSE:WAB) Reports Q1 CY2026 In Line With Expectations,139848635,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WAB,Yahoo,"Rail equipment company Westinghouse Air Brake Technologies (NYSE:WAB) met Wall Street’s revenue expectations in Q1 CY2026, with sales up 13% year on year to $2.95 billion. The company’s outlook for the full year was close to analysts’ estimates with revenue guided to $12.34 billion at the midpoint. Its non-GAAP profit of $2.71 per share was 7.5% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=4ae7dcc7dca1023996469988b98431a6fd14e67d3e235d18d465ee85e06ef31d
company,1776853800,Wabtec Reports First Quarter 2026 Results,139847315,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WAB,Yahoo,"PITTSBURGH, April 22, 2026--Wabtec Corporation (NYSE: WAB) today reported first quarter 2026 GAAP earnings per diluted share of $2.12, up 12.8% versus the first quarter of 2025. Adjusted earnings per diluted share were $2.71, up 18.9% versus the same quarter a year ago. First quarter sales were $2.95 billion and cash from operations was $199 million.",https://finnhub.io/api/news?id=02a477ef32f6754ee7db52101654b3989087d0785b89df344f2430ce08e88c1f
company,1776852320,"Transcript : Westinghouse Air Brake Technologies Corporation, Q1 2026 Earnings Call, Apr 22, 2026",139848720,,WAB,Finnhub,"Presentation Operator MessageOperator Good day, and welcome to the Wabtec First Quarter 2026 Earnings Conference Call. [Operator Instructions]. Please note this event is being recorded. I would now...",https://finnhub.io/api/news?id=8fc1840c73cbf08a8aa66ba9b32e09be1c28e2cfa4592a2d3d38f2d7cc467691
company,1776850658,Transcript: Westinghouse Air Brake Q1 2026 Earnings Conference Call,139853568,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_1.jpg?width=2048&height=1536,WAB,Benzinga, ,https://finnhub.io/api/news?id=d8c7b18d339e8d75c6e967310a2caa132ad632bb3769d040031a00cd16409c2f
company,1776849930,Wabtec beats quarterly profit estimates on higher locomotive deliveries,139848066,,WAB,Finnhub,"Locomotive parts maker Wabtec'sfirst-quarter adjusted profit beat Wall Street estimateson Wednesday, with the company saying it benefited from higherlocomotive deliveries that led to robust demand...",https://finnhub.io/api/news?id=343ca6f0a076b1d795a6be4f4474e041bd14cc5f60f8b55fc1d8bc94b61308ef
