category,datetime,headline,id,image,related,source,summary,url
company,1779827958,Stocks Finish Mostly Higher on Iran Peace Progress,140429485,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADI,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=5f2613d75eb06dea81fb17d1dca0dc03715b5a3ef379ed16866bdd721e0e13c4
company,1779813238,Congressman Sells Take-Two Stock Before 'GTA VI' Release Date: Here's How Much He Made,140425888,https://cdn.benzinga.com/files/images/story/2026/05/26/GTA6-GrandTheftAuto.jpeg?width=2048&height=1536,ADI,Benzinga,A Congressman sold Take-Two stock months before the release of &#34;GTA VI.&#34; Here&#39;s how much he made from the trade.,https://finnhub.io/api/news?id=c845cca370cbf7b7c8b2071e7e782dd1106c027644cb799734f9933fb1fd557d
company,1779808320,S&P 500 and Nasdaq 100 Climb to Record Highs on Tech Stock Strength,140426018,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADI,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is up +0.81%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is down -0.10%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is up +1.74%. June E-mini S&P futures (ESM26 ) are up +0.77%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=b89c95c93a3e4a64c9853e8bf11220b0b47779f86b253caeaab2186816ad7316
company,1779805320,Analog Devices' AI Data Center Momentum Builds: What Lies Ahead?,140421219,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADI,Yahoo,ADI's AI data center revenues surge 90% as demand for optical and power solutions drives record sales and margin expansion.,https://finnhub.io/api/news?id=df84486b0fc0ac82501d1c97653458adee43c7ee086e91ec21ab6ea2dd6f9dc2
company,1779804588,Stocks Jump on US-Iran Peace Optimism,140424988,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADI,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is up +0.72%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is up +0.31%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is up +1.42%. June E-mini S&P futures (ESM26 ) are up +0.62%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=4a5cb956b25fe4aeca9356205a975c58ad2c709311bc4fe36a667e3edff06f46
company,1779803727,"BofA flags 3 chip stocks tied to AI power, 800V and analog demand",140420443,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADI,Yahoo,"Investing.com -- Bank of America highlighted 3 names as its top picks in the analog semiconductor space on Friday, raising price targets on two of the three and arguing that the market continues to underappreciate the content gains tied to the shift to 800-volt data center architecture.",https://finnhub.io/api/news?id=1109536ff4f8f063ce94af8f3dd02ce5dfba283509fcfbdf226c0959202c88f6
company,1779803491,"JP Morgan Maintains Overweight on Analog Devices, Raises Price Target to $450",140432460,,ADI,Benzinga,JP Morgan  analyst Harlan Sur   maintains Analog Devices (NASDAQ:ADI) with a Overweight and raises the price target from $400 to $450.,https://finnhub.io/api/news?id=d3ba8cfd1c22f4adf7b0abf5073ca528345e1207e28b270d95cdbfe1b15cf646
company,1779802204,Is It Worth Investing in Analog Devices (ADI) Based on Wall Street's Bullish Views?,140422767,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADI,Yahoo,"According to the average brokerage recommendation (ABR), one should invest in Analog Devices (ADI). It is debatable whether this highly sought-after metric is effective because Wall Street analysts' recommendations tend to be overly optimistic. Would it be worth investing in the stock?",https://finnhub.io/api/news?id=17ac5908bd7f27fc056d70056d93496c32c92ebf0abbb628e6151fadb175fc57
company,1779798029,"AI Chip Stocks Jump as Qualcomm Explodes Higher, AMD Leads Semiconductor Rally",140420201,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADI,Yahoo,AMD Climbs as Qualcomm Ignites Chip Sector: AI Bets Drive Market Rally,https://finnhub.io/api/news?id=9506ab8bbd0682524bf217dee768f143e2bf57f484df3fdac8e7b6e594ce4939
company,1779794486,"The AI Bubble That Isn't: Why Nvidia, Micron Still Look Cheap",140421589,https://cdn.benzinga.com/files/images/story/2026/05/26/Micron-Technology-Logo-Displayed-On-A-Mo_2.jpeg?width=2048&height=1536,ADI,Benzinga,"BofA says company fundamentals do not support the semiconductor bubble narrative. Nvidia, Micron and Credo trade below historical P/E.",https://finnhub.io/api/news?id=95534efdc1806eb9bac19c03cd459dd69e21b60b9ac8412d1f66df63b08d02e5
