category,datetime,headline,id,image,related,source,summary,url
company,1779833248,Why Qualcomm (QCOM) Stock Is Up Today,140427243,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,Shares of wireless chipmaker Qualcomm (NASDAQ:QCOM) jumped 3.5% in the afternoon session after Micron's UBS-led surge ignited a semiconductor rally.,https://finnhub.io/api/news?id=28b34e3fdf758094f71413be59e1097995ba722eb8464d641bbe1114edff0cd0
company,1779832816,"SOXL Lost 90 Percent in 2022 While Semiconductors Themselves Fell 35 Percent, And the Daily Reset Math Hasn’t Changed",140426400,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,"Semiconductors have been the trade of 2026, and the Direxion Daily Semiconductor Bull 3X Shares (NYSEARCA:SOXL) has been the vehicle retail traders keep reaching for. SOXL is up about 291% year to date and roughly 792% over the past year, and inflows have followed the chart. The same math that produced those gains produced a ... SOXL Lost 90 Percent in 2022 While Semiconductors Themselves Fell 35 Percent, And the Daily Reset Math Hasn’t Changed",https://finnhub.io/api/news?id=4a2edf4f4d92318b84bf9fda6e2de574f56dbea568191232c6138271592dddaf
company,1779832768,"Allegro MicroSystems and Penguin Solutions Stocks Trade Up, What You Need To Know",140426306,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,A number of stocks jumped in the afternoon session after Micron's UBS-led surge ignited a semiconductor rally.,https://finnhub.io/api/news?id=9b36bb564df6b0669ded5e322676f792783b2e804629e5e6d7d96d2712a08376
company,1779832722,"Cathie Wood Pours $8.5M Into Cerebras Amid Buzz Around AI Chip Upstart, Won't Stop Dumping AMD",140434656,https://cdn.benzinga.com/files/images/story/2026/05/26/New-York-City--New-York---July-14-2025-A.jpeg?width=2048&height=1536,AMD,Benzinga,"On Tuesday, May 26, 2026, Ark bought $8.5M in Cerebras and shed $2.7M worth of AMD shares on Tuesday.
",https://finnhub.io/api/news?id=81c39dcec72f0c02d348fd1385eb549c6e63c80f5288539a183fc82c197d5860
company,1779831411,"Stock Market Today, May 26: Soaring Tech Stocks Push S&P 500 and Nasdaq to New Highs",140425972,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,"On May 26, 2026, Micron’s surge helped propel the S&P 500 and Nasdaq to fresh records even as the Dow lagged.",https://finnhub.io/api/news?id=80d4bc7609ed96189e5448f79e8735a3bebfefa533f4cbcc8858a0a8fcb9e3e0
company,1779830478,"Micron Technology, Zscaler, Redwire, Intuitive Machines And AMD: Why These 5 Stocks Are On Investors' Radars Today",140433714,https://cdn.benzinga.com/files/images/story/2026/05/26/Futuristic-Stock-Exchange-Scene-With-Mob.jpeg?width=2048&height=1536,AMD,Benzinga,"MU, ZS, RDW, LUNR, AMD were among the stocks seen trending on Tuesday, May 26, 2026.",https://finnhub.io/api/news?id=9aa750c77354d06035476b1021d4de377cc56755451cb0319243ab96917bf927
company,1779830208,Stop Looking at Earnings: The Real Threat to AI Stocks Is the Collapse of Compute Prices,140429087,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,"The real threat to the tech sector isn't a lack of AI ideas, but a classic economic shock. The overproduction of computing power.",https://finnhub.io/api/news?id=770c8f2a940d719a84846f6a14fc4bd18dd69918da40797a5da4b5a32afef7b1
company,1779829954,OneQode Deal Highlights AMD AI Expansion Beyond Hyperscaler Data Centers,140426015,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,"OneQode has partnered with Advanced Micro Devices (NasdaqGS:AMD) to deploy AMD Instinct GPUs and Helios rack-scale solutions. The rollout targets global AI infrastructure needs, with a focus on high-performance compute, low latency, and sovereignty-focused workloads. This agreement extends AMD's AI data center reach beyond traditional hyperscaler customers into new regions and use cases. For investors tracking NasdaqGS:AMD, this partnership comes at a time when the stock is trading at...",https://finnhub.io/api/news?id=8309d031ded3d820121afd1f168022be3db5be568feec8a883654bf4e8afd79f
company,1779828286,Qualcomm Is Teaming Up With ByteDance. What It Means for QCOM Stock,140429114,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,Qualcomm shares gain on reports of a landmark AI chip deal with TikTok-parent ByteDance. Here’s what the reported agreement really means for QCOM stock in 2026.,https://finnhub.io/api/news?id=ab66899aac826aff04683927086c9ae9ed7f04c75f875e14e38a3181a2efc97e
company,1779827958,Stocks Finish Mostly Higher on Iran Peace Progress,140429485,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=5f2613d75eb06dea81fb17d1dca0dc03715b5a3ef379ed16866bdd721e0e13c4
