category,datetime,headline,id,image,related,source,summary,url
company,1779837903,My Dividend Stock Portfolio: New April Dividend Record - 100 Holdings With 5 Buys,140428960,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213764535/image_1213764535.jpg?io=getty-c-w1536,BAC,SeekingAlpha,April net investment activity reached a multi-year low. Read what prompted a cautious approach and check out the dividend portfolio here.,https://finnhub.io/api/news?id=ff16c6fa1c12ce27bb41bdcfe4a2660e2f2d3947f09ba109ccf8944ceed7160b
company,1779825660,Lakefront Receives Transparency Notification from Bank of America,140426042,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Mechelen, Belgium; May 26, 2026, 22.01 CET; regulated information – Lakefront Biotherapeutics NV (Euronext & NASDAQ: LKFT) received a transparency notification from Bank of America. Pursuant to Belgian transparency legislation1, Lakefront received a transparency notification from Bank of America Corporation on May 20, 2026. The notification indicates that Bank of America Corporation, as controlling entity, crossed above the threshold of 5% of Lakefront’ voting rights on May 13, 2026, following t",https://finnhub.io/api/news?id=4aa84ad68a9886c1fc34d0cacdc765079d1efec75a693e0235f3ae1f664d5a43
company,1779822986,Oklo Stock Gets a New ‘Buy’ Rating from Bank of America: It’s an ‘Early Leader’,140428199,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,Oklo gained fresh momentum after Bank of America backed its growing nuclear energy footprint amid AI-driven demand.,https://finnhub.io/api/news?id=104f754d3f5908d592c6df8bbb5705a5e023d5306b6fd87f9d283784d0e4477e
company,1779822985,Why The Narrative Around PennyMac Mortgage Investment Trust (PMT) Is Shifting As Analysts Recalibrate Expectations,140424374,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"PennyMac Mortgage Investment Trust has seen its fair value price target adjusted from $13.14 to $12.61, a trim that narrows the implied upside versus earlier assumptions. This move fits with recent analyst commentary that appears more balanced, with several firms refining their valuation work and taking a more selective stance on the stock. As you read on, you will see how these shifting targets fit into the broader story and what to watch as the narrative continues to evolve. Stay updated as...",https://finnhub.io/api/news?id=1e2de816670f355b5cc26858abb160f280d48cb07df5fc857dca887760998084
company,1779822780,Bank of America resets Apple stock price target on AI update,140424194,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Apple has spent much of 2026 defending itself. Tariff concerns. Questions about AI pace. A market that has rewarded louder AI stories more generously. The stock has still gained over 50% in the past 12 months, but the narrative has been harder to hold. On May 26, Bank of America analyst Wamsi Mohan ...",https://finnhub.io/api/news?id=9d270665ca43a5c4d3c0ac97c8dcc2f82a9b845aabcc4c6052d36923476a669c
company,1779819466,BofA revamps Eli Lilly stock price target for rest of 2026,140424273,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,Why Analysts See Eli Lilly as a Long-Term Winner in the Weight-Loss Race,https://finnhub.io/api/news?id=59c4d989cfb67ac3da08dc7ed19e44cdd47afb4ff19626f06bf12bf5ce352035
company,1779815968,Q1 Earnings Outperformers: Bank of America (NYSE:BAC) And The Rest Of The Diversified Banks Stocks,140422705,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,Let’s dig into the relative performance of Bank of America (NYSE:BAC) and its peers as we unravel the now-completed Q1 diversified banks earnings season.,https://finnhub.io/api/news?id=aebcddc3a866cfd6035753cd45094b731d2b0f462e8cc515f145cd11a7b66115
company,1779814603,"Rocket, Satellite Stocks Surge as SpaceX IPO Fuels Euphoria",140422706,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"(Bloomberg) -- Space and satellite-related stocks soared Tuesday as investor enthusiasm around the industry intensified after Elon Musk’s SpaceX filed for a public offering last week.Most Read from BloombergIran’s Khamenei Says No Going Back for Middle East Rocked by WarUS Strikes Targets in Iran Even as Trump Hails Progress on DealRussia Tells US to Evacuate Its Diplomats and Citizens From KyivThese AI Gurus Are Charging Wall Street Banks $25,000 a DayPutin Signs Law on Use of Army to Aid Russi",https://finnhub.io/api/news?id=27b710d8bb90ff24090774039ce7e80ab704669bc513baadd741769d3a55e7e0
company,1779814200,3 Stocks Worth Owning No Matter What the Market Does for the Next 20 Years,140422707,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,These three stocks have unique and exciting growth trajectories.,https://finnhub.io/api/news?id=342d3388a32b64fb09e4f6b8a54df98bd818cf5d4a2890071cb37c29aa99a550
company,1779812220,BofA makes blunt call on HOKA-parent Deckers stock price after earnings,140422708,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Deckers Outdoor (DECK) walked into its earnings night with everything a footwear company could want. Record fiscal 2026 revenue, record EPS, a blockbuster $3.5 billion buyback authorization, and a fiscal 2027 outlook that came in above Wall Street's consensus. Then, Bank of America trimmed its ...",https://finnhub.io/api/news?id=5ef01fe2bf6b7841149910d89a296a63c697a088b69d77132a1c18965510303d
