category,datetime,headline,id,image,related,source,summary,url
company,1779837903,My Dividend Stock Portfolio: New April Dividend Record - 100 Holdings With 5 Buys,140428960,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213764535/image_1213764535.jpg?io=getty-c-w1536,CSCO,SeekingAlpha,April net investment activity reached a multi-year low. Read what prompted a cautious approach and check out the dividend portfolio here.,https://finnhub.io/api/news?id=ff16c6fa1c12ce27bb41bdcfe4a2660e2f2d3947f09ba109ccf8944ceed7160b
company,1779832440,AI Buildout Fuels Record Results for These Companies,140427247,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Both Cisco Systems (CSCO) and NVIDIA (NVDA) delivered robust earnings releases this cycle, posting record results thanks to favorable trends stemming from the AI buildout.",https://finnhub.io/api/news?id=6680fa2cc70202dae5c8b58d1e242cb540aa977c7bf371010dfeb98b1a60fd6d
company,1779823447,"Cisco Soars 32% in a Month, Arista Falls 10%, Broadcom Drifts: The AI Networking Trade Has a Clear Winner",140424207,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"The AI networking trade has produced one of the sharpest leadership shifts of the year, and it favors the name many investors had written off. Over the past month, Cisco Systems (NASDAQ:CSCO) stock has surged 32%, while Arista Networks (NYSE:ANET) stock has slumped 10% and Broadcom (NASDAQ:AVGO) stock has essentially drifted sideways. Today’s midday session ... Cisco Soars 32% in a Month, Arista Falls 10%, Broadcom Drifts: The AI Networking Trade Has a Clear Winner",https://finnhub.io/api/news?id=e677dfc6ce51f491fd358f1737111902885a3d69025cffa0aa3b975c9d7f3654
company,1779822601,Stay informed with the top movers within the dow jones index on Tuesday.,140423866,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CSCO,ChartMill,Stay updated with the movement of dow jones stocks in today's session. Discover which dow jones stocks are making waves on Tuesday.,https://finnhub.io/api/news?id=55e94b72a3ea22cf4da6731b84661fe5d26aa3d6a8706499fbc47931158ffe58
company,1779814069,Dow Hits Fresh Record High as Iran Easing Hopes Lift Stocks,140422615,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Dow Surges to Record as Nvidia, Amazon Drive Market Momentum",https://finnhub.io/api/news?id=acba51121d455b113b321d52bb9fdb85424124b6e4053fdfe687f9a6d32a56ae
company,1779813601,Exploring the top movers within the dow jones index during today's session.,140421782,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CSCO,ChartMill,Wondering what's happening in today's session for the dow jones index? Stay informed with the top movers within the dow jones index on Tuesday.,https://finnhub.io/api/news?id=b44363f0b91318385037e0556dcb04ad2f89968b617236734981e2817a8aece9
company,1779804060,Nvidia Sales Growth Looks Like Cisco. That’s Not Necessarily a Bad Thing.,140421296,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Comparing  Nvidia  to  Cisco Systems  is a controversial topic.  Nvidia’s sales growth this decade has looked similar to Cisco’s in its 1990s heyday, according to Ned Davis Research Group ‘s chief thematic strategist Pat Tschosik.  After Cisco’s sales growth peaked in the second quarter of 1996, it then went through seven quarters of growth deceleration, before then accelerating for 12 quarters.",https://finnhub.io/api/news?id=6c5d236a8ae1b7ae59c7862a37560cce046b86ca93d56f72a15d4e6e04cafa32
company,1779802671,"B of A Securities Maintains Buy on Cisco Systems, Raises Price Target to $135",140426918,,CSCO,Benzinga,B of A Securities  analyst Tal Liani   maintains Cisco Systems (NASDAQ:CSCO) with a Buy and raises the price target from $114 to $135.,https://finnhub.io/api/news?id=2eda037a01ce4c80f2d76c57082ad3c1c4d717100dd7a1d2f446a4f2c6e8d598
company,1779800975,"BofA raises Cisco, Ciena targets as AI optics boom accelerates",140420229,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Investing.com -- Bank of America analysts have raised their price targets for Cisco Systems and Ciena, citing surging demand for high-speed optical networking equipment driven by artificial intelligence infrastructure expansion.",https://finnhub.io/api/news?id=78aa16cd7a21308e8f0d28f05dbe8a66bd3b2a9326ea0b48425195b6f692e82c
company,1779798077,Trading the tech boom: The Committee's top strategies,140421961,https://image.cnbcfm.com/api/v1/image/108312033-17798121891779812184-46177391379-1080pnbcnews.jpg?v=1779812188&w=1920&h=1080,CSCO,CNBC,The Investment Committee discuss how they're trading the tech boom and share the best strategies to navigate the high-flying sector.,https://finnhub.io/api/news?id=eac1661916724f17f464b4969d18e785a32e0d0ebdac84889c49a2a805802133
company,1779798000,Orla Mining and BitFuFu have been highlighted as Zacks Bull and Bear of the Day,140420230,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,Orla Mining's rising earnings estimates and expanding gold production pipeline stand out as BitFuFu faces volatile mining economics.,https://finnhub.io/api/news?id=381359840c3cd4e39c0f9ea291824e9eff15fb02f55edf35dd79ad6ed215a3d4
company,1779759433,CNBC Daily Open: Markets optimism tested by fresh Iran strikes,140421955,https://image.cnbcfm.com/api/v1/image/108309579-1779267017421-gettyimages-2269457397-AFP_A6UX2BA.jpeg?v=1779267078&w=1920&h=1080,CSCO,CNBC,"U.S. officials suggested a deal with Iran is near, but strikes continue, creating a complex trading picture for Wall Street's reopening. ",https://finnhub.io/api/news?id=18a93618f2ce947cad108ed714077fb4814633b13f95ee1bce6b7f50290e5c01
