category,datetime,headline,id,image,related,source,summary,url
company,1779822601,Stay informed with the top movers within the dow jones index on Tuesday.,140423866,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,DIS,ChartMill,Stay updated with the movement of dow jones stocks in today's session. Discover which dow jones stocks are making waves on Tuesday.,https://finnhub.io/api/news?id=55e94b72a3ea22cf4da6731b84661fe5d26aa3d6a8706499fbc47931158ffe58
company,1779813601,Exploring the top movers within the dow jones index during today's session.,140421782,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,DIS,ChartMill,Wondering what's happening in today's session for the dow jones index? Stay informed with the top movers within the dow jones index on Tuesday.,https://finnhub.io/api/news?id=b44363f0b91318385037e0556dcb04ad2f89968b617236734981e2817a8aece9
company,1779808380,Disney World Strikes Back in 2026,140421167,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,The world's most visited theme park resort is brimming with new experiences this summer.,https://finnhub.io/api/news?id=d537fbafab48820a7a62691ca0bde4e49240b384c399880bd54d4da28455eb5c
company,1779803835,AI is rewiring digital media’s power structure,140420307,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"AI is restructuring how media is produced, distributed, and monetised, forcing platforms to compete less on content scale and more on control of discovery, speed, and trust.",https://finnhub.io/api/news?id=0497d4b0d921c85923db475556a16ffc56e23a101abcdb07fedbc67428ac8768
company,1779800400,Nift Adds Former Disney and ESPN Executive as Commerce Media Platform Accelerates Growth,140420308,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"Nift appoints Marc Mallett as Senior Partner Sales Director Former Disney and ESPN executive Marc Mallett joins Nift BOSTON, May 26, 2026 (GLOBE NEWSWIRE) -- Nift, the commerce media platform helping companies create trusted, opt-in customer experiences, today announced the appointment of Marc Mallett as Senior Partner Sales Director. Mallett joins Nift following leadership roles at Disney Advertising and ESPN, where he helped scale Disney’s automated advertising business to more than $1 billion",https://finnhub.io/api/news?id=81525d2062b5def90b9a0be76618163cd58c13295b1f0eaed802b0f0a6e76f11
company,1779799636,Disney's Star Wars Return Opens With $102 Million,140420309,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,The Mandalorian and Grogu tops the holiday box office but ranks among lower Star Wars debuts under Disney.,https://finnhub.io/api/news?id=7f6f3ca820a13b1888088c0415aef4b82170c2acb1bf7dcbd6d5a9dc6e971a39
company,1779796180,IMAX CEO Richard Gelfond on sale reports and box office outlook,140421962,https://image.cnbcfm.com/api/v1/image/108312007-17798104101779810406-46176999786-1080pnbcnews.jpg?v=1779810409&w=1920&h=1080,DIS,CNBC,"IMAX CEO Richard Gelfond joins CNBC’s ‘Squawk on the Street’ to discuss reports that the company is exploring a sale, the box office outlook, and more.",https://finnhub.io/api/news?id=b594464574fed318dd5aa8d3540657ed11dc3a1056ab8acdf2e9c7d8b487dc4b
company,1779792060,Markets Are Focused on Iran War. Peace Won’t Fix the Inflation Problem.,140419416,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"Nvidia’s Huang has a plan, consumer sentiment hovers near five-year low, Ferrari unveils electric car, and more news to start your day.",https://finnhub.io/api/news?id=8303d7ba64ca4756e4b7b30d8c6083659cda94e466088b63699cece267cb1ca2
company,1779783161,"The Warsh era begins, U.S. strikes Iran, summer travel's record cost and more in Morning Squawk",140421954,https://image.cnbcfm.com/api/v1/image/108311440-1779481838127-gettyimages-2277724961-rs2_7413_husnm7hb.jpeg?v=1779481918&w=1920&h=1080,DIS,CNBC,Here are five key things investors need to know to start the trading day.,https://finnhub.io/api/news?id=ae571c85239a2f23802e2c76393e3bb1c09fd026c4fe0f968593d583a58263d5
company,1779769750,Is It Time To Revisit Disney (DIS) After A Five Year Share Price Slump?,140418999,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"Wondering whether Walt Disney stock at around US$103 still lines up with the story you have in mind for the company, or if the price now suggests a very different opportunity or risk profile. The stock is roughly flat over the past month with a 0.4% gain, after a decline of 7.9% year to date and a 5.1% decline over the past year, which contrasts with a 19.4% gain over three years and a 41.0% decline over five years. Recent coverage has focused on Walt Disney's ongoing efforts to balance its...",https://finnhub.io/api/news?id=be5c11125d6fd0de663f9cd14908cba363dba0401bf4e57c6aac9eb092e2a4e9
company,1779761810,Disney World opens a key new attraction early,140417270,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"Walt Disney does not always give families a heads-up when something new is ready at one of its theme parks. Sometimes it just opens the doors. That is what happened at Animal Kingdom, where one of the most talked-about new experiences at Walt Disney World quietly welcomed its first guests ahead of ...",https://finnhub.io/api/news?id=9f2885b08822f6878a64c552c1703258c5ec15a601cf190973c31597db88948c
