category,datetime,headline,id,image,related,source,summary,url
company,1779833729,How Google’s $15 Billion Missouri AI Data Hub Strategy Could Reshape Alphabet’s (GOOGL) Investor Narrative,140427259,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"In May 2026, Google announced a US$15.00 billion investment in new infrastructure across Missouri, anchored by a New Florence data center that emphasizes grid-resilient power sourcing, advanced air-cooling, and community-focused programs such as a US$20.00 million Energy Impact Fund and large-scale workforce training initiatives. By funding all incremental energy infrastructure it requires while helping lower local household utility bills, Google is using its AI-driven data center expansion...",https://finnhub.io/api/news?id=7d37f0cc103155dbbba5f9ae160a16f098b33f7502935db108ff2c12b157a4cc
company,1779831411,"Stock Market Today, May 26: Soaring Tech Stocks Push S&P 500 and Nasdaq to New Highs",140425972,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"On May 26, 2026, Micron’s surge helped propel the S&P 500 and Nasdaq to fresh records even as the Dow lagged.",https://finnhub.io/api/news?id=80d4bc7609ed96189e5448f79e8735a3bebfefa533f4cbcc8858a0a8fcb9e3e0
company,1779829571,Tracking David Tepper's Appaloosa Management Portfolio - Q1 2026 Update,140427982,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/591792278/image_591792278.jpg?io=getty-c-w1536,GOOG,SeekingAlpha,Appaloosa Managementâs Q1 2026 13F: portfolio shrank to $5.93B as AMZN stake doubled; cuts to BABA/META and new buys. Read more here.,https://finnhub.io/api/news?id=f3b096aba99704db0818ac31ffb9f2d9f501480717333f82eadc18198809613f
company,1779829200,Google-backed stock jumps after new AI deal,140425973,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,Shares of TeraWulf (Nasdaq: WULF) surged during market hours on May 26 after the Bitcoin miner-turned-AI infrastructure company announced the acquisition of a hyperscale high-performance computing site. TeraWulf is a United States-based digital infrastructure company founded in 2021 by energy ...,https://finnhub.io/api/news?id=db48aaeccdf9d1a8e6218f3ab5773327eefc60cb637999554b7b233c76168706
company,1779828252,Why the market could be in 'the most logical' bubble in history,140425974,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"As the Nasdaq Composite (^IXIC) and S&P 500 (^GSPC) are on track to close Tuesday's session at new records, the AI trade and rallies in chip stocks continue to be the biggest catalysts for markets trading at all-time highs. Ritholtz Wealth Management director of institutional asset management Ben Carlson examines the broader trends dictating market moves.",https://finnhub.io/api/news?id=ae8d40fbbe485b11357362ea84f67091334a6b45abe316b77c9021c91fc9623f
company,1779826777,"RPG Investment Advisory Opens Centrus Energy Stake Valued at $9 Million, According to Recent SEC Filing",140425950,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"Centrus gives investors rare exposure to the bottleneck behind nuclear fuel: uranium enrichment. The next hurdle is turning contracts, centrifuge manufacturing, and the Piketon expansion into production capacity.",https://finnhub.io/api/news?id=30db9af9688b5f339249e542e6edc06e1513b9b70be27f5939c6e75c43c3e044
company,1779826708,Billionaire Stanley Druckenmiller Just Sold 2 Key AI Stocks. He Bought Broadcom Instead.,140429091,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"Broadcom is attracting fresh attention after Duquesne initiated a new AVGO position, while the company’s AI semiconductor revenue continues to accelerate.",https://finnhub.io/api/news?id=a8f8c454c66b04804a6e87052f7aa17ca16cbdc2a43540355662299f4408ab3a
company,1779825746,Magnificent Seven Post Best Earnings In Nearly 5 Years. Sign Of A Bubble?,140425953,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"The Magnificent Seven's first-quarter earnings are in the books, and the seven companies registered their best profit growth in nearly five years.  All remain pillars of the S&P 500 index.  Collectively, Mag 7 earnings jumped 63.2% year over year, according to a report from FactSet.",https://finnhub.io/api/news?id=b8b62b71e0ab8fc9256ecae2f378a0644d35f78c608ebd2c8578145f04b02137
company,1779820381,OpenRouter more than doubles valuation to $1.3B in a year,140424218,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,OpenRouter has raised a $113 million Series B led by CapitalG. Its 5x growth in usage over six months indicates the multi-AI-model future is here.,https://finnhub.io/api/news?id=0b0c20db9d34bd8d65033392e82e4ffb8585ad0535b1c962eb5d54a229521b7b
company,1779819471,"Wall Street AI Trainers Charge $25,000 a Day as Banks Cut Jobs",140424219,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,Former SoftBank investors train banks and funds on AI workflows while Wall Street accelerates automation and workforce reductions.,https://finnhub.io/api/news?id=1969d7806c029354c41af2b482e373f4ec1c98e867ae1950482b8684d8ca7a67
