category,datetime,headline,id,image,related,source,summary,url
company,1779837903,My Dividend Stock Portfolio: New April Dividend Record - 100 Holdings With 5 Buys,140428960,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213764535/image_1213764535.jpg?io=getty-c-w1536,HD,SeekingAlpha,April net investment activity reached a multi-year low. Read what prompted a cautious approach and check out the dividend portfolio here.,https://finnhub.io/api/news?id=ff16c6fa1c12ce27bb41bdcfe4a2660e2f2d3947f09ba109ccf8944ceed7160b
company,1779822601,Stay informed with the top movers within the dow jones index on Tuesday.,140423866,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,HD,ChartMill,Stay updated with the movement of dow jones stocks in today's session. Discover which dow jones stocks are making waves on Tuesday.,https://finnhub.io/api/news?id=55e94b72a3ea22cf4da6731b84661fe5d26aa3d6a8706499fbc47931158ffe58
company,1779818456,"Dow rises 200 points to record as oil declines, but a pause in the chip rally weighs on the S&P 500: Live updates",140434109,https://image.cnbcfm.com/api/v1/image/108312515-1779891731515-108312515-1779891659135-gettyimages-2277824598-AFP_B47M9EE.jpg?v=1779893518&w=1920&h=1080,HD,CNBC,The S&P 500 and Nasdaq Composite rose to fresh intraday and closing records on Tuesday.,https://finnhub.io/api/news?id=3ecb1f50aaa926a18a8a2c0f2346f5af5db43cc335b49a3e946d3cd17cd88697
company,1779818095,A Bright Spot in Home Depot’s Earnings,140424385,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HD,Yahoo,One small detail in Home Depot’s earnings report should bode well for the beleaguered home improvement retailer.,https://finnhub.io/api/news?id=3c8860def40cb8e811d073f7bcb9ba51b1716fd0e78ded4375cd355b05fd462e
company,1779813601,Exploring the top movers within the dow jones index during today's session.,140421782,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,HD,ChartMill,Wondering what's happening in today's session for the dow jones index? Stay informed with the top movers within the dow jones index on Tuesday.,https://finnhub.io/api/news?id=b44363f0b91318385037e0556dcb04ad2f89968b617236734981e2817a8aece9
company,1779804280,TD Cowen Says The Home Depot (HD) Delivered Solid Execution in Challenging Market,140421304,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HD,Yahoo,"The Home Depot, Inc. (NYSE:HD) is included among the Dividend Stock Portfolio For Retirement: Top 12 Stock Picks. On May 20, TD Cowen lowered its price recommendation on The Home Depot, Inc. (NYSE:HD) to $375 from $450. It reiterated a Buy rating on the shares. The firm said first-quarter results were broadly in line with […]",https://finnhub.io/api/news?id=b2740837cd2186496c00dff3860cd899599bdd62726f7f6ed85b2f616c36f4b4
company,1779802539,10 Consumer Discretionary Stocks With Whale Alerts In Today's Session,140423653,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_1.jpg?width=2048&height=1536,HD,Benzinga, ,https://finnhub.io/api/news?id=b4f3239a4d885cb5243297f61c9b31eb7ce7fa8f5dfd54e90d1faf6939a09e7d
company,1779800405,"Is Trending Stock The Home Depot, Inc. (HD) a Buy Now?",140421305,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HD,Yahoo,"Home Depot (HD) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",https://finnhub.io/api/news?id=b84e7149a8b5b122f0a4c438d03c727dbb0b8c0d99d85f13f07b4dc6b1344475
company,1779786949,2 Dow Jones Stocks to Research Further and 1 We Turn Down,140418965,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HD,Yahoo,"The Dow Jones (^DJI) is home to corporate giants, but size alone doesn’t guarantee success. A few of these companies are struggling with weak fundamentals, paradigm shifts, or poor execution.",https://finnhub.io/api/news?id=bc23ca105f89b6a2256bb496848a151b890e239a925e75a7a3acefa39aa705dd
company,1779781659,5 Must-Read Analyst Questions From Home Depot’s Q1 Earnings Call,140418979,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HD,Yahoo,"Home Depot’s first quarter results for 2026 met Wall Street’s revenue expectations and delivered a modest adjusted earnings per share beat, with market reaction remaining largely unchanged. Management attributed the quarter’s performance to continued growth in its Pro segment, ongoing investments in digital platforms, and positive engagement in spring-related categories, despite persistent caution among consumers regarding larger discretionary projects. CEO Ted Decker emphasized that, while unde",https://finnhub.io/api/news?id=8fb47c1924b974d0ee5a49cf40baf3e2c1011a87c66fb1cea20dd70e5cac9c05
company,1779779292,Home Depot Sales Recovery And Mingledorff’s Deal Strengthen Pro Growth Story,140418980,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HD,Yahoo,"Home Depot (NYSE:HD) has recorded a sixth consecutive quarter of positive U.S. same-store sales. This performance brings its comparable sales in line with key rival Lowe's after a prior period of relative weakness. Home Depot has agreed to acquire Mingledorff’s, an HVAC distributor, expanding its reach with professional customers. For investors watching the home improvement sector, NYSE:HD sits at the center of consumer DIY demand and professional construction activity. The recent run of...",https://finnhub.io/api/news?id=9640daac555d25093077657b573fd6f3ecc01e84a885758f7cde5f150082cca5
