category,datetime,headline,id,image,related,source,summary,url
company,1779838297,Why GE Vernova Stock Triumphed on Tuesday,140427238,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,It's doing very well with a product line crucial to its success.,https://finnhub.io/api/news?id=c771ce0d87a93763fd9756ba67350b325b3e77716b99c60bc583223ecfa475e4
company,1779837903,My Dividend Stock Portfolio: New April Dividend Record - 100 Holdings With 5 Buys,140428960,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213764535/image_1213764535.jpg?io=getty-c-w1536,INTC,SeekingAlpha,April net investment activity reached a multi-year low. Read what prompted a cautious approach and check out the dividend portfolio here.,https://finnhub.io/api/news?id=ff16c6fa1c12ce27bb41bdcfe4a2660e2f2d3947f09ba109ccf8944ceed7160b
company,1779834159,60 Thoughts as I Turn 60,140427242,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"To mark his 60th birthday, Motley Fool co-founder David Garner delivers 60 thoughts on investing, business, and life.",https://finnhub.io/api/news?id=044aca65d1b85ad8c8e3618668b13625cb76d5519497d42c966ef30216cb569b
company,1779833248,Why Qualcomm (QCOM) Stock Is Up Today,140427243,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,Shares of wireless chipmaker Qualcomm (NASDAQ:QCOM) jumped 3.5% in the afternoon session after Micron's UBS-led surge ignited a semiconductor rally.,https://finnhub.io/api/news?id=28b34e3fdf758094f71413be59e1097995ba722eb8464d641bbe1114edff0cd0
company,1779832816,"SOXL Lost 90 Percent in 2022 While Semiconductors Themselves Fell 35 Percent, And the Daily Reset Math Hasn’t Changed",140426400,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"Semiconductors have been the trade of 2026, and the Direxion Daily Semiconductor Bull 3X Shares (NYSEARCA:SOXL) has been the vehicle retail traders keep reaching for. SOXL is up about 291% year to date and roughly 792% over the past year, and inflows have followed the chart. The same math that produced those gains produced a ... SOXL Lost 90 Percent in 2022 While Semiconductors Themselves Fell 35 Percent, And the Daily Reset Math Hasn’t Changed",https://finnhub.io/api/news?id=4a2edf4f4d92318b84bf9fda6e2de574f56dbea568191232c6138271592dddaf
company,1779832768,"Allegro MicroSystems and Penguin Solutions Stocks Trade Up, What You Need To Know",140426306,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,A number of stocks jumped in the afternoon session after Micron's UBS-led surge ignited a semiconductor rally.,https://finnhub.io/api/news?id=9b36bb564df6b0669ded5e322676f792783b2e804629e5e6d7d96d2712a08376
company,1779832620,Here's Who Shouldn't Invest in SpaceX,140427246,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"SpaceX is a highly recognizable name, but that doesn't mean everyone should buy shares.",https://finnhub.io/api/news?id=80f5c754aa19e0c4ceab4d017cc93aaa506687b99f5408152ef28ec418feb40e
company,1779829352,Why Honeywell Stock Topped the Market on Tuesday,140425942,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,It provided key details of a closely watched upcoming IPO.,https://finnhub.io/api/news?id=334a47fa4a7e24e6738d62529eed9f7f6e499f58bb78d169ae423f8c01b800f0
company,1779829200,Nu Holdings' Mexico Expansion Is About to Be Tested. Here's What Investors Should Watch.,140425943,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,The Latin American digital bank is expanding into Mexico to curb its dependence on Brazil.,https://finnhub.io/api/news?id=c863522667d88482f0801f32dc402cf2d28090e2c9ee3b366134ddc620959dd8
company,1779829044,"The Trump-Intel Deal Stole Headlines, But the President Also Bought Nvidia Stock in Q1",140429119,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"President Trump bought up to $5 million shares in Nvidia, but a Chinese reopening seems like a faraway thought now.",https://finnhub.io/api/news?id=3911778bf8d533b0afd5696b79ffc20548c4ec03e8dc9d38d355bee9d197d422
company,1779827700,Retailers Dominated the Headlines This Earnings Season -- Here Are the Winners and Losers,140425945,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"Target is bouncing back, but Kohl's remains in the penalty box.",https://finnhub.io/api/news?id=b01a53aec46f127554cf4e4db1ca2cadd6edabc107d485e9c645ce4083e7e7f5
company,1779826800,Cathie Wood Goes Bargain Hunting: 2 Stocks She Just Bought,140425948,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,Cathie Wood's Ark Invest recently invested in two big names in the AI and cryptocurrency spaces.,https://finnhub.io/api/news?id=44a54d4a3091b1c2562d4daf58a0beeb88f2785700a2cd5c013110c905ec6f52
company,1779825960,Dell and HP Stocks Jumped Ahead Of Their Earnings Reports This Week. Here's What to Watch.,140425952,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,A rival's strong results sent both hardware makers higher. Now their own reports will test whether the AI and PC momentum holds.,https://finnhub.io/api/news?id=58d587d5cc8a3c422ee212017f787841f006eb11a9ebde39ceeeb161d136fa82
company,1779825215,Wall Street Is Only Just Beginning to Recognize Advanced Micro Devices’ Agentic AI Upside Potential,140429115,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"While Nvidia CEO Jensen Huang enjoyed street food in China, AMD CEO Lisa Su was talking to stakeholders.",https://finnhub.io/api/news?id=80fcba0a77a9e107ee42385e0fa6a4cfd2abd4b9c1b27e2f2145a3d32a431c92
company,1779825000,Market Crash: The 3 Best Dividend Stocks to Buy Right Now,140424143,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"If you're preparing for a market pullback, consider investing in Pepsi, Black Hills, and Colgate-Palmolive.",https://finnhub.io/api/news?id=4168be8d66f96deb247d2ca939ccd5c207dca8c34ca122764ace76779e4dd396
company,1779823200,"Nvidia Gets All the Credit, but These 4 Stocks Are Quietly Capturing the $725 Billion AI Buildout",140424145,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,Much of that capital is likely trickling through to these other companies in some way.,https://finnhub.io/api/news?id=ea54b40978a461dcea706d3526708067d7ae76a31183df3be0a7a9cd5576b974
company,1779820980,Nvidia has a $200 Billion Warning for AMD and Intel Stock Investors,140424148,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,Nvidia is poised to make a big dent in a fast-growing market that's currently dominated by AMD and Intel.,https://finnhub.io/api/news?id=1b69fa90e460dbd254f4dc59b02bcce3d6813f2675522654ba142caf8ebe6b2f
company,1779819859,Trump Said “Micron’s Great” On May 22. The Stock Is Up 20% Today.,140424152,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"On Friday May 22, President Trump publicly praised Micron Technology (NASDAQ:MU) with three words: “Micron is great.” Today Micron stock is up 20%, trading around the $902 area and pushing the company’s market capitalization above $1 trillion. The timing is striking. However, the honest read on today’s rally points elsewhere for the catalyst. The proximate ... Trump Said “Micron’s Great” On May 22. The Stock Is Up 20% Today.",https://finnhub.io/api/news?id=820688f59224f5276f5f0ee43a5da7de0f8e7658a0bb2159336a135756a4870a
company,1779819460,Intel's $43 Billion Government Windfall Gains Momentum With Apple Deal,140424153,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,Apple is reportedly testing Intel's foundry business as the US chipmaker pushes for a broader manufacturing comeback.,https://finnhub.io/api/news?id=f3cc876944ab80cc25f75c838b2e7046c24f6c96ff2d3d78136bdb036b0f50c6
company,1779818700,Tuesday's session: most active stock in the S&P500 index,140423185,https://www.chartmill.com/images/uploads/CM_Most_Active_Stocks_Small_free_fec0650b7f.webp,INTC,ChartMill,Stay informed about the most active stocks in the S&P500 index on Tuesday's session. Discover the stocks that are generating the highest trading volume and driving market activity.,https://finnhub.io/api/news?id=962abea58de4ca35efce401950f2e14a746ae188211083b211aa05a3857a2610
company,1779818538,"This Artificial Intelligence (AI) Chip Stock Just Joined Nvidia, Broadcom, Taiwan Semiconductor, and Samsung in the $1 Trillion Club. Is It a Buy Now?",140424158,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"After a remarkable run, Micron just joined the elite club.",https://finnhub.io/api/news?id=e519cbdc6fd40d2c8726dec7830b2e21becc74af5bd20234f9f18ab6d95bbe07
company,1779818456,"Dow rises 200 points to record as oil declines, but a pause in the chip rally weighs on the S&P 500: Live updates",140434109,https://image.cnbcfm.com/api/v1/image/108312515-1779891731515-108312515-1779891659135-gettyimages-2277824598-AFP_B47M9EE.jpg?v=1779893518&w=1920&h=1080,INTC,CNBC,The S&P 500 and Nasdaq Composite rose to fresh intraday and closing records on Tuesday.,https://finnhub.io/api/news?id=3ecb1f50aaa926a18a8a2c0f2346f5af5db43cc335b49a3e946d3cd17cd88697
