category,datetime,headline,id,image,related,source,summary,url
company,1779831411,"Stock Market Today, May 26: Soaring Tech Stocks Push S&P 500 and Nasdaq to New Highs",140425972,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"On May 26, 2026, Micron’s surge helped propel the S&P 500 and Nasdaq to fresh records even as the Dow lagged.",https://finnhub.io/api/news?id=80d4bc7609ed96189e5448f79e8735a3bebfefa533f4cbcc8858a0a8fcb9e3e0
company,1779822601,Stay informed with the top movers within the dow jones index on Tuesday.,140423866,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,MRK,ChartMill,Stay updated with the movement of dow jones stocks in today's session. Discover which dow jones stocks are making waves on Tuesday.,https://finnhub.io/api/news?id=55e94b72a3ea22cf4da6731b84661fe5d26aa3d6a8706499fbc47931158ffe58
company,1779816480,Merck Announces Third-Quarter 2026 Dividend,140422729,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"RAHWAY, N.J., May 26, 2026--Merck Announces Third-Quarter 2026 Dividend",https://finnhub.io/api/news?id=cd781310f4c863d3fce1b2cc77c81060a017203661c9e0ebeeb80a4111da3270
company,1779813601,Exploring the top movers within the dow jones index during today's session.,140421782,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,MRK,ChartMill,Wondering what's happening in today's session for the dow jones index? Stay informed with the top movers within the dow jones index on Tuesday.,https://finnhub.io/api/news?id=b44363f0b91318385037e0556dcb04ad2f89968b617236734981e2817a8aece9
company,1779813060,How Agenus' Pipeline Progress Unlock Its Next Growth Phase,140422730,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,AGEN advances BOT/BAL into phase III for MSS colorectal cancer as survival data and global access efforts shape its next growth phase.,https://finnhub.io/api/news?id=cd79e3b7298a110228b485e8baa18dd458b71cf2c20d6d08e9ef3c76365f68c1
company,1779809280,Here's Why You Should Add JANX Stock to Your Portfolio Now,140422731,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Janux Therapeutics advances multiple oncology and immune therapy programs with key clinical updates, new studies and expanded partnerships with BMY and MRK.",https://finnhub.io/api/news?id=f0d97bab286800b5bd4c9c82da9ecd9dac9cbfc654d7115f38d1efad4d43b27b
company,1779807055,Dow Gives Back Early Gains. Healthcare Stocks Are a Drag.,140421291,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"The Dow gave back its opening gains, with healthcare stocks a big drag.  The blue-chip index was trading flat, while the S&P 500 was up 0.9%, and the Nasdaq rose 1.4%.  UnitedHealth Group and Amgen, among the Dow's top five stocks, were down by nearly 3% and 0.4%, respectively.",https://finnhub.io/api/news?id=991eda35ed0f7803994c62c787ca72f714678b04ddc47647435e666a14d4c699
company,1779802020,"Stock Market News for May 26, 2026",140421310,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Wall Street closed higher on Friday, driven by defensive stocks and falling bond yields.",https://finnhub.io/api/news?id=41f023c8abbb2baeacf109d75bec2b5225b65958b5cffbb8ee23bcd8591df70f
company,1779800524,"Calls of the Day: Eli Lilly, UnitedHealth and the XBI",140422063,https://image.cnbcfm.com/api/v1/image/108312041-17798133331779813331-46177641065-1080pnbcnews.jpg?v=1779813333&w=1920&h=1080,MRK,CNBC,The Investment Committee debate the latest Calls of the Day.,https://finnhub.io/api/news?id=97f79260ed7d3e8c68c431cbf7f970598d2eef6fddc53c3065581632ce82c98c
company,1779800400,"Zifo, Pistoia Alliance, and Pharma Majors Launch Global IVP Assay Repository",140420245,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Zifo, the leading global enabler of AI and data-driven enterprise informatics for science-driven organizations, is proud to announce the successful development and launch of the In Vitro Pharmacology (IVP) Assay Repository, marking an important step toward standardizing how biological assays are captured, shared, and reused across the life sciences industry.",https://finnhub.io/api/news?id=736b8f5b145696b0318baff319a3e3ddfbeaaf7ce568709b2f673b8d45c0b372
