category,datetime,headline,id,image,related,source,summary,url
company,1779833248,Why Qualcomm (QCOM) Stock Is Up Today,140427243,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,Shares of wireless chipmaker Qualcomm (NASDAQ:QCOM) jumped 3.5% in the afternoon session after Micron's UBS-led surge ignited a semiconductor rally.,https://finnhub.io/api/news?id=28b34e3fdf758094f71413be59e1097995ba722eb8464d641bbe1114edff0cd0
company,1779831515,"S&P 500 And Nasdaq Close At Record Highs, Dow Climbs Amid Hopes Of Diplomatic Resolution Between US And Iran — MU, QCOM, LUNR, LLY, CODX In Focus",140427274,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Investors remained hopeful about U.S.-Iran talks, offsetting recent military exchanges.",https://finnhub.io/api/news?id=4011b22c0d949a172ed09ab8026b2d8e742cdaed96fa9a79e269a49b84eb9611
company,1779831411,"Stock Market Today, May 26: Soaring Tech Stocks Push S&P 500 and Nasdaq to New Highs",140425972,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"On May 26, 2026, Micron’s surge helped propel the S&P 500 and Nasdaq to fresh records even as the Dow lagged.",https://finnhub.io/api/news?id=80d4bc7609ed96189e5448f79e8735a3bebfefa533f4cbcc8858a0a8fcb9e3e0
company,1779829571,Tracking David Tepper's Appaloosa Management Portfolio - Q1 2026 Update,140427982,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/591792278/image_591792278.jpg?io=getty-c-w1536,QCOM,SeekingAlpha,Appaloosa Managementâs Q1 2026 13F: portfolio shrank to $5.93B as AMZN stake doubled; cuts to BABA/META and new buys. Read more here.,https://finnhub.io/api/news?id=f3b096aba99704db0818ac31ffb9f2d9f501480717333f82eadc18198809613f
company,1779828286,Qualcomm Is Teaming Up With ByteDance. What It Means for QCOM Stock,140429114,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,Qualcomm shares gain on reports of a landmark AI chip deal with TikTok-parent ByteDance. Here’s what the reported agreement really means for QCOM stock in 2026.,https://finnhub.io/api/news?id=ab66899aac826aff04683927086c9ae9ed7f04c75f875e14e38a3181a2efc97e
company,1779827197,"Stock Market Today: Nasdaq, Micron Close At New Highs; This Airline Teams Up With Musk's Starlink (Live Coverage)",140425998,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,Stock Market Today: The Dow Jones index sinks Tuesday. S&P 500 and small caps reach new levels. Tesla nears a buy point.,https://finnhub.io/api/news?id=d1ab630aa865450e09756a647755ca8166471a93c367470a4a131b9901a8a798
company,1779826460,S&P 500 Hits Another High on Back of 5-Day Chip Stock Rally,140426001,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Stocks kicked off the week with a broad rally that was fueled by semiconductor companies.  The S&P 500 rose 0.6%, hitting a new record.  The Dow fell 118 points or 0.2%, while celebrating its 130th birthday today.",https://finnhub.io/api/news?id=d651e05de2494a916faa08037de84b796eae2edeba6790294d5a7443a2dfeb4e
company,1779826080,Will Marvell Technology Stock Keep Soaring as Q1 Results Approach?,140425962,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Marvell Technology (MRVL) is scheduled to report Q1 results after-market hours on Wednesday, May 27, and expectations are running high following several quarters of explosive AI-driven growth.",https://finnhub.io/api/news?id=2cf4db4e3ff79c251e4843bba5b2d48380b5b03ee7c2384fc9769969eb8088ee
company,1779825160,Sector Update: Tech Stocks Gain Late Afternoon,140426004,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Tech stocks were higher late Tuesday afternoon, with the State Street Technology Select Sector SPDR",https://finnhub.io/api/news?id=ff298b2a413affc42144af070ea291d8efec3e12fd693c807e3071589ac8b6e0
company,1779806035,Stock Market Today: Nasdaq Leads On U.S.-Iran Deal Anticipation; AutoZone Crashes (Live Coverage),140421253,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,Stock Market Today: The Dow Jones index inches up Tuesday on U.S.-Iran deal hopes. A defense name soars after earnings while Micron Technology pops.,https://finnhub.io/api/news?id=2062b6dcb9f764ec7d843de9afe973b20f83b36c821ff3a263463481136169ff
company,1779823060,Qualcomm ByteDance AI Chip Deal Highlights Expanding Data Center Ambitions,140424394,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Qualcomm (NasdaqGS:QCOM) has agreed to supply millions of AI chips to ByteDance, the owner of TikTok. The deal marks one of Qualcomm's first major wins in the AI data center accelerator market. The agreement expands Qualcomm's reach beyond its core smartphone processor business into AI infrastructure. For Qualcomm, long known for mobile processors and connectivity solutions, this ByteDance agreement highlights how AI data center hardware is becoming a bigger part of the story. Large...",https://finnhub.io/api/news?id=92d1db1788952d676a9584d3b4f69dbacc24b575675db055d2690b5b3e0374e3
company,1779819432,Qualcomm Jumps 8.3% After ByteDance AI Chip Deal Report,140424395,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,ByteDance is reportedly set to procure millions of Qualcomm AI chips for data center and AI agent software expansion.,https://finnhub.io/api/news?id=0d024dbc1bcfecaba57a545190a70418532f8a1b14658d6bc6fad0536779f662
company,1779819244,Qualcomm Stock Rises After Report of Massive ByteDance AI Chip Deal,140424396,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,Qualcomm Rallies. A New AI Chip Win Could Reduce Its Smartphone Reliance,https://finnhub.io/api/news?id=42e17916d28f37a495754ef8d90c985d8170af201f66fed4bcdfa171ecf1371a
company,1779818456,"Dow rises 200 points to record as oil declines, but a pause in the chip rally weighs on the S&P 500: Live updates",140434109,https://image.cnbcfm.com/api/v1/image/108312515-1779891731515-108312515-1779891659135-gettyimages-2277824598-AFP_B47M9EE.jpg?v=1779893518&w=1920&h=1080,QCOM,CNBC,The S&P 500 and Nasdaq Composite rose to fresh intraday and closing records on Tuesday.,https://finnhub.io/api/news?id=3ecb1f50aaa926a18a8a2c0f2346f5af5db43cc335b49a3e946d3cd17cd88697
company,1779813676,Qualcomm strikes AI chip deal with ByteDance for data centers,140422742,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"ByteDance is set to procure millions of Qualcomm ASICs to support its AI agent software, marking a major push into AI infrastructure",https://finnhub.io/api/news?id=2a65dc9c11118b2929de05e51f081c649b4dafd3465647c9d23c5cc7bead7b41
company,1779812597,QCOM Stock Hit Record Highs Today – What’s Driving The Super Rally?,140422743,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Qualcomm has reached a deal with TikTok owner ByteDance to supply chips for artificial intelligence data centers, according to a Bloomberg report.",https://finnhub.io/api/news?id=9e91ee4926368330b101505fffebfaa9a6c331f977d4e2784bdd31256e836047
company,1779811200,5 High-Yield Stocks and ETFs to Buy and Hold for the Next Decade,140434800,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Five high-yield names spanning pharmaceuticals, consumer staples, energy, and ETFs offer income investors compelling yields and durable businesses for a ten-year hold.",https://finnhub.io/api/news?id=7133de2c6c8779477077ab2ddd4e560b05e609113fc765ffcb3a421ad90756f1
company,1779809942,Top Midday Stories: Micron's Market Cap Briefly Hits $1 Trillion; Qualcomm Reportedly Strikes AI Chip Deal With ByteDance,140421246,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"The Nasdaq Composite and S&P 500 were up, while the Dow Jones Industrial Average was down slightly t",https://finnhub.io/api/news?id=758fe72319df7ef4ad5ac3043f36c63d2ae97597cfa2a7edec35034aa58ed51b
company,1779808891,Qualcomm shares jump following report of massive ByteDance AI chip order,140421324,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Investing.com -- Qualcomm Inc. (NASDAQ:QCOM) shares rose 4% Tuesday following a Bloomberg report that the company secured a deal to supply AI chips to ByteDance Ltd., the owner of TikTok.",https://finnhub.io/api/news?id=59d628be1c278dc8aaf0802dc40f276b657e10300f0de580aabcfe09fc27b78d
