category,datetime,headline,id,image,related,source,summary,url
company,1779837903,My Dividend Stock Portfolio: New April Dividend Record - 100 Holdings With 5 Buys,140428960,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213764535/image_1213764535.jpg?io=getty-c-w1536,TGT,SeekingAlpha,April net investment activity reached a multi-year low. Read what prompted a cautious approach and check out the dividend portfolio here.,https://finnhub.io/api/news?id=ff16c6fa1c12ce27bb41bdcfe4a2660e2f2d3947f09ba109ccf8944ceed7160b
company,1779831180,Target and 6 Other Dividend Stocks to Beat Inflation,140427298,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"Worries about inflation, tied to surging oil prices, have sent bond yields sharply higher this month.  Historically, energy has performed the best when inflation spikes.  The sector beat the broad market by more than 12 percentage points annualized during periods of rising prices going back to 1972.",https://finnhub.io/api/news?id=d5d9f260b8afd11cf5c8695abfbf4c2b45c6095213fcc0e95bd57dec7f50809d
company,1779827700,Retailers Dominated the Headlines This Earnings Season -- Here Are the Winners and Losers,140425945,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"Target is bouncing back, but Kohl's remains in the penalty box.",https://finnhub.io/api/news?id=b01a53aec46f127554cf4e4db1ca2cadd6edabc107d485e9c645ce4083e7e7f5
company,1779819416,"Walmart’s Fastest-Growing Business Isn’t Retail, but It Still Needs to Justify Its Premium Valuation",140428194,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"Walmart delivered solid quarterly results, but investors focused on inflation risks and cautious guidance. One fast-growing business segment, though, may deserve closer attention.",https://finnhub.io/api/news?id=da96db138edd96b9b7b6d2d8387398388312a966c28056ae2ade1fa64c22e05e
company,1779810600,Walmart Sinks 8.1% Post Q1 Earnings: Exit WMT Stock or Stay Put?,140422683,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"Walmart slides after Q1 results as fuel and other costs squeeze margins, but e-commerce, ads and memberships keep its growth story intact.",https://finnhub.io/api/news?id=94a6719a283d3af5d5dede2dd6b61fc0e39ad3d27970a0a5f530491b3c30cca7
company,1779806520,Target touts improved inventory turns in Q1,140424454,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,The retailer aims to leverage artificial intelligence tools alongside its two new facilities to reduce volatility and in-stock issues.,https://finnhub.io/api/news?id=22ef09da62bb76e3acb7d8af80ff0a483db931db86b8644dde34a761714e7d1a
company,1779806243,Starbucks Stock is Up YTD – Thank a Kardashian,140426117,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"As Starbucks stock climbs 25% year-to-date, the Khloud protein popcorn partnership signals the company's turnaround is finally taking hold.",https://finnhub.io/api/news?id=bcffd8e53bd2aee4a65b0265a0ba45927dc45d265017cd9265a80cb6eb40f1ad
company,1779805020,"Buy, Hold or Sell Costco Stock? Key Tips Ahead of Q3 Earnings",140421295,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"Costco heads into May 28 Q3 earnings results with strong membership and digital gains, but a premium valuation suggests patience for new buyers.",https://finnhub.io/api/news?id=4b3801ec5c44b2b8201d3ceb94757fb474b628901210756e9afecbfae7df5e53
company,1779796810,"Insiders At Target Sold US$11m In Stock, Alluding To Potential Weakness",140420427,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"In the last year, many Target Corporation ( NYSE:TGT ) insiders sold a substantial stake in the company which may have...",https://finnhub.io/api/news?id=2752f64eacb4da7b9d160c6ba7bc9d42c0050146b4ed563a9144cfec827b7841
company,1779786229,Target reassesses AI strategy amid pricing shift – report,140419032,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"At a Reuters summit, Target India president Andrea Zimmerman said the retailer is moving from “using AI to running on AI,” but that usage-based pricing is complicating planning.",https://finnhub.io/api/news?id=9c293989681a48ab13c0a12d46f70b8daab97ea44a9ea4f15706ae3266d3395c
company,1779778380,"Walmart, Target and Amazon are part of Zacks Earnings Preview",140418519,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,Walmart and Target earnings spotlight resilient retail demand as Amazon-driven estimate upgrades lift the sector outlook.,https://finnhub.io/api/news?id=b74cac552c88d9bace87a2e1484ddce2e8c32f6e47229d3cc326ff903dab85a1
company,1779764029,Best Dividend Kings: May 2026,140418297,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2248559295/image_2248559295.jpg?io=getty-c-w1536,TGT,SeekingAlpha,"Dividend growth among Kings accelerated to 3.71%, with notable increases from W.W. Grainger, Parker-Hannifin, and RLI Corp. Read more on Dividend Kings here.",https://finnhub.io/api/news?id=cd99a191430536645179e46920a19163c3899aaecd256f9688e0d9c09439d695
