category,datetime,headline,id,image,related,source,summary,url
company,1779837903,My Dividend Stock Portfolio: New April Dividend Record - 100 Holdings With 5 Buys,140428960,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213764535/image_1213764535.jpg?io=getty-c-w1536,TXN,SeekingAlpha,April net investment activity reached a multi-year low. Read what prompted a cautious approach and check out the dividend portfolio here.,https://finnhub.io/api/news?id=ff16c6fa1c12ce27bb41bdcfe4a2660e2f2d3947f09ba109ccf8944ceed7160b
company,1779827958,Stocks Finish Mostly Higher on Iran Peace Progress,140429485,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=5f2613d75eb06dea81fb17d1dca0dc03715b5a3ef379ed16866bdd721e0e13c4
company,1779816780,Micron Hits a $1 Trillion Valuation: What's Next?,140424254,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"As Micron Technology joins the trillion dollar market cap club, stocks such as Microchip Technology, Texas Instruments and ON Semiconductor may represent new opportunities.",https://finnhub.io/api/news?id=b720c5c4f9122ecfbc00c657ff97b4153956d6318368c46f15c73c79e35ee5ba
company,1779813238,Congressman Sells Take-Two Stock Before 'GTA VI' Release Date: Here's How Much He Made,140425888,https://cdn.benzinga.com/files/images/story/2026/05/26/GTA6-GrandTheftAuto.jpeg?width=2048&height=1536,TXN,Benzinga,A Congressman sold Take-Two stock months before the release of &#34;GTA VI.&#34; Here&#39;s how much he made from the trade.,https://finnhub.io/api/news?id=c845cca370cbf7b7c8b2071e7e782dd1106c027644cb799734f9933fb1fd557d
company,1779811200,5 High-Yield Stocks and ETFs to Buy and Hold for the Next Decade,140434800,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"Five high-yield names spanning pharmaceuticals, consumer staples, energy, and ETFs offer income investors compelling yields and durable businesses for a ten-year hold.",https://finnhub.io/api/news?id=7133de2c6c8779477077ab2ddd4e560b05e609113fc765ffcb3a421ad90756f1
company,1779808320,S&P 500 and Nasdaq 100 Climb to Record Highs on Tech Stock Strength,140426018,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is up +0.81%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is down -0.10%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is up +1.74%. June E-mini S&P futures (ESM26 ) are up +0.77%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=b89c95c93a3e4a64c9853e8bf11220b0b47779f86b253caeaab2186816ad7316
company,1779804588,Stocks Jump on US-Iran Peace Optimism,140424988,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is up +0.72%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is up +0.31%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is up +1.42%. June E-mini S&P futures (ESM26 ) are up +0.62%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=4a5cb956b25fe4aeca9356205a975c58ad2c709311bc4fe36a667e3edff06f46
company,1779804044,Seaport Research Says Rising Data Center Power Needs Could Boost Texas Instruments (TXN),140421311,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"Texas Instruments Incorporated (NASDAQ:TXN) is included among the Dividend Stock Portfolio For Retirement: Top 12 Stock Picks. On May 22, Seaport Research analyst Jay Goldberg upgraded Texas Instruments Incorporated (NASDAQ:TXN) to Buy from Neutral and assigned a $400 price target. The analyst said rising power consumption at data centers and increasing electrical intensity per rack […]",https://finnhub.io/api/news?id=3a932fa85ba3872aa29a92002a533d40b69bf878eb6eaa961025cd8f02cbf4c5
company,1779803727,"BofA flags 3 chip stocks tied to AI power, 800V and analog demand",140420443,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"Investing.com -- Bank of America highlighted 3 names as its top picks in the analog semiconductor space on Friday, raising price targets on two of the three and arguing that the market continues to underappreciate the content gains tied to the shift to 800-volt data center architecture.",https://finnhub.io/api/news?id=1109536ff4f8f063ce94af8f3dd02ce5dfba283509fcfbdf226c0959202c88f6
company,1779803567,"B of A Securities Maintains Buy on Texas Instruments, Raises Price Target to $370",140433464,,TXN,Benzinga,B of A Securities  analyst Vivek Arya   maintains Texas Instruments (NASDAQ:TXN) with a Buy and raises the price target from $320 to $370.,https://finnhub.io/api/news?id=e7d13a17883831e0977a07126ccfad1041d3eea1c04f03c3eec242a898987cf9
company,1779803421,SCHD’s Dividend Quality Filter Now Concentrates 42 Percent of Your Money in Just Ten Stocks,140420244,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"Most investors buy Schwab U.S. Dividend Equity ETF (NYSEARCA:SCHD) because the fund’s reputation tells them they are buying diversification. SCHD has 105 holdings, screens hard on dividend quality, and charges 0.06%. The retiree who built an income sleeve around SCHD usually has not read the holdings list. Read the list and the diversification story bends: ... SCHD’s Dividend Quality Filter Now Concentrates 42 Percent of Your Money in Just Ten Stocks",https://finnhub.io/api/news?id=fe89eba6864b3e9fbb8b7aaf7c2cc5167e790fe44b3886998d7b635d54317d4d
company,1779798029,"AI Chip Stocks Jump as Qualcomm Explodes Higher, AMD Leads Semiconductor Rally",140420201,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,AMD Climbs as Qualcomm Ignites Chip Sector: AI Bets Drive Market Rally,https://finnhub.io/api/news?id=9506ab8bbd0682524bf217dee768f143e2bf57f484df3fdac8e7b6e594ce4939
