category,datetime,headline,id,image,related,source,summary,url
company,1779831411,"Stock Market Today, May 26: Soaring Tech Stocks Push S&P 500 and Nasdaq to New Highs",140425972,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"On May 26, 2026, Micron’s surge helped propel the S&P 500 and Nasdaq to fresh records even as the Dow lagged.",https://finnhub.io/api/news?id=80d4bc7609ed96189e5448f79e8735a3bebfefa533f4cbcc8858a0a8fcb9e3e0
company,1779827958,Stocks Finish Mostly Higher on Iran Peace Progress,140429485,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=5f2613d75eb06dea81fb17d1dca0dc03715b5a3ef379ed16866bdd721e0e13c4
company,1779823948,Wednesday's big stock stories: What’s likely to move the market in the next trading session,140434131,https://image.cnbcfm.com/api/v1/image/108270062-1772046888928-gettyimages-2262982960-SLUG.jpeg?v=1772046973&w=1920&h=1080,UNH,CNBC,A rally in the tech sector — led by Micron Technology — lifted the S&P 500 and the Nasdaq Composite to fresh all-time highs and closing records Tuesday.,https://finnhub.io/api/news?id=04becee03ee2e4d29bc4416ffc4163aa2ec28f4e5454f87c5007da278d8fe74e
company,1779822601,Stay informed with the top movers within the dow jones index on Tuesday.,140423866,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,UNH,ChartMill,Stay updated with the movement of dow jones stocks in today's session. Discover which dow jones stocks are making waves on Tuesday.,https://finnhub.io/api/news?id=55e94b72a3ea22cf4da6731b84661fe5d26aa3d6a8706499fbc47931158ffe58
company,1779818536,"Final Trade: UNH, NVDA, EXPE, CEG",140434132,https://image.cnbcfm.com/api/v1/image/108312220-17798328291779832827-46182054124-1080pnbcnews.jpg?v=1779832829&w=1920&h=1080,UNH,CNBC,The final trades of the day with CNBC's Melissa Lee and the 'Fast Money' traders.,https://finnhub.io/api/news?id=2cf448383c9bf24fe39e9ca8bf4c9321595017edcc4b47c58b03fe735a2baf3e
company,1779816360,"Micron, UnitedHealth, Rocket Lab, and These Stocks Explain Today’s Market",140424255,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"The tech rally continued Tuesday, led by chip and memory stocks, even as it remained unclear which way diplomatic efforts would go between the U.S. and Iran.  Wall Street appears to believe a peace deal to reopen the Strait of Hormuz is still in reach, with President Donald Trump saying Monday talks with Iran were “proceeding nicely.”  The tech-heavy  gained 1%, while the  rose 0.5% and the  fell 0.4%, dragged lower by healthcare stocks.",https://finnhub.io/api/news?id=5cfb1c06126131f405dcdeb874b8050c924cedcd2f976456923556dc1aa68509
company,1779813601,Exploring the top movers within the dow jones index during today's session.,140421782,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,UNH,ChartMill,Wondering what's happening in today's session for the dow jones index? Stay informed with the top movers within the dow jones index on Tuesday.,https://finnhub.io/api/news?id=b44363f0b91318385037e0556dcb04ad2f89968b617236734981e2817a8aece9
company,1779811200,5 High-Yield Stocks and ETFs to Buy and Hold for the Next Decade,140434800,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"Five high-yield names spanning pharmaceuticals, consumer staples, energy, and ETFs offer income investors compelling yields and durable businesses for a ten-year hold.",https://finnhub.io/api/news?id=7133de2c6c8779477077ab2ddd4e560b05e609113fc765ffcb3a421ad90756f1
company,1779808091,Optum Rx Transparency Shift And What It May Mean For UNH Valuation,140421298,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"Optum Rx, the pharmacy benefits unit of UnitedHealth Group (NYSE:UNH), has introduced a new transparent, fee-based pharmacy care model. The model separates Optum Rx’s compensation from drug list prices and prescription volumes, focusing instead on a clear service fee structure. This change marks a shift in how pharmacy benefits are priced and delivered, with implications for patients, employers, and health plans. For a company the size of UnitedHealth Group, which operates across insurance,...",https://finnhub.io/api/news?id=e276ca2a339a968733aea3d11e98a9abb7f90b18684449dd27c65966332ad91d
company,1779807055,Dow Gives Back Early Gains. Healthcare Stocks Are a Drag.,140421291,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"The Dow gave back its opening gains, with healthcare stocks a big drag.  The blue-chip index was trading flat, while the S&P 500 was up 0.9%, and the Nasdaq rose 1.4%.  UnitedHealth Group and Amgen, among the Dow's top five stocks, were down by nearly 3% and 0.4%, respectively.",https://finnhub.io/api/news?id=991eda35ed0f7803994c62c787ca72f714678b04ddc47647435e666a14d4c699
company,1779806100,Tuesday's session: gap up and gap down stock in the S&P500 index,140420732,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,UNH,ChartMill,Looking for the S&P500 stocks that are experiencing notable gaps on Tuesday? Find out which stocks are gapping up and gapping down in the S&P500 index during today's session.,https://finnhub.io/api/news?id=b392df27eeafa41fbd8e6b65dd8582f13f2b600fda0b7876351cd313c1e63af4
company,1779803421,SCHD’s Dividend Quality Filter Now Concentrates 42 Percent of Your Money in Just Ten Stocks,140420244,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"Most investors buy Schwab U.S. Dividend Equity ETF (NYSEARCA:SCHD) because the fund’s reputation tells them they are buying diversification. SCHD has 105 holdings, screens hard on dividend quality, and charges 0.06%. The retiree who built an income sleeve around SCHD usually has not read the holdings list. Read the list and the diversification story bends: ... SCHD’s Dividend Quality Filter Now Concentrates 42 Percent of Your Money in Just Ten Stocks",https://finnhub.io/api/news?id=fe89eba6864b3e9fbb8b7aaf7c2cc5167e790fe44b3886998d7b635d54317d4d
company,1779800524,"Calls of the Day: Eli Lilly, UnitedHealth and the XBI",140422063,https://image.cnbcfm.com/api/v1/image/108312041-17798133331779813331-46177641065-1080pnbcnews.jpg?v=1779813333&w=1920&h=1080,UNH,CNBC,The Investment Committee debate the latest Calls of the Day.,https://finnhub.io/api/news?id=97f79260ed7d3e8c68c431cbf7f970598d2eef6fddc53c3065581632ce82c98c
company,1779797392,Is UnitedHealth Group Incorporated (UNH) One of the Best Medical Stocks to Invest in According to Billionaires?,140420255,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,UnitedHealth Group Incorporated (NYSE:UNH) is one of the best medical stocks to invest in according to billionaires. UnitedHealth Group Incorporated (NYSE:UNH) reported on May 11 that Optum Rx announced a new pharmacy care model that changes the pricing and delivery of pharmacy benefits by replacing the traditional approach of prices set by manufacturers or prescription […],https://finnhub.io/api/news?id=3ff713dbf0822fb129acbf0af35e2093873771a5a53691187a77c5f8cbd25fa0
company,1779783813,Dr. Scott Gottlieb on Ebola outbreak: This is an outbreak that's out of control in West Africa,140422228,https://image.cnbcfm.com/api/v1/image/108311840-17797976861779797682-46174227339-1080pnbcnews.jpg?v=1779797685&w=1920&h=1080,UNH,CNBC,"Former FDA Commissioner Dr. Scott Gottlieb joins 'Squawk Box' to discuss the latest developments on the Ebola outbreak, risks to the United States, GLP-1's impact on cancer risks, and more.",https://finnhub.io/api/news?id=8097279028a3063a7d9c4e9154a6b9fe47593c0f21ffff8615d44e3489f1974a
